Sample 1	Sample 2	Matches	Mismatches	Jaccard Index	Mash-like distance	SNPs	SNP distance
CMS_001_RNA_A_S1_ksize_15	CMS_002_45a_Rb_S183_L004_ksize_15	4422	56091	0.0730752	0.0643112	34	0.00768883
CMS_001_RNA_A_S1_ksize_15	CMS_002_45b_Rb_S184_L004_ksize_15	4136	55745	0.0690703	0.0660088	32	0.00773694
CMS_001_RNA_A_S1_ksize_15	CMS_002_45c_Rb_S185_L004_ksize_15	3609	58576	0.0580365	0.0712887	25	0.00692713
CMS_001_RNA_A_S1_ksize_15	CMS_002_45d_Rb_S186_L004_ksize_15	4110	56835	0.0674379	0.0667311	26	0.00632603
CMS_001_RNA_A_S1_ksize_15	CMS_002_45e_Rb_S188_L004_ksize_15	3705	58796	0.0592791	0.0706432	27	0.00728745
CMS_001_RNA_A_S1_ksize_15	CMS_002_45f_Rb_S189_L004_ksize_15	3847	51676	0.0692866	0.0659145	25	0.00649857
CMS_001_RNA_A_S1_ksize_15	CMS_002_45g_Rb_S190_L004_ksize_15	4515	52538	0.0791369	0.0619223	27	0.00598007
CMS_001_RNA_A_S1_ksize_15	CMS_002_46a_Rb_S191_L004_ksize_15	6802	48033	0.124045	0.0487387	14	0.00205822
CMS_001_RNA_A_S1_ksize_15	CMS_002_46b_Rb_S192_L004_ksize_15	7003	47425	0.128665	0.0476913	16	0.00228474
CMS_001_RNA_A_S1_ksize_15	CMS_002_47a_Rb_S193_L004_ksize_15	9582	42217	0.184984	0.0375505	5	0.000521812
CMS_001_RNA_A_S1_ksize_15	CMS_002_47b_Rb_S194_L004_ksize_15	8362	42272	0.165146	0.0406653	0	0
CMS_001_RNA_A_S1_ksize_15	CMS_002_47c_Rb_S195_L004_ksize_15	9780	41857	0.189399	0.0369097	3	0.000306748
CMS_001_RNA_A_S1_ksize_15	CMS_002_47d_Rb_S196_L004_ksize_15	9240	42660	0.178035	0.038596	2	0.00021645
CMS_001_RNA_A_S1_ksize_15	CMS_002_47e_Rb_S197_L004_ksize_15	9260	41072	0.183978	0.037699	3	0.000323974
CMS_001_RNA_A_S1_ksize_15	CMS_002_47f_Rb_S198_L004_ksize_15	9211	41596	0.181294	0.0381	4	0.000434263
CMS_001_RNA_A_S1_ksize_15	CMS_002_47g_Rb_S200_L004_ksize_15	9636	42373	0.185276	0.0375077	3	0.000311332
CMS_001_RNA_A_S1_ksize_15	CMS_002_47h_Rb_S1_L004_ksize_15	9606	43171	0.182011	0.0379922	3	0.000312305
CMS_001_RNA_A_S1_ksize_15	CMS_002_47i_Rb_S2_L004_ksize_15	9332	40211	0.188362	0.0370587	2	0.000214316
CMS_001_RNA_A_S1_ksize_15	CMS_002_47j_Rb_S3_L004_ksize_15	9229	43266	0.175807	0.0389411	2	0.000216708
CMS_001_RNA_A_S1_ksize_15	CMS_002_49a_Rb_S4_L004_ksize_15	6917	46170	0.130296	0.0473317	16	0.00231314
CMS_001_RNA_A_S1_ksize_15	CMS_002_4a_Rb_S117_L004_ksize_15	6916	47518	0.127053	0.0480519	13	0.0018797
CMS_001_RNA_A_S1_ksize_15	CMS_002_50a_Rb_S5_L004_ksize_15	6818	43803	0.134687	0.0463874	14	0.00205339
CMS_001_RNA_A_S1_ksize_15	CMS_002_51a_Rb_S6_L004_ksize_15	6780	47600	0.124678	0.0485926	16	0.00235988
CMS_001_RNA_A_S1_ksize_15	CMS_002_54a_Rb_S8_L004_ksize_15	5780	45892	0.111859	0.0517225	11	0.00190311
CMS_001_RNA_A_S1_ksize_15	CMS_002_56a_Rb_S9_L004_ksize_15	7171	52200	0.120783	0.0495045	15	0.00209176
CMS_001_RNA_A_S1_ksize_15	CMS_002_57a_Rb_S10_L004_ksize_15	7197	46663	0.133624	0.0466128	18	0.00250104
CMS_001_RNA_A_S1_ksize_15	CMS_002_7a_Rb_S118_L004_ksize_15	4606	50632	0.0833846	0.0603624	34	0.00738168
CMS_001_RNA_A_S1_ksize_15	CMS_002_RNA_A_S1_ksize_15	6596	55632	0.105997	0.0532884	16	0.00242571
CMS_001_RNA_A_S1_ksize_15	CMS_002_Water1_Rb_S127_L004_ksize_15	4588	123201	0.0359029	0.0860988	38	0.00828248
CMS_001_RNA_A_S1_ksize_15	CMS_002_Water2_Rb_S139_L004_ksize_15	1558	118149	0.0130151	0.118111	24	0.0154044
CMS_001_RNA_A_S1_ksize_15	CMS_002_Water3_Rb_S151_L004_ksize_15	1070	106820	0.00991751	0.12678	23	0.0214953
CMS_001_RNA_A_S1_ksize_15	CMS_002_Water4_Rb_S163_L004_ksize_15	1126	123003	0.00907121	0.12963	32	0.0284192
CMS_001_RNA_A_S1_ksize_15	CMS_002_Water5_Rb_S175_L004_ksize_15	2201	134264	0.0161287	0.111291	41	0.0186279
CMS_001_RNA_A_S1_ksize_15	CMS_002_Water6_Rb_S187_L004_ksize_15	748	76257	0.00971366	0.127443	14	0.0187166
CMS_001_RNA_A_S1_ksize_15	CMS_002_Water7_Rb_S199_L004_ksize_15	5190	106765	0.0463579	0.0781784	23	0.0044316
CMS_001_RNA_A_S1_ksize_15	CMS_002_Water8_Rb_S11_L004_ksize_15	345	54879	0.00624728	0.141571	2	0.0057971
CMS_001_RNA_A_S1_ksize_15	CMS_003_RNA_A_S2_ksize_15	5629	57567	0.0890721	0.0584028	38	0.00675076
CMS_001_RNA_A_S1_ksize_15	CMS_004_RNA_A_S2_ksize_15	6816	47566	0.125336	0.0484418	16	0.00234742
CMS_001_RNA_A_S1_ksize_15	CMS_005_RNA_A_S3_ksize_15	5097	62659	0.0752258	0.0634401	38	0.00745537
CMS_001_RNA_A_S1_ksize_15	CMS_006_RNA_A_S5_ksize_15	9866	42269	0.189239	0.0369325	0	0
CMS_001_RNA_A_S1_ksize_15	CMS_007_RNA_A_S12_ksize_15	8356	42240	0.165151	0.0406644	0	0
CMS_001_RNA_A_S1_ksize_15	CMS_008_RNA_A_S3_ksize_15	4211	51956	0.0749728	0.0635412	31	0.00736167
CMS_001_RNA_A_S1_ksize_15	CMS_009_RNA_A_S13_ksize_15	4456	67180	0.0622034	0.0691789	35	0.00785458
CMS_001_RNA_A_S1_ksize_15	CMS_010_RNA_A_S1_ksize_15	9121	39015	0.189484	0.0368975	0	0
CMS_001_RNA_A_S1_ksize_15	CMS_011_RNA_A_S4_ksize_15	11750	46288	0.202454	0.0351117	11	0.00093617
CMS_001_RNA_A_S1_ksize_15	CMS_012_RNA_A_S4_ksize_15	5112	57747	0.0813249	0.0611078	35	0.00684664
CMS_001_RNA_A_S1_ksize_15	CMS_013_RNA_A_S5_ksize_15	8975	47143	0.159931	0.0415557	1	0.000111421
CMS_001_RNA_A_S1_ksize_15	CMS_014_RNA_A_S5_ksize_15	5160	53642	0.0877521	0.0588453	35	0.00678295
CMS_001_RNA_A_S1_ksize_15	CMS_015_RNA_A_S13_ksize_15	8621	40805	0.174422	0.0391582	1	0.000115996
CMS_001_RNA_A_S1_ksize_15	CMS_016_RNA_A_S6_ksize_15	5182	56188	0.0844387	0.0599886	36	0.00694712
CMS_001_RNA_A_S1_ksize_15	CMS_017_RNA_A_S6_ksize_15	9090	41405	0.180018	0.038293	0	0
CMS_001_RNA_A_S1_ksize_15	CMS_018_RNA_A_S14_ksize_15	9512	45178	0.173926	0.0392365	11	0.00115643
CMS_001_RNA_A_S1_ksize_15	CMS_019_RNA_A_S14_ksize_15	9135	39716	0.186997	0.0372562	1	0.000109469
CMS_001_RNA_A_S1_ksize_15	CMS_020_RNA_A_S15_ksize_15	15927	39876	0.285415	0.0261854	18	0.00113016
CMS_001_RNA_A_S1_ksize_15	CMS_021_RNA_A_S16_ksize_15	9540	42971	0.181676	0.0380424	0	0
CMS_001_RNA_A_S1_ksize_15	CMS_022_RNA_A_S6_ksize_15	10261	44358	0.187865	0.0371304	27	0.00263132
CMS_001_RNA_A_S1_ksize_15	CMS_023_RNA_A_S17_ksize_15	9344	41023	0.185518	0.0374721	2	0.000214041
CMS_001_RNA_A_S1_ksize_15	CMS_024_RNA_A_S15_ksize_15	8112	49185	0.141578	0.0449732	1	0.000123274
CMS_001_RNA_A_S1_ksize_15	CMS_025_RNA_A_S7_ksize_15	4304	52250	0.0761043	0.063092	28	0.00650558
CMS_001_RNA_A_S1_ksize_15	CMS_026_RNA_A_S18_ksize_15	4736	48939	0.0882347	0.0586827	34	0.00717905
CMS_001_RNA_A_S1_ksize_15	CMS_027_RNA_A_S16_ksize_15	6424	52886	0.108312	0.052659	20	0.00311332
CMS_001_RNA_A_S1_ksize_15	CMS_028_RNA_A_S17_ksize_15	7076	49245	0.125637	0.0483729	19	0.00268513
CMS_001_RNA_A_S1_ksize_15	CMS_029_RNA_A_S18_ksize_15	7046	68662	0.0930681	0.0571053	21	0.00298041
CMS_001_RNA_A_S1_ksize_15	CMS_030_RNA_A_S7_ksize_15	7595	53136	0.12506	0.0485049	14	0.00184332
CMS_001_RNA_A_S1_ksize_15	CMS_031_RNA_A_S19_ksize_15	6450	51629	0.111056	0.0519319	20	0.00310078
CMS_001_RNA_A_S1_ksize_15	CMS_032_RNA_A_S7_ksize_15	7531	49072	0.133049	0.0467355	23	0.00305404
CMS_001_RNA_A_S1_ksize_15	CMS_033_RNA_A_S8_ksize_15	7290	49986	0.127278	0.0480012	21	0.00288066
CMS_001_RNA_A_S1_ksize_15	CMS_034_RNA_A_S19_ksize_15	7283	50188	0.126725	0.048126	19	0.00260881
CMS_001_RNA_A_S1_ksize_15	CMS_035_RNA_A_S20_ksize_15	9482	45750	0.171676	0.0395947	34	0.00358574
CMS_001_RNA_A_S1_ksize_15	CMS_036_RNA_A_S20_ksize_15	7134	50210	0.124407	0.048655	21	0.00294365
CMS_001_RNA_A_S1_ksize_15	CMS_037_RNA_A_S21_ksize_15	9462	41680	0.185014	0.0375461	10	0.00105686
CMS_001_RNA_A_S1_ksize_15	CMS_038_RNA_A_S22_ksize_15	8059	45105	0.151588	0.0430512	24	0.00297804
CMS_001_RNA_A_S1_ksize_15	CMS_039_RNA_A_S9_ksize_15	6772	43869	0.133726	0.0465912	15	0.002215
CMS_001_RNA_A_S1_ksize_15	CMS_040_RNA_A_S21_ksize_15	5716	45060	0.112573	0.0515381	11	0.00192442
CMS_001_RNA_A_S1_ksize_15	CMS_041_RNA_A_S10_ksize_15	7410	47851	0.134091	0.0465136	17	0.0022942
CMS_001_RNA_A_S1_ksize_15	CMS_042_RNA_A_S23_ksize_15	6972	44339	0.135877	0.0461375	15	0.00215146
CMS_001_RNA_A_S1_ksize_15	CMS_043_RNA_A_S24_ksize_15	7661	47532	0.138804	0.0455331	22	0.00287169
CMS_001_RNA_A_S1_ksize_15	CMS_044_RNA_A_S25_ksize_15	5927	49744	0.106465	0.0531601	11	0.00185591
CMS_001_RNA_A_S1_ksize_15	CMS_045_RNA_A_S2_ksize_15	17565	32700	0.349448	0.0212242	7	0.00039852
CMS_001_RNA_A_S1_ksize_15	CMS_046_RNA_A_S3_ksize_15	7492	51705	0.12656	0.0481631	20	0.00266951
CMS_001_RNA_A_S1_ksize_15	CMS_047_RNA_A_S4_ksize_15	16463	35601	0.316207	0.023644	28	0.00170078
CMS_001_RNA_A_S1_ksize_15	CMS_048_RNA_A_S5_ksize_15	9356	41622	0.18353	0.0377655	2	0.000213767
CMS_001_RNA_A_S1_ksize_15	CMS_049_RNA_A_S6_ksize_15	11123	43700	0.202889	0.035054	6	0.000539423
CMS_001_RNA_A_S1_ksize_15	CMS_050_RNA_A_S23_ksize_15	10441	39871	0.207525	0.0344493	5	0.000478881
CMS_001_RNA_A_S1_ksize_15	CMS_051_RNA_A_S8_ksize_15	7962	55501	0.125459	0.0484136	17	0.00213514
CMS_001_RNA_A_S1_ksize_15	CMS_052_RNA_A_S7_ksize_15	8650	40737	0.175147	0.0390443	0	0
CMS_001_RNA_A_S1_ksize_15	CMS_053_RNA_A_S8_ksize_15	8723	40752	0.176311	0.0388626	1	0.000114639
CMS_001_RNA_A_S1_ksize_15	CMS_054_RNA_A_S11_ksize_15	6595	45943	0.125528	0.0483977	17	0.00257771
CMS_001_RNA_A_S1_ksize_15	CMS_055_RNA_A_S9_ksize_15	8249	40429	0.169461	0.0399526	2	0.000242454
CMS_001_RNA_A_S1_ksize_15	CMS_056_RNA_A_S10_ksize_15	8370	43338	0.161871	0.0412207	0	0
CMS_001_RNA_A_S1_ksize_15	CMS_057_RNA_A_S11_ksize_15	17111	31222	0.354023	0.0209137	5	0.00029221
CMS_001_RNA_A_S1_ksize_15	CMS_058_RNA_A_S9_ksize_15	11373	45025	0.201656	0.0352176	6	0.000527565
CMS_001_RNA_A_S1_ksize_15	CMS_059_RNA_A_S10_ksize_15	8550	62039	0.121124	0.0494235	28	0.00327485
CMS_001_RNA_A_S1_ksize_15	CMS_060_RNA_A_S12_ksize_15	4223	51257	0.0761175	0.0630867	29	0.00686716
CMS_001_RNA_A_S1_ksize_15	CMS_water1_S11_ksize_15	869	47025	0.0181442	0.107556	2	0.0023015
CMS_001_RNA_A_S1_ksize_15	CMS_water2_S24_ksize_15	5132	77329	0.0622355	0.0691632	14	0.00272798
CMS_001_RNA_A_S1_ksize_15	CMS_water3_Qiagen_S26_ksize_15	8321	60307	0.121248	0.049394	25	0.00300445
CMS_001_RNA_A_S1_ksize_15	CMS_water4_Zymo_S27_ksize_15	2132	97848	0.0213243	0.102447	13	0.00609756
CMS_001_RNA_A_S1_ksize_15	CMS_water5_RNA_A_S12_ksize_15	2242	58277	0.0370462	0.0851232	1	0.00044603
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_10a_Rb_S119_L004_ksize_15	6459	23802	0.213443	0.0337	11	0.00170305
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_13a_Rb_S120_L004_ksize_15	6642	27999	0.191738	0.0365771	11	0.00165613
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_16a_Rb_S121_L004_ksize_15	4116	27756	0.129142	0.0475857	28	0.00680272
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_17a_Rb_S122_L004_ksize_15	4147	33071	0.111425	0.0518356	29	0.00699301
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_17b_Rb_S123_L004_ksize_15	4052	34240	0.105818	0.0533377	29	0.00715696
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_17c_Rb_S124_L004_ksize_15	4258	36363	0.104823	0.0536137	30	0.00704556
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_17d_Rb_S125_L004_ksize_15	4048	39153	0.0937015	0.0569052	29	0.00716403
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_17e_Rb_S126_L004_ksize_15	4146	29194	0.124355	0.048667	29	0.00699469
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_18a_Rb_S128_L004_ksize_15	4153	31062	0.117933	0.0501927	30	0.00722369
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_18b_Rb_S129_L004_ksize_15	4138	35240	0.105084	0.0535409	29	0.00700822
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_19a_Rb_S130_L004_ksize_15	4193	32982	0.112791	0.0514821	29	0.00691629
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_1a_Rb_S116_L004_ksize_15	6844	28224	0.195164	0.0360985	14	0.00204559
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_20a_Rb_S131_L004_ksize_15	4210	28806	0.127514	0.0479483	30	0.00712589
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_20b_Rb_S132_L004_ksize_15	4164	29414	0.12401	0.0487468	30	0.00720461
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_20c_Rb_S133_L004_ksize_15	4373	28957	0.131203	0.0471337	30	0.00686028
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_20d_Rb_S134_L004_ksize_15	4117	30152	0.120138	0.0496587	25	0.00607238
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_20e_Rb_S135_L004_ksize_15	4131	30300	0.119979	0.0496968	28	0.00677802
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_21a_Rb_S136_L004_ksize_15	4255	30916	0.12098	0.0494575	32	0.00752056
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_22a_Rb_S137_L004_ksize_15	6880	25324	0.213638	0.0336757	13	0.00188953
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_23a_Rb_S138_L004_ksize_15	6697	25622	0.207216	0.0344892	13	0.00194117
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_25a_Rb_S140_L004_ksize_15	3627	30094	0.107559	0.0528621	28	0.00771988
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_25b_Rb_S141_L004_ksize_15	4046	30449	0.117292	0.0503499	29	0.00716757
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_25c_Rb_S142_L004_ksize_15	3934	33027	0.106437	0.0531679	31	0.00788002
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_25d_Rb_S143_L004_ksize_15	4327	30604	0.123873	0.0487785	29	0.0067021
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_25e_Rb_S144_L004_ksize_15	4137	32328	0.113451	0.0513129	28	0.00676819
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_25f_Rb_S145_L004_ksize_15	3867	32681	0.105806	0.0533411	28	0.00724076
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_26a_Rb_S146_L004_ksize_15	4100	30628	0.11806	0.0501615	24	0.00585366
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_26b_Rb_S147_L004_ksize_15	4023	30432	0.116761	0.050481	24	0.0059657
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_26c_Rb_S148_L004_ksize_15	4142	35189	0.105311	0.0534779	23	0.00555287
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_26d_Rb_S149_L004_ksize_15	3964	31904	0.110516	0.0520732	24	0.00605449
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_26e_Rb_S150_L004_ksize_15	4286	37523	0.102514	0.0542646	25	0.00583294
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_27a_Rb_S152_L004_ksize_15	6489	26700	0.195517	0.0360497	8	0.00123286
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_27b_Rb_S153_L004_ksize_15	6689	31816	0.173718	0.0392694	14	0.00209299
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_28a_Rb_S154_L004_ksize_15	8945	19257	0.317176	0.0235691	2	0.000223589
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_28b_Rb_S155_L004_ksize_15	9724	19621	0.331368	0.0225027	4	0.000411353
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_28c_Rb_S156_L004_ksize_15	9574	21257	0.310532	0.0240889	3	0.000313349
CMS002_053a_Rb_S7_L004_ksize_15	CMS_002_28d_Rb_S157_L004_ksize_15	9372	20306	0.315789	0.0236764	3	0.000320102
