NewIDseqName,visual_genus,visual_species,ska_genus,ska_species,CMS002_053a_Rb_S7_L004,CMS_001_RNA_A_S1,CMS_002_10a_Rb_S119_L004,CMS_002_13a_Rb_S120_L004,CMS_002_16a_Rb_S121_L004,CMS_002_17a_Rb_S122_L004,CMS_002_17b_Rb_S123_L004,CMS_002_17c_Rb_S124_L004,CMS_002_17d_Rb_S125_L004,CMS_002_17e_Rb_S126_L004,CMS_002_18a_Rb_S128_L004,CMS_002_18b_Rb_S129_L004,CMS_002_19a_Rb_S130_L004,CMS_002_1a_Rb_S116_L004,CMS_002_20a_Rb_S131_L004,CMS_002_20b_Rb_S132_L004,CMS_002_20c_Rb_S133_L004,CMS_002_20d_Rb_S134_L004,CMS_002_20e_Rb_S135_L004,CMS_002_21a_Rb_S136_L004,CMS_002_22a_Rb_S137_L004,CMS_002_23a_Rb_S138_L004,CMS_002_25a_Rb_S140_L004,CMS_002_25b_Rb_S141_L004,CMS_002_25c_Rb_S142_L004,CMS_002_25d_Rb_S143_L004,CMS_002_25e_Rb_S144_L004,CMS_002_25f_Rb_S145_L004,CMS_002_26a_Rb_S146_L004,CMS_002_26b_Rb_S147_L004,CMS_002_26c_Rb_S148_L004,CMS_002_26d_Rb_S149_L004,CMS_002_26e_Rb_S150_L004,CMS_002_27a_Rb_S152_L004,CMS_002_27b_Rb_S153_L004,CMS_002_28a_Rb_S154_L004,CMS_002_28b_Rb_S155_L004,CMS_002_28c_Rb_S156_L004,CMS_002_28d_Rb_S157_L004,CMS_002_28e_Rb_S158_L004,CMS_002_29a_Rb_S159_L004,CMS_002_29b_Rb_S160_L004,CMS_002_29c_Rb_S161_L004,CMS_002_29d_Rb_S162_L004,CMS_002_29e_Rb_S164_L004,CMS_002_31a_Rb_S165_L004,CMS_002_32a_Rb_S166_L004,CMS_002_33a_Rb_S167_L004,CMS_002_34a_Rb_S168_L004,CMS_002_35a_Rb_S169_L004,CMS_002_36a_Rb_S170_L004,CMS_002_37a_Rb_S171_L004,CMS_002_38a_Rb_S172_L004,CMS_002_39a_Rb_S173_L004,CMS_002_40a_Rb_S174_L004,CMS_002_41a_Rb_S176_L004,CMS_002_42a_Rb_S177_L004,CMS_002_44a_Rb_S178_L004,CMS_002_44b_Rb_S179_L004,CMS_002_44c_Rb_S180_L004,CMS_002_44d_Rb_S181_L004,CMS_002_44e_Rb_S182_L004,CMS_002_45a_Rb_S183_L004,CMS_002_45b_Rb_S184_L004,CMS_002_45c_Rb_S185_L004,CMS_002_45d_Rb_S186_L004,CMS_002_45e_Rb_S188_L004,CMS_002_45f_Rb_S189_L004,CMS_002_45g_Rb_S190_L004,CMS_002_46a_Rb_S191_L004,CMS_002_46b_Rb_S192_L004,CMS_002_47a_Rb_S193_L004,CMS_002_47b_Rb_S194_L004,CMS_002_47c_Rb_S195_L004,CMS_002_47d_Rb_S196_L004,CMS_002_47e_Rb_S197_L004,CMS_002_47f_Rb_S198_L004,CMS_002_47g_Rb_S200_L004,CMS_002_47h_Rb_S1_L004,CMS_002_47i_Rb_S2_L004,CMS_002_47j_Rb_S3_L004,CMS_002_49a_Rb_S4_L004,CMS_002_4a_Rb_S117_L004,CMS_002_50a_Rb_S5_L004,CMS_002_51a_Rb_S6_L004,CMS_002_54a_Rb_S8_L004,CMS_002_56a_Rb_S9_L004,CMS_002_57a_Rb_S10_L004,CMS_002_7a_Rb_S118_L004,CMS_002_RNA_A_S1,CMS_003_RNA_A_S2,CMS_004_RNA_A_S2,CMS_005_RNA_A_S3,CMS_006_RNA_A_S5,CMS_007_RNA_A_S12,CMS_008_RNA_A_S3,CMS_009_RNA_A_S13,CMS_010_RNA_A_S1,CMS_011_RNA_A_S4,CMS_012_RNA_A_S4,CMS_013_RNA_A_S5,CMS_014_RNA_A_S5,CMS_015_RNA_A_S13,CMS_016_RNA_A_S6,CMS_017_RNA_A_S6,CMS_018_RNA_A_S14,CMS_019_RNA_A_S14,CMS_020_RNA_A_S15,CMS_021_RNA_A_S16,CMS_022_RNA_A_S6,CMS_023_RNA_A_S17,CMS_024_RNA_A_S15,CMS_025_RNA_A_S7,CMS_026_RNA_A_S18,CMS_027_RNA_A_S16,CMS_028_RNA_A_S17,CMS_029_RNA_A_S18,CMS_030_RNA_A_S7,CMS_031_RNA_A_S19,CMS_032_RNA_A_S7,CMS_033_RNA_A_S8,CMS_034_RNA_A_S19,CMS_035_RNA_A_S20,CMS_036_RNA_A_S20,CMS_037_RNA_A_S21,CMS_038_RNA_A_S22,CMS_039_RNA_A_S9,CMS_040_RNA_A_S21,CMS_041_RNA_A_S10,CMS_042_RNA_A_S23,CMS_043_RNA_A_S24,CMS_044_RNA_A_S25,CMS_045_RNA_A_S2,CMS_046_RNA_A_S3,CMS_047_RNA_A_S4,CMS_048_RNA_A_S5,CMS_049_RNA_A_S6,CMS_050_RNA_A_S23,CMS_051_RNA_A_S8,CMS_052_RNA_A_S7,CMS_053_RNA_A_S8,CMS_054_RNA_A_S11,CMS_055_RNA_A_S9,CMS_056_RNA_A_S10,CMS_057_RNA_A_S11,CMS_058_RNA_A_S9,CMS_059_RNA_A_S10,CMS_060_RNA_A_S12
CMS002_027a_Rb_S152_L004,Culex,quinquefasciatus,Culex,quinquefasciatus,0.00123286,0.0015006,0.0,0.0,0.00630676,0.00601504,0.00645661,0.00636132,0.00594776,0.00603318,0.006271100000000001,0.00641355,0.00618079,0.00027178799999999997,0.00616371,0.00589681,0.00592839,0.00570012,0.005950899999999999,0.00655022,0.0,0.000444939,0.00657331,0.00653061,0.00629921,0.00584226,0.00622084,0.00631413,0.00488238,0.00493305,0.00575374,0.00518007,0.00498188,0.0,0.000568551,0.00142857,0.00140911,0.001396,0.00169544,0.00185385,0.00154107,0.00160539,0.00150693,0.00253986,0.00166389,0.00190992,0.0016372,0.00157085,0.00159058,0.00174603,0.0016469000000000002,0.00153941,0.00143244,0.00178833,0.00157381,0.00193361,0.00174703,0.00502693,0.00556793,0.00580368,0.00551572,0.00526316,0.00512416,0.00517464,0.00555881,0.00504414,0.00564493,0.00546001,0.00501139,8.78426e-05,0.00018846599999999998,0.00172793,0.00153767,0.00141777,0.00131298,0.00144741,0.00141243,0.00143931,0.00142068,0.00126944,0.00147275,0.000546597,0.0,0.000474158,0.000652742,0.000589762,0.00140428,0.000590667,0.0065123,0.00194332,0.00643087,0.0010019999999999999,0.00640293,0.00131019,0.00125516,0.00678392,0.00658415,0.00133712,0.00125451,0.00572519,0.00147832,0.00596057,0.0014730000000000001,0.00568855,0.00135272,0.00117371,0.0014918,0.00133222,0.0012966,0.00116959,0.00129178,0.00125268,0.00654912,0.005950899999999999,0.00164264,0.00185717,0.00150584,0.000569692,0.00161348,0.00163586,0.00157828,0.0018105,0.00110497,0.00174964,0.00132166,0.00161708,0.00166583,0.00129414,0.000386436,0.00159388,0.00163026,0.000542594,0.00179066,0.00162946,0.00168237,0.00199302,0.00124417,0.00163547,0.00165364,0.00133645,0.00130676,0.000611372,0.00133089,0.00136495,0.00185623,0.00122511,0.0007098489999999999,0.00613968
CMS002_027b_Rb_S153_L004,Culex,quinquefasciatus,Culex,pipiens,0.00209299,0.00309478,0.00020414400000000002,0.000407498,0.00641658,0.00643087,0.00674326,0.00667986,0.00613196,0.00667986,0.00679777,0.00706535,0.00669477,0.000748379,0.00653911,0.00621118,0.00631727,0.00571145,0.00632911,0.00670819,0.0005489080000000001,0.0009481369999999999,0.00701376,0.00670795,0.00718133,0.00669376,0.00671141,0.00670968,0.00552956,0.00571429,0.00677596,0.006241,0.00614439,0.000568551,0.0,0.00195606,0.00224316,0.00253014,0.0023456999999999996,0.00282025,0.00275642,0.00222222,0.0020564,0.00356415,0.00224719,0.00310743,0.00246002,0.00225734,0.00212895,0.00278862,0.00218069,0.00205761,0.00235818,0.00242388,0.00209675,0.00313667,0.00218892,0.00574813,0.00620852,0.00616067,0.00648999,0.00581079,0.0055607,0.00618812,0.00641562,0.00617589,0.00652706,0.0062435,0.00574967,0.00048383199999999996,0.000595795,0.00280733,0.00243982,0.00212314,0.00232811,0.00226381,0.00222585,0.00272273,0.00206825,0.00210463,0.00214166,0.000349284,0.00028061,0.00021645,0.000287081,0.00010863700000000001,0.00190476,0.000209205,0.00655277,0.00237042,0.00618511,0.0007245060000000001,0.00593929,0.00199631,0.00139714,0.00642292,0.00671141,0.00159109,0.00212218,0.00603388,0.00204918,0.00596421,0.00177534,0.00566765,0.00222717,0.00210621,0.00221379,0.0018794,0.0018315000000000002,0.00148343,0.00158655,0.00141844,0.00617589,0.00645905,0.00197451,0.00273806,0.00156968,0.000250042,0.00209132,0.00224316,0.0023088,0.0021745000000000002,0.00144483,0.00223148,0.00175299,0.00257806,0.00214889,0.00181061,0.000169823,0.00227964,0.0022621,0.000196136,0.00244424,0.00279494,0.00229998,0.00302355,0.00198413,0.00195451,0.00244399,0.00177878,0.00189215,0.00028103,0.00189424,0.0016218,0.00329466,0.0024872,0.000456135,0.00602712
CMS002_028a_Rb_S154_L004,Culex,erythrothorax,Culex,erythrothorax,0.000223589,0.000327118,0.00157431,0.00166289,0.00731954,0.00758342,0.00719979,0.00748967,0.00723888,0.00684584,0.0070922,0.0075358000000000005,0.00739042,0.00180018,0.00682261,0.00656296,0.00678521,0.00584053,0.00664861,0.00786651,0.00223647,0.00211066,0.00781032,0.00763761,0.00739985,0.007327800000000001,0.00756811,0.00728597,0.00652283,0.00649838,0.00660234,0.00632591,0.00669643,0.00142857,0.00195606,0.0,0.00010800299999999999,0.000221754,0.000105865,0.000326087,0.00248067,0.00207193,0.00216857,0.00200172,0.00218682,0.00189366,0.0021164,0.00232863,0.00194175,0.0021777,0.00211289,0.00215827,0.00239736,0.00241948,0.00192365,0.00226176,0.00230339,0.00592954,0.00648929,0.00702811,0.00624888,0.00607511,0.00623501,0.00657063,0.00662824,0.00633553,0.00671704,0.00645335,0.00600462,0.00172522,0.00214067,0.000106474,0.0,0.000111794,0.0,0.0,0.000221117,0.00021901,0.0,0.0,0.000219082,0.0022992,0.00169492,0.00199081,0.00199938,0.00159603,0.00211321,0.00219909,0.00767442,0.00220646,0.00761137,0.00206612,0.00732357,0.00011242299999999999,0.000135135,0.00718711,0.00617118,0.000245549,0.00011512799999999999,0.00648749,0.000249594,0.00637923,0.000126743,0.00629213,0.00011812,0.000126295,0.00012130000000000001,0.00023609999999999997,0.000119976,0.00013204799999999998,0.000120351,0.000256772,0.00723372,0.00620081,0.00252616,0.00214983,0.00166417,0.00178306,0.0024055,0.00214988,0.00204858,0.00188188,0.000137969,0.00206612,0.0,0.00201207,0.00202713,0.0017838,0.0015647,0.0019802,0.00212928,0.00156849,0.0005876130000000001,0.00197749,0.000256739,0.000125992,0.000116374,0.000276549,0.00201149,0.000250344,0.000127113,0.0021609000000000003,0.000132065,0.000129467,0.0,0.000111235,0.0017320999999999999,0.00645482
CMS002_028b_Rb_S155_L004,Culex,erythrothorax,Culex,erythrothorax,0.00041135300000000004,0.000412456,0.00154416,0.00164057,0.00693756,0.00712181,0.00742574,0.00765621,0.00727912,0.00719603,0.00745192,0.00782205,0.00736377,0.00163472,0.00686228,0.00694611,0.00698649,0.00598355,0.00644853,0.00724807,0.00207254,0.00195754,0.00839426,0.00747943,0.00754148,0.00734249,0.00798452,0.00745693,0.00650325,0.00648379,0.00610948,0.00629723,0.00634697,0.00140911,0.00224316,0.00010800299999999999,0.0,0.0004923680000000001,0.000523944,0.00039135099999999996,0.00300343,0.00250774,0.00261362,0.00268551,0.00248602,0.0024189,0.00234742,0.00277453,0.00268017,0.00271778,0.00263814,0.00243623,0.00284858,0.00254339,0.0028930999999999996,0.00240024,0.00260841,0.00614649,0.00694444,0.00702009,0.00651179,0.00621449,0.00637846,0.00640394,0.00639422,0.00620194,0.00647599,0.00627451,0.00594422,0.00168945,0.00196523,0.0008021660000000001,0.000237304,0.00040691800000000004,0.000312761,0.00010670100000000001,0.00021537799999999998,0.00020026,0.000100644,0.000310045,0.000106952,0.00273681,0.00168067,0.00197628,0.00182704,0.00158646,0.00233474,0.00235052,0.00711009,0.00252485,0.00732682,0.00189334,0.00672597,0.000546209,0.000391287,0.00709046,0.00628931,0.000238777,0.00032226900000000003,0.00678733,0.00022857099999999998,0.00671432,0.00036162,0.00675234,0.0003427,0.000366345,0.000567086,0.000223789,0.000686577,0.000630756,0.000352485,0.0005130180000000001,0.00651073,0.00630841,0.00251708,0.00247321,0.00168039,0.00175362,0.00288331,0.00241073,0.00332755,0.00277089,0.000532481,0.00327402,0.00034855300000000004,0.00229956,0.00231839,0.0019565999999999997,0.00156544,0.00224081,0.0025614,0.00172028,0.0004584,0.00242608,0.000373367,0.00035936800000000005,0.00044647800000000004,0.000260586,0.00226565,0.000233918,0.000360707,0.00208902,0.000247617,0.000374205,0.000353774,0.000315159,0.00198553,0.00635231
CMS002_028c_Rb_S156_L004,Culex,erythrothorax,Culex,erythrothorax,0.00031334900000000004,0.000505153,0.00186018,0.00209268,0.00694617,0.00661278,0.00720139,0.00730105,0.00699475,0.00684764,0.00688509,0.00732422,0.00712356,0.00206551,0.00625903,0.0062439999999999996,0.00652985,0.00572282,0.00573066,0.00642704,0.00235849,0.00213382,0.00766993,0.00733064,0.00675338,0.007037300000000001,0.00791747,0.00702576,0.00580833,0.00567481,0.00589102,0.00550826,0.00563645,0.001396,0.00253014,0.000221754,0.0004923680000000001,0.0,0.00020496,9.39761e-05,0.0028393,0.00265057,0.00303819,0.00239369,0.00249844,0.00272128,0.00293815,0.00274765,0.00318794,0.00300172,0.00280401,0.00256666,0.00292355,0.00285628,0.00289436,0.00252338,0.00262037,0.00612766,0.00641424,0.00666173,0.00571627,0.00584692,0.00521779,0.0056413999999999995,0.00611621,0.00554885,0.00626703,0.00588386,0.0053027000000000005,0.00211066,0.00198746,0.00010026100000000001,0.0,0.000366939,0.00020559200000000002,0.00010717,0.00043802,0.00019527400000000003,0.00019878700000000002,0.000312924,0.00010491,0.00229288,0.00212314,0.00212218,0.00215883,0.00175871,0.00251777,0.00218818,0.00636798,0.00218511,0.0063305,0.00172468,0.00558779,0.00032089,0.000393236,0.00634766,0.00609594,0.000341647,0.000432246,0.00684619,0.00023105400000000001,0.00571792,0.0007229789999999999,0.00567686,0.000462909,0.000361838,0.000458138,0.00035215400000000003,0.00044979199999999997,0.000489716,0.00046067,0.00038570300000000004,0.00632757,0.00565638,0.00266525,0.00231214,0.00216342,0.00190309,0.0034031,0.00260337,0.00357143,0.00337788,0.000514801,0.00346721,0.000348432,0.00230132,0.00203316,0.00213637,0.00199816,0.00257888,0.00286101,0.00156196,0.00045803300000000005,0.00241109,0.000375141,0.000483851,0.0008830999999999999,0.00037993900000000004,0.00251748,0.00023296400000000003,0.000480365,0.0021183000000000005,0.000255722,0.000380711,0.000481174,0.000524384,0.00209409,0.00566363
CMS002_028d_Rb_S157_L004,Culex,erythrothorax,Culex,erythrothorax,0.000320102,0.000310623,0.00153752,0.00175362,0.00718711,0.00716403,0.00725726,0.00761858,0.00733806,0.00714638,0.00746448,0.00792275,0.00767897,0.00202576,0.00648571,0.00619638,0.00639708,0.00575144,0.00619343,0.00753118,0.00230249,0.00234295,0.00794085,0.00755012,0.00747198,0.00736867,0.00783929,0.00728597,0.00663554,0.00643246,0.00618812,0.00601956,0.00620377,0.00169544,0.0023456999999999996,0.000105865,0.000523944,0.00020496,0.0,0.000905888,0.00295359,0.00249743,0.00284495,0.00275293,0.00292578,0.00258213,0.0026261999999999995,0.00285307,0.00243798,0.00291667,0.00250442,0.00250452,0.00292312,0.0030896,0.00256301,0.00296252,0.00261566,0.00636723,0.00658594,0.00692042,0.00646288,0.00613054,0.00579509,0.00644043,0.00657707,0.00603318,0.00696961,0.00632078,0.00568828,0.00196821,0.00208271,0.000102375,0.000240442,0.000318539,0.000110169,0.00021920200000000002,0.00042840300000000005,0.00010305,0.000526815,0.000329707,0.0007345230000000001,0.0020908000000000003,0.00194757,0.0021097,0.00194553,0.00158144,0.00264356,0.00184554,0.00718778,0.00265211,0.00657755,0.00188976,0.0065084999999999995,0.000448129,0.000400588,0.00664534,0.00577731,0.000239693,0.000329924,0.00723164,0.000239578,0.00608221,0.000245972,0.00580021,0.000349121,0.000246853,0.000584727,0.000353815,0.000229095,0.000376506,0.00058072,0.000264901,0.00686106,0.00585069,0.0024951,0.00246103,0.00182724,0.00217517,0.00271003,0.00228693,0.00313167,0.00282247,0.000276472,0.0029855,0.00012327399999999999,0.00230663,0.00232378,0.0017819000000000003,0.00182927,0.00240602,0.00267817,0.00157068,0.00057857,0.00239413,0.000258198,0.000246914,0.000571755,0.000273112,0.00233773,0.00036932199999999994,0.000246853,0.00227015,0.000382946,0.00025601599999999997,0.000239751,0.000424583,0.00206583,0.00642451
CMS002_028e_Rb_S158_L004,Culex,erythrothorax,Culex,erythrothorax,0.000206548,0.00174187,0.0023663,0.00240421,0.00664043,0.00671475,0.00702282,0.00697732,0.00677541,0.00828258,0.00682594,0.00721752,0.00690506,0.00222982,0.00621266,0.006271100000000001,0.00627469,0.00645642,0.00622904,0.00665241,0.00238806,0.00215318,0.00734095,0.00724457,0.00717949,0.00685255,0.00708008,0.0070922,0.00629998,0.00615968,0.00862999,0.00795756,0.00641026,0.00185385,0.00282025,0.000326087,0.00039135099999999996,9.39761e-05,0.000905888,0.0,0.00289226,0.00210431,0.00273539,0.00281334,0.00222152,0.00393968,0.00272232,0.00254873,0.0027088,0.00289897,0.00243605,0.00260003,0.00316092,0.00291143,0.00206095,0.0042505,0.00266134,0.00593925,0.00635055,0.00642134,0.00605222,0.00587189,0.00604089,0.00580833,0.00605727,0.00566502,0.00637119,0.00598802,0.00568182,0.00254529,0.00275778,0.00020406099999999998,0.0,0.000402536,0.00031198,0.00011038700000000001,0.00021155099999999998,0.00010008,0.0,0.000209271,0.0005024119999999999,0.00205242,0.00246723,0.00217459,0.00250823,0.00193016,0.00253391,0.00238557,0.00659091,0.00252525,0.00660357,0.00189125,0.0061122,0.000439512,0.000129266,0.00688637,0.00745226,0.0,0.000441014,0.0064905,0.0,0.00600858,0.0006035,0.00617284,0.000117925,0.000120034,0.00057241,0.00232939,0.000349081,0.000123993,0.000341647,0.000251541,0.00682594,0.00635743,0.00266619,0.00238739,0.00243191,0.0022378,0.00239112,0.00279894,0.00253504,0.00268617,0.000254194,0.00264317,0.000231857,0.00246647,0.00206251,0.00213295,0.00233791,0.00243791,0.00246268,0.00189983,0.00184478,0.00229323,0.00078303,0.000241517,0.000647529,0.0,0.00201526,0.0,0.000241051,0.00239273,0.000130599,0.000127845,0.00034118,0.000106338,0.00243798,0.00625
CMS002_029a_Rb_S159_L004,Culex,tarsalis,Culex,tarsalis,0.00327589,0.00301917,0.00183374,0.00216294,0.00522193,0.00541686,0.00581255,0.00638751,0.00674732,0.00519481,0.00577101,0.00584385,0.0056444,0.00227111,0.00547071,0.00550459,0.00525855,0.0049238,0.00527523,0.00638249,0.00200717,0.00202752,0.00604786,0.00568322,0.0058309,0.00511566,0.00537634,0.0057072,0.00584084,0.00602845,0.00528973,0.00560156,0.00558659,0.00154107,0.00275642,0.00248067,0.00300343,0.0028393,0.00295359,0.00289226,0.0,0.000462577,0.000282512,9.69462e-05,0.000186254,0.0008077539999999999,0.00100146,0.00035242300000000004,0.000498952,0.00103842,0.000750047,0.000846167,0.00096095,0.0008438030000000001,0.00075815,0.000620155,0.00024076099999999998,0.00380113,0.00412655,0.00551294,0.00408741,0.00359712,0.00583745,0.00547358,0.00583333,0.00559611,0.00610264,0.00568035,0.00472915,0.00211416,0.00255986,0.00315322,0.00253325,0.00247417,0.0027084,0.00286145,0.00221566,0.00340287,0.00262735,0.00262314,0.002693,0.00277859,0.00266469,0.00225938,0.00235675,0.00192073,0.000282539,0.00214011,0.00638064,0.000247739,0.00567823,0.00233973,0.00604595,0.00253769,0.00261597,0.00560486,0.0055668,0.00232486,0.00272284,0.00564726,0.00244163,0.00569106,0.00224618,0.00566513,0.00287036,0.00212831,0.00295674,0.00264303,0.00220561,0.00243124,0.0024070999999999997,0.00260976,0.00629077,0.00584927,0.0,0.000210217,0.00212696,0.00223745,0.000549089,0.000104439,0.000191095,0.00031783,0.00247001,0.00021549400000000002,0.00247831,0.00044405,0.000241109,0.00239071,0.00213447,0.000228024,0.00011145799999999999,0.00265722,0.00279248,0.000127453,0.00244738,0.0026759,0.00255754,0.00263343,0.00017553099999999998,0.00238209,0.002414,0.00258607,0.00236407,0.00208634,0.00284176,0.00314724,0.00227151,0.00588235
CMS002_029b_Rb_S160_L004,Culex,tarsalis,Culex,tarsalis,0.00223447,0.00231014,0.00172036,0.00208488,0.005950899999999999,0.00620501,0.00633553,0.00663943,0.00653595,0.00575576,0.00593325,0.00655242,0.00657562,0.00194436,0.00660308,0.00612295,0.00638902,0.00583312,0.00619886,0.00745192,0.00178811,0.00205822,0.00704798,0.00649182,0.00654912,0.0059312,0.00624532,0.00645494,0.006300399999999999,0.00637755,0.00636943,0.00643335,0.00629247,0.00160539,0.00222222,0.00207193,0.00250774,0.00265057,0.00249743,0.00210431,0.000462577,0.0,0.00061287,0.000106078,0.00046594,0.00146346,0.00161258,0.00108147,0.00103638,0.00180652,0.0009832839999999999,0.00108021,0.00153066,0.00132865,0.00139498,0.000827387,0.000124363,0.00398406,0.00481251,0.00594354,0.00410914,0.004004,0.00599664,0.00635647,0.00698283,0.00645995,0.00703235,0.00679348,0.00550418,0.00204018,0.0022604,0.00279659,0.00255143,0.00253807,0.00258713,0.00283286,0.00238592,0.0029882,0.00281732,0.00239449,0.002397,0.00268938,0.00200617,0.00228033,0.00216357,0.00191905,0.001,0.00234226,0.00676306,0.00012650200000000002,0.00627381,0.00235923,0.00650224,0.00268456,0.00244627,0.00670474,0.00577125,0.00214494,0.00256024,0.00566636,0.00245399,0.00684327,0.00215418,0.00608794,0.00280025,0.00242326,0.00247448,0.00231374,0.00251351,0.0020829999999999998,0.00220716,0.0029734,0.00644681,0.00611765,0.000128883,0.00032690400000000004,0.00183762,0.00216826,0.00088741,0.000505306,0.000480723,0.000832206,0.00252525,0.000208725,0.00205566,0.000336549,0.0,0.00206932,0.00216618,0.000225632,0.00011379200000000001,0.0033455,0.00241109,0.0,0.00213605,0.00235923,0.00287553,0.00249066,0.000455166,0.00209373,0.00244088,0.00241196,0.00231481,0.00189603,0.00234779,0.00246878,0.00207039,0.0060030000000000005
CMS002_029c_Rb_S161_L004,Culex,tarsalis,Culex,tarsalis,0.00257954,0.00210143,0.00169832,0.00193712,0.00561112,0.00584368,0.00628773,0.00675676,0.00649351,0.00542005,0.00636943,0.0066388,0.00622045,0.00215115,0.00675676,0.00649038,0.00653595,0.00596273,0.006773100000000001,0.00754717,0.00271506,0.0017530999999999998,0.00693097,0.00654108,0.00627983,0.00585069,0.00619732,0.00625939,0.00635324,0.00629247,0.00642178,0.00615069,0.00662577,0.00150693,0.0020564,0.00216857,0.00261362,0.00303819,0.00284495,0.00273539,0.000282512,0.00061287,0.0,0.000303613,0.00010349799999999999,0.000903342,0.000897465,0.000693756,0.000332521,0.000879593,0.000863744,0.00048393300000000003,0.00040945900000000004,0.000637823,0.00064288,0.00034223099999999997,0.0,0.00376825,0.00465587,0.00579053,0.00452708,0.00388055,0.00635294,0.00641026,0.00646869,0.00616333,0.00657519,0.00631868,0.00537033,0.00207346,0.00243977,0.00315548,0.00257193,0.00280319,0.00246192,0.00226689,0.00205249,0.00342058,0.00234604,0.0023753,0.00195371,0.00242976,0.00196345,0.00213675,0.00221959,0.00194932,0.000215866,0.00243763,0.00751195,0.000126887,0.00727032,0.00250235,0.00723367,0.00210242,0.002457,0.00655817,0.00584485,0.00203411,0.0023185,0.00584007,0.00215949,0.00671577,0.00228554,0.00618511,0.00270184,0.00229283,0.00262995,0.00234742,0.00267953,0.00236444,0.00222552,0.00280992,0.00667821,0.00616845,0.000132013,0.0,0.00207303,0.00223776,0.00023649,0.000109975,0.00020637700000000002,0.000321543,0.00251889,0.000223214,0.0023622,0.000351206,0.0,0.00210231,0.00217865,0.000231965,0.0,0.00264839,0.00229323,0.00013113,0.00228534,0.00239006,0.00237962,0.00250402,0.00019517900000000002,0.00251691,0.00229885,0.00244658,0.00222363,0.00177334,0.0022015999999999997,0.00263669,0.0018543,0.00648703
CMS002_029d_Rb_S162_L004,Culex,tarsalis,Culex,tarsalis,0.00294448,0.00229451,0.00165963,0.00202957,0.00580833,0.00586441,0.00632296,0.00676655,0.00659341,0.00594813,0.0062069,0.00643777,0.00629083,0.00300259,0.00660066,0.006413299999999999,0.00630205,0.00595534,0.00693117,0.00762477,0.00182226,0.00259977,0.00669165,0.00640041,0.00644681,0.00590909,0.00629083,0.00633232,0.00650976,0.00643883,0.0062282,0.00634035,0.00669696,0.00253986,0.00356415,0.00200172,0.00268551,0.00239369,0.00275293,0.00281334,9.69462e-05,0.000106078,0.000303613,0.0,0.00011147,0.000633847,0.000338715,0.000106451,0.000239636,0.000932933,0.00023004400000000002,0.00029997,0.000325486,0.000216873,0.000458169,0.00035642199999999996,0.0,0.00373774,0.00458259,0.00615006,0.00448934,0.00398936,0.00635786,0.00653102,0.00666667,0.00633714,0.00667966,0.00644468,0.00523903,0.00303909,0.0025788,0.00293912,0.00205534,0.00228833,0.00254682,0.00235156,0.00201904,0.00306212,0.00242165,0.00241512,0.00246341,0.00217644,0.00205249,0.002075,0.00200029,0.00192476,0.0,0.00208623,0.00740076,0.00024567,0.00668392,0.00239952,0.00671704,0.0026424,0.00223829,0.00676492,0.00606061,0.0023141,0.00296652,0.0061551999999999996,0.00241182,0.00665696,0.00246192,0.00649632,0.00248139,0.00242326,0.00287356,0.00255255,0.0022309,0.00263321,0.00263081,0.00264026,0.00666825,0.00648298,0.00013204799999999998,0.00011697299999999999,0.00346386,0.00239712,0.00024419999999999997,0.0,0.00021365200000000002,0.000516369,0.00267189,0.00033418699999999995,0.00245738,0.00011812,0.0,0.00226995,0.00222453,0.00033844800000000004,0.0,0.00180594,0.00279289,0.0,0.00256739,0.00259463,0.00235882,0.00264271,0.00029985,0.00250156,0.0022748,0.00239425,0.0023309999999999997,0.00205469,0.00228693,0.00259103,0.00228804,0.00633065
