sample	sci_name	group
CMS001_water3_Qiagen_S26	Bacteria	Bacteria
CMS001_water4_Zymo_S27	Bacteria	Bacteria
CMS002_017d_Rb_S125_L004	Bacteria	Bacteria
CMS002_020d_Rb_S134_L004	Bacteria	Bacteria
CMS002_027a_Rb_S152_L004	Bacteria	Bacteria
CMS002_027b_Rb_S153_L004	Bacteria	Bacteria
CMS002_029a_Rb_S159_L004	Bacteria	Bacteria
CMS002_042a_Rb_S177_L004	Bacteria	Bacteria
CMS002_0Water1_Rb_S127_L004	Bacteria	Bacteria
CMS002_0Water2_Rb_S139_L004	Bacteria	Bacteria
CMS002_0Water3_Rb_S151_L004	Bacteria	Bacteria
CMS002_0Water4_Rb_S163_L004	Bacteria	Bacteria
CMS002_0Water5_Rb_S175_L004	Bacteria	Bacteria
CMS002_0Water6_Rb_S187_L004	Bacteria	Bacteria
CMS002_0Water7_Rb_S199_L004	Bacteria	Bacteria
CMS001_020_Ra_S15	Buchnera aphidicola	Bacteria
CMS001_046_Ra_S3	Shewanella	Bacteria
CMS001_water4_Zymo_S27	Myxococcales	Bacteria
CMS002_013a_Rb_S120_L004	Chondromyces crocatus	Bacteria
CMS002_047j_Rb_S3_L004	Sorangium cellulosum	Bacteria
CMS001_water3_Qiagen_S26	Caulobacter	Bacteria
CMS002_047h_Rb_S1_L004	Planctomycetales	Bacteria
CMS002_0Water3_Rb_S151_L004	Planctomycetales	Bacteria
CMS001_011_Ra_S4	Spirochaetales	Bacteria
CMS001_053_Ra_S8	Spirochaetales	Bacteria
CMS001_057_Ra_S11	Spirochaetales	Bacteria
CMS001_001_Ra_S1	Spirochaetaceae	Bacteria
CMS001_026_Ra_S18	Spirochaetaceae	Bacteria
CMS001_057_Ra_S11	Spirochaetaceae	Bacteria
CMS002_027b_Rb_S153_L004	Spirochaetaceae	Bacteria
CMS002_038a_Rb_S172_L004	Spirochaetaceae	Bacteria
CMS001_001_Ra_S1	Borrelia	Bacteria
CMS001_057_Ra_S11	Treponema	Bacteria
CMS002_034a_Rb_S168_L004	Brachyspira hyodysenteriae	Bacteria
CMS001_001_Ra_S1	Treponema saccharophilum	Bacteria
CMS001_057_Ra_S11	Treponema sp.	Bacteria
CMS001_045_Ra_S2	Azospirillum brasilense	Bacteria
CMS001_023_Ra_S17	Campylobacter	Bacteria
CMS002_047a_Rb_S193_L004	Campylobacter jejuni	Bacteria
CMS001_021_Ra_S16	Helicobacter pylori	Bacteria
CMS001_040_Ra_S21	Helicobacter pylori	Bacteria
CMS001_006_Ra_S5	Flavobacterium	Bacteria
CMS002_007a_Rb_S118_L004	Chryseobacterium gleum	Bacteria
CMS001_006_Ra_S5	Pseudomonas	Bacteria
CMS001_049_Ra_S6	Pseudomonas	Bacteria
CMS001_054_Ra_S11	Pseudomonas	Bacteria
CMS001_water4_Zymo_S27	Pseudomonas	Bacteria
CMS002_041a_Rb_S176_L004	Pseudomonas	Bacteria
CMS002_007a_Rb_S118_L004	Pseudomonas aeruginosa	Bacteria
CMS001_031_Ra_S19	Burkholderia cepacia	Bacteria
CMS002_039a_Rb_S173_L004	Pseudomonas putida	Bacteria
CMS002_020a_Rb_S131_L004	Pseudomonas stutzeri	Bacteria
CMS001_014_Ra_S5	Xanthomonas	Bacteria
CMS002_007a_Rb_S118_L004	Xanthomonas	Bacteria
CMS001_water2_S24	Rhizobiales	Bacteria
CMS001_water2_S24	Bradyrhizobium	Bacteria
CMS001_water4_Zymo_S27	Bradyrhizobium	Bacteria
CMS002_0Water7_Rb_S199_L004	Bradyrhizobium	Bacteria
CMS001_009_Ra_S13	Acetobacteraceae	Bacteria
CMS001_024_Ra_S15	Acetobacteraceae	Bacteria
CMS002_047c_Rb_S195_L004	Acetobacteraceae	Bacteria
CMS001_009_Ra_S13	Gluconobacter	Bacteria
CMS001_048_Ra_S5	Gluconobacter	Bacteria
CMS001_049_Ra_S6	Gluconobacter	Bacteria
CMS001_009_Ra_S13	Gluconobacter oxydans	Bacteria
CMS001_035_Ra_S20	Gluconobacter oxydans	Bacteria
CMS001_048_Ra_S5	Gluconobacter oxydans	Bacteria
CMS002_026c_Rb_S148_L004	Gluconobacter oxydans	Bacteria
CMS002_053a_Rb_S7_L004	Legionella	Bacteria
CMS002_029e_Rb_S164_L004	Legionella longbeachae	Bacteria
CMS001_045_Ra_S2	Moraxellaceae	Bacteria
CMS001_water2_S24	Moraxellaceae	Bacteria
CMS001_009_Ra_S13	Acinetobacter	Bacteria
CMS001_016_Ra_S6	Acinetobacter	Bacteria
CMS001_026_Ra_S18	Acinetobacter	Bacteria
CMS001_water4_Zymo_S27	Acinetobacter	Bacteria
CMS002_046b_Rb_S192_L004	Acinetobacter	Bacteria
CMS001_013_Ra_S5	Acinetobacter baumannii	Bacteria
CMS002_028b_Rb_S155_L004	Acinetobacter baumannii	Bacteria
CMS002_047b_Rb_S194_L004	Acinetobacter baumannii	Bacteria
CMS002_053a_Rb_S7_L004	Acinetobacter baumannii	Bacteria
CMS002_017a_Rb_S122_L004	Iodobacter fluviatilis	Bacteria
CMS002_044c_Rb_S180_L004	Iodobacter fluviatilis	Bacteria
CMS001_009_Ra_S13	Zymomonas mobilis	Bacteria
CMS001_001_Ra_S1	Enterobacteriaceae	Bacteria
CMS001_009_Ra_S13	Enterobacteriaceae	Bacteria
CMS001_011_Ra_S4	Enterobacteriaceae	Bacteria
CMS001_050_Ra_S23	Enterobacteriaceae	Bacteria
CMS001_057_Ra_S11	Enterobacteriaceae	Bacteria
CMS001_water2_S24	Enterobacteriaceae	Bacteria
CMS002_026b_Rb_S147_L004	Enterobacteriaceae	Bacteria
CMS002_026d_Rb_S149_L004	Enterobacteriaceae	Bacteria
CMS002_028e_Rb_S158_L004	Enterobacteriaceae	Bacteria
CMS002_041a_Rb_S176_L004	Enterobacteriaceae	Bacteria
CMS001_002_Ra_S1	Pantoea agglomerans	Bacteria
CMS001_058_Ra_S9	Erwinia	Bacteria
CMS002_029a_Rb_S159_L004	Pantoea ananatis	Bacteria
CMS002_053a_Rb_S7_L004	Pantoea ananatis	Bacteria
CMS001_001_Ra_S1	Escherichia coli	Bacteria
CMS002_053a_Rb_S7_L004	Escherichia fergusonii	Bacteria
CMS001_042_Ra_S23	Klebsiella	Bacteria
CMS001_009_Ra_S13	Morganella morganii	Bacteria
CMS001_016_Ra_S6	Proteus vulgaris	Bacteria
CMS001_001_Ra_S1	Providencia	Bacteria
CMS001_019_Ra_S14	Providencia	Bacteria
CMS001_045_Ra_S2	Providencia	Bacteria
CMS001_047_Ra_S4	Providencia	Bacteria
CMS001_050_Ra_S23	Providencia	Bacteria
CMS001_057_Ra_S11	Providencia	Bacteria
CMS002_028e_Rb_S158_L004	Providencia	Bacteria
CMS002_047f_Rb_S198_L004	Providencia	Bacteria
CMS002_056a_Rb_S9_L004	Providencia	Bacteria
CMS001_001_Ra_S1	Providencia rettgeri	Bacteria
CMS001_019_Ra_S14	Providencia rettgeri	Bacteria
CMS001_035_Ra_S20	Providencia rettgeri	Bacteria
CMS001_045_Ra_S2	Providencia rettgeri	Bacteria
CMS001_047_Ra_S4	Providencia rettgeri	Bacteria
CMS001_050_Ra_S23	Providencia rettgeri	Bacteria
CMS001_057_Ra_S11	Providencia rettgeri	Bacteria
CMS002_028e_Rb_S158_L004	Providencia rettgeri	Bacteria
CMS002_047f_Rb_S198_L004	Providencia rettgeri	Bacteria
CMS001_001_Ra_S1	Providencia stuartii	Bacteria
CMS002_028e_Rb_S158_L004	Providencia stuartii	Bacteria
CMS001_028_Ra_S17	Serratia	Bacteria
CMS001_044_Ra_S25	Serratia	Bacteria
CMS001_044_Ra_S25	Serratia marcescens	Bacteria
CMS001_015_Ra_S13	Yersinia pestis	Bacteria
CMS001_017_Ra_S6	Yersinia pestis	Bacteria
CMS001_035_Ra_S20	Yersinia pestis	Bacteria
CMS001_058_Ra_S9	Yersinia pestis	Bacteria
CMS002_053a_Rb_S7_L004	Yersinia pestis	Bacteria
CMS001_012_Ra_S4	Yersinia pseudotuberculosis	Bacteria
CMS002_056a_Rb_S9_L004	Yersinia pseudotuberculosis	Bacteria
CMS001_001_Ra_S1	Arsenophonus nasoniae	Bacteria
CMS002_041a_Rb_S176_L004	Vibrio alginolyticus	Bacteria
CMS002_020a_Rb_S131_L004	Vibrio cholerae	Bacteria
CMS002_020a_Rb_S131_L004	Vibrio parahaemolyticus	Bacteria
CMS002_020a_Rb_S131_L004	Vibrio vulnificus	Bacteria
CMS002_033a_Rb_S167_L004	Vibrio natriegens	Bacteria
CMS001_water4_Zymo_S27	[Haemophilus] ducreyi	Bacteria
CMS002_021a_Rb_S136_L004	Glaesserella parasuis	Bacteria
CMS001_003_Ra_S2	Anaplasma	Bacteria
CMS001_008_Ra_S3	Anaplasma	Bacteria
CMS001_009_Ra_S13	Anaplasma	Bacteria
CMS001_012_Ra_S4	Anaplasma	Bacteria
CMS001_015_Ra_S13	Anaplasma	Bacteria
CMS001_018_Ra_S14	Anaplasma	Bacteria
CMS001_022_Ra_S6	Anaplasma	Bacteria
CMS001_038_Ra_S22	Anaplasma	Bacteria
CMS001_053_Ra_S8	Anaplasma	Bacteria
CMS001_057_Ra_S11	Anaplasma	Bacteria
CMS001_060_Ra_S12	Anaplasma	Bacteria
CMS001_057_Ra_S11	Anaplasma marginale	Bacteria
CMS002_039a_Rb_S173_L004	Bartonella elizabethae	Bacteria
CMS001_water4_Zymo_S27	Prevotella	Bacteria
CMS002_017b_Rb_S123_L004	Prevotella	Bacteria
CMS002_045f_Rb_S189_L004	Prevotella	Bacteria
CMS001_003_Ra_S2	Fusobacterium	Bacteria
CMS002_045f_Rb_S189_L004	Fusobacterium	Bacteria
CMS002_049a_Rb_S4_L004	Faecalibacterium prausnitzii	Bacteria
CMS001_001_Ra_S1	Fusobacterium varium	Bacteria
CMS001_048_Ra_S5	Fusobacterium varium	Bacteria
CMS001_057_Ra_S11	Fusobacterium varium	Bacteria
CMS002_032a_Rb_S166_L004	Fusobacterium periodonticum	Bacteria
CMS002_045f_Rb_S189_L004	Fusobacterium periodonticum	Bacteria
CMS001_049_Ra_S6	Desulfovibrio	Bacteria
CMS001_036_Ra_S20	Anaplasmataceae	Bacteria
CMS001_038_Ra_S22	Anaplasmataceae	Bacteria
CMS002_038a_Rb_S172_L004	Anaplasmataceae	Bacteria
CMS002_013a_Rb_S120_L004	Wolbachieae	Bacteria
CMS001_004_Ra_S2	Wolbachia	Bacteria
CMS001_029_Ra_S18	Wolbachia	Bacteria
CMS001_030_Ra_S7	Wolbachia	Bacteria
CMS001_041_Ra_S10	Wolbachia	Bacteria
CMS001_044_Ra_S25	Wolbachia	Bacteria
CMS001_047_Ra_S4	Wolbachia	Bacteria
CMS001_054_Ra_S11	Wolbachia	Bacteria
CMS001_059_Ra_S10	Wolbachia	Bacteria
CMS001_water3_Qiagen_S26	Wolbachia	Bacteria
CMS002_001a_Rb_S116_L004	Wolbachia	Bacteria
CMS002_004a_Rb_S117_L004	Wolbachia	Bacteria
CMS002_010a_Rb_S119_L004	Wolbachia	Bacteria
CMS002_013a_Rb_S120_L004	Wolbachia	Bacteria
CMS002_022a_Rb_S137_L004	Wolbachia	Bacteria
CMS002_023a_Rb_S138_L004	Wolbachia	Bacteria
CMS002_026a_Rb_S146_L004	Wolbachia	Bacteria
CMS002_026d_Rb_S149_L004	Wolbachia	Bacteria
CMS002_026e_Rb_S150_L004	Wolbachia	Bacteria
CMS002_027a_Rb_S152_L004	Wolbachia	Bacteria
CMS002_027b_Rb_S153_L004	Wolbachia	Bacteria
CMS002_045a_Rb_S183_L004	Wolbachia	Bacteria
CMS002_045d_Rb_S186_L004	Wolbachia	Bacteria
CMS002_045g_Rb_S190_L004	Wolbachia	Bacteria
CMS002_046a_Rb_S191_L004	Wolbachia	Bacteria
CMS002_046b_Rb_S192_L004	Wolbachia	Bacteria
CMS002_050a_Rb_S5_L004	Wolbachia	Bacteria
CMS002_051a_Rb_S6_L004	Wolbachia	Bacteria
CMS002_054a_Rb_S8_L004	Wolbachia	Bacteria
CMS002_057a_Rb_S10_L004	Wolbachia	Bacteria
CMS001_001_Ra_S1	Wolbachia pipientis	Bacteria
CMS001_021_Ra_S16	Wolbachia pipientis	Bacteria
CMS001_041_Ra_S10	Wolbachia pipientis	Bacteria
CMS002_013a_Rb_S120_L004	Wolbachia pipientis	Bacteria
CMS002_038a_Rb_S172_L004	Wolbachia pipientis	Bacteria
CMS002_045a_Rb_S183_L004	Wolbachia pipientis	Bacteria
CMS002_046a_Rb_S191_L004	Wolbachia pipientis	Bacteria
CMS001_001_Ra_S1	Bacteroidetes	Bacteria
CMS001_water4_Zymo_S27	Bacteroidetes	Bacteria
CMS001_002_Ra_S1	Flavobacterium columnare	Bacteria
CMS001_003_Ra_S2	Flavobacterium columnare	Bacteria
CMS002_020a_Rb_S131_L004	Flavobacterium columnare	Bacteria
CMS002_020e_Rb_S135_L004	Flavobacterium columnare	Bacteria
CMS001_037_Ra_S21	Cyanobacteria	Bacteria
CMS002_044e_Rb_S182_L004	Cyanobacteria	Bacteria
CMS001_049_Ra_S6	Oscillatoriales	Bacteria
CMS001_022_Ra_S6	Oscillatoriales cyanobacterium	Bacteria
CMS002_020a_Rb_S131_L004	Pseudanabaena	Bacteria
CMS001_057_Ra_S11	Nostocales	Bacteria
CMS002_018b_Rb_S129_L004	Nostocales	Bacteria
CMS002_018b_Rb_S129_L004	Nostocaceae	Bacteria
CMS001_001_Ra_S1	Proteobacteria	Bacteria
CMS001_004_Ra_S2	Proteobacteria	Bacteria
CMS001_009_Ra_S13	Proteobacteria	Bacteria
CMS001_013_Ra_S5	Proteobacteria	Bacteria
CMS001_018_Ra_S14	Proteobacteria	Bacteria
CMS001_026_Ra_S18	Proteobacteria	Bacteria
CMS001_029_Ra_S18	Proteobacteria	Bacteria
CMS001_035_Ra_S20	Proteobacteria	Bacteria
CMS001_047_Ra_S4	Proteobacteria	Bacteria
CMS001_058_Ra_S9	Proteobacteria	Bacteria
CMS001_water3_Qiagen_S26	Proteobacteria	Bacteria
CMS001_water4_Zymo_S27	Proteobacteria	Bacteria
CMS002_001a_Rb_S116_L004	Proteobacteria	Bacteria
CMS002_028e_Rb_S158_L004	Proteobacteria	Bacteria
CMS002_029a_Rb_S159_L004	Proteobacteria	Bacteria
CMS002_031a_Rb_S165_L004	Proteobacteria	Bacteria
CMS002_038a_Rb_S172_L004	Proteobacteria	Bacteria
CMS002_041a_Rb_S176_L004	Proteobacteria	Bacteria
CMS002_0Water1_Rb_S127_L004	Proteobacteria	Bacteria
CMS002_056a_Rb_S9_L004	Nitrosococcus	Bacteria
CMS001_001_Ra_S1	Gammaproteobacteria	Bacteria
CMS001_016_Ra_S6	Gammaproteobacteria	Bacteria
CMS001_026_Ra_S18	Gammaproteobacteria	Bacteria
CMS001_047_Ra_S4	Gammaproteobacteria	Bacteria
CMS001_050_Ra_S23	Gammaproteobacteria	Bacteria
CMS001_056_Ra_S10	Gammaproteobacteria	Bacteria
CMS001_057_Ra_S11	Gammaproteobacteria	Bacteria
CMS001_water2_S24	Gammaproteobacteria	Bacteria
CMS002_026d_Rb_S149_L004	Gammaproteobacteria	Bacteria
CMS002_041a_Rb_S176_L004	Gammaproteobacteria	Bacteria
CMS002_046b_Rb_S192_L004	Gammaproteobacteria	Bacteria
CMS002_0Water3_Rb_S151_L004	Gammaproteobacteria	Bacteria
CMS002_0Water5_Rb_S175_L004	Gammaproteobacteria	Bacteria
CMS001_027_Ra_S16	Piscirickettsia salmonis	Bacteria
CMS001_057_Ra_S11	Firmicutes	Bacteria
CMS001_water4_Zymo_S27	Firmicutes	Bacteria
CMS002_007a_Rb_S118_L004	Firmicutes	Bacteria
CMS002_018b_Rb_S129_L004	Firmicutes	Bacteria
CMS002_038a_Rb_S172_L004	Firmicutes	Bacteria
CMS002_047e_Rb_S197_L004	Firmicutes	Bacteria
CMS002_047g_Rb_S200_L004	Firmicutes	Bacteria
CMS001_028_Ra_S17	Leuconostoc	Bacteria
CMS002_0Water2_Rb_S139_L004	Leuconostoc	Bacteria
CMS002_0Water1_Rb_S127_L004	Leuconostoc mesenteroides	Bacteria
CMS002_0Water3_Rb_S151_L004	Micrococcus	Bacteria
CMS001_water2_S24	Staphylococcus	Bacteria
CMS001_water3_Qiagen_S26	Staphylococcus	Bacteria
CMS002_049a_Rb_S4_L004	Staphylococcus	Bacteria
CMS002_0Water7_Rb_S199_L004	Staphylococcus	Bacteria
CMS002_026c_Rb_S148_L004	Staphylococcus aureus	Bacteria
CMS002_056a_Rb_S9_L004	Staphylococcus aureus	Bacteria
CMS002_027b_Rb_S153_L004	Staphylococcus epidermidis	Bacteria
CMS002_029d_Rb_S162_L004	Staphylococcus haemolyticus	Bacteria
CMS002_025c_Rb_S142_L004	Staphylococcus hominis	Bacteria
CMS001_009_Ra_S13	Streptococcus	Bacteria
CMS001_water4_Zymo_S27	Streptococcus	Bacteria
CMS002_0Water4_Rb_S163_L004	Streptococcus	Bacteria
CMS001_water3_Qiagen_S26	Streptococcus sanguinis	Bacteria
CMS002_020e_Rb_S135_L004	Streptococcus suis	Bacteria
CMS001_water3_Qiagen_S26	Streptococcus thermophilus	Bacteria
CMS001_water4_Zymo_S27	Enterococcus	Bacteria
CMS002_049a_Rb_S4_L004	Enterococcus faecium	Bacteria
CMS002_040a_Rb_S174_L004	Enterococcus gallinarum	Bacteria
CMS002_053a_Rb_S7_L004	Lactococcus lactis subsp. lactis	Bacteria
CMS002_047b_Rb_S194_L004	Planococcus	Bacteria
CMS002_020a_Rb_S131_L004	Planococcus kocurii	Bacteria
CMS001_water4_Zymo_S27	Gemella	Bacteria
CMS001_water4_Zymo_S27	Atopobium parvulum	Bacteria
CMS002_027b_Rb_S153_L004	Bacillales	Bacteria
CMS002_035a_Rb_S169_L004	Bacillales	Bacteria
CMS002_038a_Rb_S172_L004	Bacillales	Bacteria
CMS001_water2_S24	Bacillus	Bacteria
CMS002_007a_Rb_S118_L004	Bacillus	Bacteria
CMS001_051_Ra_S8	Bacillus cereus	Bacteria
CMS002_047b_Rb_S194_L004	Bacillus circulans	Bacteria
CMS002_047d_Rb_S196_L004	Bacillus circulans	Bacteria
CMS002_020a_Rb_S131_L004	Bacillus coagulans	Bacteria
CMS002_053a_Rb_S7_L004	Bacillus mycoides	Bacteria
CMS002_020a_Rb_S131_L004	Paenibacillus polymyxa	Bacteria
CMS001_008_Ra_S3	Bacillus thuringiensis	Bacteria
CMS001_060_Ra_S12	Bacillus thuringiensis	Bacteria
CMS002_020a_Rb_S131_L004	Bacillus thuringiensis	Bacteria
CMS002_020c_Rb_S133_L004	Bacillus thuringiensis	Bacteria
CMS001_057_Ra_S11	Virgibacillus halodenitrificans	Bacteria
CMS001_003_Ra_S2	Clostridium	Bacteria
CMS001_021_Ra_S16	Clostridium	Bacteria
CMS002_018b_Rb_S129_L004	Clostridium	Bacteria
CMS002_021a_Rb_S136_L004	Clostridium	Bacteria
CMS002_032a_Rb_S166_L004	Clostridium	Bacteria
CMS001_006_Ra_S5	Clostridium botulinum	Bacteria
CMS001_039_Ra_S9	Clostridium botulinum	Bacteria
CMS001_052_Ra_S7	Clostridium botulinum	Bacteria
CMS001_060_Ra_S12	Clostridium botulinum	Bacteria
CMS002_007a_Rb_S118_L004	Clostridium botulinum	Bacteria
CMS002_020e_Rb_S135_L004	Clostridium botulinum	Bacteria
CMS002_031a_Rb_S165_L004	Clostridium botulinum	Bacteria
CMS001_016_Ra_S6	Clostridium cochlearium	Bacteria
CMS001_003_Ra_S2	Clostridioides difficile	Bacteria
CMS001_005_Ra_S3	Clostridioides difficile	Bacteria
CMS001_008_Ra_S3	Clostridioides difficile	Bacteria
CMS001_036_Ra_S20	Clostridioides difficile	Bacteria
CMS001_060_Ra_S12	Clostridioides difficile	Bacteria
CMS002_021a_Rb_S136_L004	Clostridioides difficile	Bacteria
CMS001_021_Ra_S16	Clostridium pasteurianum	Bacteria
CMS001_060_Ra_S12	Clostridium perfringens	Bacteria
CMS001_027_Ra_S16	Paeniclostridium sordellii	Bacteria
CMS001_036_Ra_S20	Clostridium sporogenes	Bacteria
CMS002_007a_Rb_S118_L004	Clostridium beijerinckii	Bacteria
CMS002_020a_Rb_S131_L004	Clostridium beijerinckii	Bacteria
CMS001_057_Ra_S11	Clostridium kluyveri	Bacteria
CMS002_056a_Rb_S9_L004	Clostridium scatologenes	Bacteria
CMS002_007a_Rb_S118_L004	Clostridium baratii	Bacteria
CMS002_056a_Rb_S9_L004	Sporosarcina ureae	Bacteria
CMS001_006_Ra_S5	Lactobacillus	Bacteria
CMS001_water3_Qiagen_S26	Lactobacillus	Bacteria
CMS002_0Water5_Rb_S175_L004	Lactobacillus	Bacteria
CMS001_009_Ra_S13	Lactobacillus brevis	Bacteria
CMS001_025_Ra_S7	Lactobacillus plantarum	Bacteria
CMS002_040a_Rb_S174_L004	Lactobacillus plantarum	Bacteria
CMS001_013_Ra_S5	Lactobacillus farciminis	Bacteria
CMS001_033_Ra_S8	Lactobacillus farciminis	Bacteria
CMS002_007a_Rb_S118_L004	Listeria monocytogenes	Bacteria
CMS001_water4_Zymo_S27	Actinomyces	Bacteria
CMS002_045f_Rb_S189_L004	Actinomyces	Bacteria
CMS002_019a_Rb_S130_L004	Brevibacterium linens	Bacteria
CMS001_018_Ra_S14	Cellulomonas	Bacteria
CMS001_water4_Zymo_S27	Corynebacterium	Bacteria
CMS002_0Water2_Rb_S139_L004	Corynebacterium	Bacteria
CMS001_water2_S24	Cutibacterium acnes	Bacteria
CMS001_water3_Qiagen_S26	Cutibacterium acnes	Bacteria
CMS001_water4_Zymo_S27	Cutibacterium acnes	Bacteria
CMS002_0Water1_Rb_S127_L004	Cutibacterium acnes	Bacteria
CMS002_0Water2_Rb_S139_L004	Cutibacterium acnes	Bacteria
CMS001_water2_S24	Actinobacteria	Bacteria
CMS001_water3_Qiagen_S26	Actinobacteria	Bacteria
CMS001_water4_Zymo_S27	Actinobacteria	Bacteria
CMS002_022a_Rb_S137_L004	Actinobacteria	Bacteria
CMS002_051a_Rb_S6_L004	Actinobacteria	Bacteria
CMS002_0Water3_Rb_S151_L004	Actinobacteria	Bacteria
CMS002_0Water4_Rb_S163_L004	Actinobacteria	Bacteria
CMS001_water3_Qiagen_S26	Mycobacteriaceae	Bacteria
CMS002_013a_Rb_S120_L004	Mycolicibacterium smegmatis	Bacteria
CMS001_water4_Zymo_S27	Rhodococcus	Bacteria
CMS002_023a_Rb_S138_L004	Rhodococcus	Bacteria
CMS001_water4_Zymo_S27	Nocardioides	Bacteria
CMS002_031a_Rb_S165_L004	Streptomyces	Bacteria
CMS002_047b_Rb_S194_L004	Streptomyces	Bacteria
CMS001_027_Ra_S16	Streptomyces ambofaciens	Bacteria
CMS001_028_Ra_S17	Streptomyces ambofaciens	Bacteria
CMS001_033_Ra_S8	Streptomyces ambofaciens	Bacteria
CMS002_029a_Rb_S159_L004	Streptomyces ambofaciens	Bacteria
CMS002_029d_Rb_S162_L004	Streptomyces ambofaciens	Bacteria
CMS002_032a_Rb_S166_L004	Streptomyces ambofaciens	Bacteria
CMS002_040a_Rb_S174_L004	Streptomyces ambofaciens	Bacteria
CMS002_046a_Rb_S191_L004	Kitasatospora aureofaciens	Bacteria
CMS002_013a_Rb_S120_L004	Streptomyces lincolnensis	Bacteria
CMS001_045_Ra_S2	Streptomyces violaceoruber	Bacteria
CMS002_032a_Rb_S166_L004	Nocardiopsis dassonvillei	Bacteria
CMS002_035a_Rb_S169_L004	Streptomycetaceae	Bacteria
CMS001_019_Ra_S14	Mycoplasma	Bacteria
CMS001_031_Ra_S19	Mycoplasma	Bacteria
CMS002_020a_Rb_S131_L004	Mycoplasma arginini	Bacteria
CMS001_016_Ra_S6	Mycoplasma mycoides subsp. mycoides	Bacteria
CMS001_012_Ra_S4	Mycoplasma synoviae	Bacteria
CMS001_028_Ra_S17	Mycoplasma fermentans	Bacteria
CMS001_036_Ra_S20	Mycoplasma fermentans	Bacteria
CMS002_047f_Rb_S198_L004	Mycoplasma fermentans	Bacteria
CMS002_021a_Rb_S136_L004	Mycoplasma orale	Bacteria
CMS001_057_Ra_S11	Mycoplasma putrefaciens	Bacteria
CMS002_027b_Rb_S153_L004	Spiroplasma	Bacteria
CMS002_056a_Rb_S9_L004	Spiroplasma citri	Bacteria
CMS002_020c_Rb_S133_L004	Mesoplasma florum	Bacteria
CMS001_060_Ra_S12	Archaea	Other
CMS001_water4_Zymo_S27	Archaea	Other
CMS002_007a_Rb_S118_L004	Archaea	Other
CMS001_020_Ra_S15	Thermococcus	Other
CMS002_053a_Rb_S7_L004	Thermotogales	Bacteria
CMS001_water2_S24	Gardnerella vaginalis	Bacteria
CMS002_047d_Rb_S196_L004	Citrus	Eukaryota
CMS002_034a_Rb_S168_L004	Citrus sinensis	Eukaryota
