Specimen ID,Genus,Species,Sex,Status,Site,Collection Date,Latitude,Longitude,Habitat
CMS001_050_Ra_S23,Culex,erythrothorax,female,blood fed,ALCO,2017-10-17T00:00:00Z,37.50608,-121.99857,Marsh
CMS001_051_Ra_S8,Culex,tarsalis,female,blood fed,ALCO,2017-10-17T00:00:00Z,37.50608,-121.99857,Marsh
CMS001_052_Ra_S7,Culex,erythrothorax,female,blood fed,ALCO,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_053_Ra_S8,Culex,erythrothorax,female,blood fed,ALCO,2017-10-07T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_054_Ra_S11,Culex,pipiens,female,blood fed,ALCO,2016-02-10T00:00:00Z,37.630829999999996,-122.14267,Marsh / Wildlife Refuge / Park
CMS001_055_Ra_S9,Culex,erythrothorax,female,blood fed,ALCO,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_056_Ra_S10,Culex,erythrothorax,female,blood fed,ALCO,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_057_Ra_S11,Culex,erythrothorax,female,blood fed,ALCO,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_058_Ra_S9,Culex,erythrothorax,female,blood fed,ALCO,,,,
CMS001_059_Ra_S10,Culex,pipiens,female,blood fed,ALCO,2017-10-24T00:00:00Z,37.6683,-122.15915, Industrial (waste water treatment plant)
CMS001_060_Ra_S12,Culiseta,inornata,female,blood fed,ALCO,2017-10-23T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_water1_S11,,,,,,,,,
CMS001_water2_S24,,,,,,,,,
CMS001_water3_Qiagen_S26,,,,,,,,,
CMS001_water4_Zymo_S27,,,,,,,,,
CMS001_water5_RNA_A_S12,,,,,,,,,
CMS002_001a_Rb_S116_L004,Culex,quinquefasciatus,female,blood fed,SAND,2017-11-15T00:00:00Z,32.7962659,-116.9594824,Park/cemetary/golf course
CMS002_004a_Rb_S117_L004,Culex,quinquefasciatus,female,blood fed,SAND,2017-11-15T00:00:00Z,32.7991943,-116.9193062,Park/cemetary/golf course
CMS002_007a_Rb_S118_L004,Culex,quinquefasciatus,female,blood fed,SAND,2017-11-15T00:00:00Z,32.7856362,-116.9887078,Park/cemetary/golf course
CMS002_010a_Rb_S119_L004,Culex,quinquefasciatus,female,blood fed,SAND,2017-11-15T00:00:00Z,32.7981529,-116.9544084,Commerical/Industrial/Transportation
CMS002_013a_Rb_S120_L004,Culex,quinquefasciatus,female,blood fed,SAND,2017-11-15T00:00:00Z,32.7996185,-116.93932029999999,Residential
CMS002_016a_Rb_S121_L004,Aedes,aegypti,female,unfed,SAND,2017-11-15T00:00:00Z,32.7152395,-117.11484240000001,Commerical/Industrial/Transportation
CMS002_017a_Rb_S122_L004,Aedes,aegypti,female,unfed,SAND,2017-11-28T00:00:00Z,32.5542907,-117.04828,Residential
CMS002_017b_Rb_S123_L004,Aedes,aegypti,female,unfed,SAND,2017-11-28T00:00:00Z,32.5542907,-117.04828,Residential
CMS002_017c_Rb_S124_L004,Aedes,aegypti,female,unfed,SAND,2017-11-28T00:00:00Z,32.5542907,-117.04828,Residential
CMS002_017d_Rb_S125_L004,Aedes,aegypti,female,unfed,SAND,2017-11-28T00:00:00Z,32.5542907,-117.04828,Residential
CMS002_017e_Rb_S126_L004,Aedes,aegypti,female,unfed,SAND,2017-11-28T00:00:00Z,32.5542907,-117.04828,Residential
CMS002_018a_Rb_S128_L004,Aedes,aegypti,female,unfed,SAND,2018-11-28T00:00:00Z,32.6952215,-117.1221922,Commerical/Industrial/Transportation
CMS002_018b_Rb_S129_L004,Aedes,aegypti,female,unfed,SAND,2018-11-28T00:00:00Z,32.6952215,-117.1221922,Commerical/Industrial/Transportation
CMS002_019a_Rb_S130_L004,Aedes,aegypti,female,unfed,SAND,2017-11-29T00:00:00Z,32.760258,-117.0813933,Residential
CMS002_020a_Rb_S131_L004,Culiseta,particeps,female,unfed,SAND,2017-12-01T00:00:00Z,32.940749100000005,-117.21652390000001,Undeveloped
CMS002_020b_Rb_S132_L004,Culiseta,particeps,female,unfed,SAND,2017-12-01T00:00:00Z,32.940749100000005,-117.21652390000001,Undeveloped
CMS002_020c_Rb_S133_L004,Culiseta,particeps,female,unfed,SAND,2017-12-01T00:00:00Z,32.940749100000005,-117.21652390000001,Undeveloped
CMS002_020d_Rb_S134_L004,Culiseta,particeps,female,unfed,SAND,2017-12-01T00:00:00Z,32.940749100000005,-117.21652390000001,Undeveloped
CMS002_020e_Rb_S135_L004,Culiseta,particeps,female,unfed,SAND,2017-12-01T00:00:00Z,32.940749100000005,-117.21652390000001,Undeveloped
CMS002_021a_Rb_S136_L004,Culiseta,particeps,female,unfed,SAND,2017-12-27T00:00:00Z,32.940749100000005,-117.21652390000001,Undeveloped
CMS002_022a_Rb_S137_L004,Culex,quinquefasciatus,female,unfed,SAND,2017-12-27T00:00:00Z,32.552783000000005,-117.05594690000001,Undeveloped
CMS002_023a_Rb_S138_L004,Culex,quinquefasciatus,female,unfed,SAND,2017-12-27T00:00:00Z,32.5928337,-117.0575668,Commerical/Industrial/Transportation
CMS002_025a_Rb_S140_L004,Aedes,aegypti,,unfed,WVAL ,2017-08-23T00:00:00Z,33.954615000000004,-117.693828,Residential
CMS002_025b_Rb_S141_L004,Aedes,aegypti,,unfed,WVAL ,2017-08-23T00:00:00Z,33.954615000000004,-117.693828,Residential
CMS002_025c_Rb_S142_L004,Aedes,aegypti,,unfed,WVAL ,2017-08-23T00:00:00Z,33.954615000000004,-117.693828,Residential
CMS002_025d_Rb_S143_L004,Aedes,aegypti,,unfed,WVAL ,2017-08-23T00:00:00Z,33.954615000000004,-117.693828,Residential
CMS002_025e_Rb_S144_L004,Aedes,aegypti,,unfed,WVAL ,2017-08-23T00:00:00Z,33.954615000000004,-117.693828,Residential
CMS002_025f_Rb_S145_L004,Aedes,aegypti,,unfed,WVAL ,2017-08-23T00:00:00Z,33.954615000000004,-117.693828,Residential
CMS002_026a_Rb_S146_L004,Aedes,albopictus,,unfed,WVAL ,2017-08-29T00:00:00Z,34.155852,-117.666926,Residential
CMS002_026b_Rb_S147_L004,Aedes,albopictus,,unfed,WVAL ,2017-08-29T00:00:00Z,34.155852,-117.666926,Residential
CMS002_026c_Rb_S148_L004,Aedes,albopictus,,unfed,WVAL ,2017-08-29T00:00:00Z,34.155852,-117.666926,Residential
CMS002_026d_Rb_S149_L004,Aedes,albopictus,,unfed,WVAL ,2017-08-29T00:00:00Z,34.155852,-117.666926,Residential
CMS002_026e_Rb_S150_L004,Aedes,albopictus,,unfed,WVAL ,2017-08-29T00:00:00Z,34.155852,-117.666926,Residential
CMS002_027a_Rb_S152_L004,Culex,quinquefasciatus,,unfed,WVAL ,2017-11-15T00:00:00Z,34.150853000000005,-117.642917,Residential
CMS002_027b_Rb_S153_L004,Culex,quinquefasciatus,,unfed,WVAL ,2017-11-15T00:00:00Z,34.150853000000005,-117.642917,Residential
CMS002_028a_Rb_S154_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-15T00:00:00Z,33.935,-117.655833,Marsh/Swamp
CMS002_028b_Rb_S155_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-15T00:00:00Z,33.935,-117.655833,Marsh/Swamp
CMS002_028c_Rb_S156_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-15T00:00:00Z,33.935,-117.655833,Marsh/Swamp
CMS002_028d_Rb_S157_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-15T00:00:00Z,33.935,-117.655833,Marsh/Swamp
CMS002_028e_Rb_S158_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-15T00:00:00Z,33.935,-117.655833,Marsh/Swamp
CMS002_029a_Rb_S159_L004,Culex,tarsalis,,unfed,WVAL ,2017-11-15T00:00:00Z,33.925833000000004,-117.659722,Residential
CMS002_029b_Rb_S160_L004,Culex,tarsalis,,unfed,WVAL ,2017-11-15T00:00:00Z,33.925833000000004,-117.659722,Residential
CMS002_029c_Rb_S161_L004,Culex,tarsalis,,unfed,WVAL ,2017-11-15T00:00:00Z,33.925833000000004,-117.659722,Residential
CMS002_029d_Rb_S162_L004,Culex,tarsalis,,unfed,WVAL ,2017-11-15T00:00:00Z,33.925833000000004,-117.659722,Residential
CMS002_029e_Rb_S164_L004,Culex,tarsalis,female,unfed,WVAL ,2017-11-15T00:00:00Z,33.925833000000004,-117.659722,Residential
CMS002_031a_Rb_S165_L004,Culex,tarsalis,female,unfed,COAV,2017-11-07T00:00:00Z,33.516797,-116.08246799999999,Marsh; Undeveloped
CMS002_032a_Rb_S166_L004,Culex,tarsalis,male,unfed,COAV,2017-11-07T00:00:00Z,33.516797,-116.08246799999999,Marsh; Undeveloped
CMS002_033a_Rb_S167_L004,Culex,tarsalis,female,unfed,COAV,2017-11-07T00:00:00Z,33.569223,-116.079206,Residential; Undeveloped
CMS002_034a_Rb_S168_L004,Culex,tarsalis,male,unfed,COAV,2017-11-07T00:00:00Z,33.569223,-116.079206,Residential; Undeveloped
CMS002_035a_Rb_S169_L004,Culex,tarsalis,female,unfed,COAV,2017-11-07T00:00:00Z,33.539988,-116.07886299999998,Agriculture; Marsh; Undeveloped
CMS002_036a_Rb_S170_L004,Culex,tarsalis,male,unfed,COAV,2017-11-07T00:00:00Z,33.539988,-116.07886299999998,Agriculture; Marsh; Undeveloped
CMS002_037a_Rb_S171_L004,Culex,tarsalis,female,unfed,COAV,2017-11-07T00:00:00Z,33.463592999999996,-116.074278,Agriculture; Marsh; Undeveloped
CMS002_038a_Rb_S172_L004,Culex,tarsalis,female,unfed,COAV,2017-11-07T00:00:00Z,33.52908,-116.03521299999998,Agriculture; Marsh; Undeveloped
CMS002_039a_Rb_S173_L004,Culex,tarsalis,female,unfed,COAV,2017-11-07T00:00:00Z,33.532468,-116.060957,Marsh; Undeveloped
CMS002_040a_Rb_S174_L004,Culex,tarsalis,male,unfed,COAV,2017-11-07T00:00:00Z,33.532468,-116.060957,Marsh; Undeveloped
CMS002_041a_Rb_S176_L004,Culex,tarsalis,female,unfed,COAV,2017-11-07T00:00:00Z,33.510767,-115.92079299999999,Marsh; Undeveloped
CMS002_042a_Rb_S177_L004,Culex,tarsalis,female,unfed,COAV,2017-11-07T00:00:00Z,33.525475,-115.95663200000001,Agriculture; Marsh; Undeveloped
CMS002_044a_Rb_S178_L004,Aedes,aegypti,,unfed,WVAL ,2017-08-23T00:00:00Z,33.954531,-117.692953,Residential
CMS002_044b_Rb_S179_L004,Aedes,aegypti,,unfed,WVAL ,2017-08-23T00:00:00Z,33.954531,-117.692953,Residential
CMS002_044c_Rb_S180_L004,Aedes,aegypti,,unfed,WVAL ,2017-08-23T00:00:00Z,33.954531,-117.692953,Residential
CMS002_044d_Rb_S181_L004,Aedes,aegypti,,unfed,WVAL ,2017-08-23T00:00:00Z,33.954531,-117.692953,Residential
CMS002_044e_Rb_S182_L004,Aedes,aegypti,,unfed,WVAL ,2017-08-23T00:00:00Z,33.954531,-117.692953,Residential
CMS002_045a_Rb_S183_L004,Aedes,albopictus,,unfed,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
CMS002_045b_Rb_S184_L004,Aedes,albopictus,,unfed,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
CMS002_045c_Rb_S185_L004,Aedes,albopictus,,unfed,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
CMS002_045d_Rb_S186_L004,Aedes,albopictus,,unfed,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
CMS002_045e_Rb_S188_L004,Aedes,albopictus,,unfed,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
CMS002_045f_Rb_S189_L004,Aedes,albopictus,,unfed,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
CMS002_045g_Rb_S190_L004,Aedes,albopictus,,unfed,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
CMS002_046a_Rb_S191_L004,Culex,quinquefasciatus,,unfed,WVAL ,2017-11-29T00:00:00Z,33.9725,-117.714444,Residential
CMS002_046b_Rb_S192_L004,Culex,quinquefasciatus,,unfed,WVAL ,2017-11-29T00:00:00Z,33.9725,-117.714444,Residential
CMS002_047a_Rb_S193_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
CMS002_047b_Rb_S194_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
CMS002_047c_Rb_S195_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
CMS002_047d_Rb_S196_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
CMS002_047e_Rb_S197_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
CMS002_047f_Rb_S198_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
CMS002_047g_Rb_S200_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
CMS002_047h_Rb_S1_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
CMS002_047i_Rb_S2_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
CMS002_047j_Rb_S3_L004,Culex,erythrothorax,,unfed,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
CMS002_049a_Rb_S4_L004,Culex,pipiens,,unfed,PLCR,2017-11-21T00:00:00Z,38.739939,-121.305636,Commercial/Industrial/Transportation
CMS002_050a_Rb_S5_L004,Culex,pipiens,,unfed,PLCR,2017-11-21T00:00:00Z,38.824306,-121.25706699999999,Wetland Preserve
CMS002_051a_Rb_S6_L004,Culex,pipiens,,unfed,PLCR,2017-11-21T00:00:00Z,38.897572,-121.311747,Commercial/Industrial/Transportation
CMS002_053a_Rb_S7_L004,Culex,pipiens,,unfed,PLCR,2017-11-21T00:00:00Z,38.836781,-121.39119,Agriculture & Residential
CMS002_054a_Rb_S8_L004,Culex,pipiens,,unfed,PLCR,2017-11-21T00:00:00Z,38.772222,-121.4695,Agriculture
CMS002_056a_Rb_S9_L004,Culex,tarsalis,,unfed,PLCR,2017-11-28T00:00:00Z,38.787211,-121.372895,Residential 
CMS002_057a_Rb_S10_L004,Culex,pipiens,,unfed,PLCR,2017-11-28T00:00:00Z,38.787211,-121.372895,Residential 
CMS002_Water1_Rb_S127_L004,,,,,,,,,
CMS002_Water2_Rb_S139_L004,,,,,,,,,
CMS002_Water3_Rb_S151_L004,,,,,,,,,
CMS002_Water4_Rb_S163_L004,,,,,,,,,
CMS002_Water5_Rb_S175_L004,,,,,,,,,
CMS002_Water6_Rb_S187_L004,,,,,,,,,
CMS002_Water7_Rb_S199_L004,,,,,,,,,
CMS002_Water8_Rb_S11_L004,,,,,,,,,
