sample,total_reads,nonhost_reads,total_ercc_reads,compression_ratio,water,input_conc
CMS001_026_Ra_S18,44577072,326078,2666,3.17,FALSE,16719.582145536384
CMS001_027_Ra_S16,29422908,80376,452,1.22,FALSE,65093.929203539825
CMS001_028_Ra_S17,13579216,97818,1384,1.05,FALSE,9810.57225433526
CMS001_029_Ra_S18,18413176,89566,304,1.32,FALSE,60568.65789473684
CMS001_030_Ra_S7,32798496,69840,2094,1.22,FALSE,15662.083094555874
CMS001_031_Ra_S19,13525892,109616,2016,1.09,FALSE,6708.271825396825
CMS001_032_Ra_S7,36829212,93508,2468,1.7,FALSE,14921.695299837926
CMS001_033_Ra_S8,31711470,185802,7106,1.09,FALSE,4461.632986208838
CMS001_034_Ra_S19,25525650,114330,1250,1.08,FALSE,20419.52
CMS001_035_Ra_S20,13364956,373770,1540,1.37,FALSE,8677.542857142857
CMS001_036_Ra_S20,28785710,275388,10062,1.1,FALSE,2859.833830252435
CMS001_037_Ra_S21,47742618,112490,4170,1.15,FALSE,11448.0690647482
CMS001_038_Ra_S22,36067908,132206,3244,1.12,FALSE,11117.34401972873
CMS001_039_Ra_S9,34687168,112376,2012,1.14,FALSE,17239.143141153083
CMS001_040_Ra_S21,15491978,70502,2790,1.07,FALSE,5551.680286738351
CMS001_041_Ra_S10,35752378,102676,4474,1.3,FALSE,7990.14394278051
CMS001_042_Ra_S23,36384680,138728,2058,1.11,FALSE,17678.630709426627
CMS001_043_Ra_S24,20543860,84360,1502,1.13,FALSE,13676.669773635153
CMS001_044_Ra_S25,11465786,65128,836,1.1,FALSE,13714.055023923445
CMS001_045_Ra_S2,10869462,135680,14114,1.11,FALSE,769.1191724528836
CMS001_046_Ra_S3,15574872,384232,3376,1.33,FALSE,4612.409952606635
CMS001_047_Ra_S4,11122662,104044,1142,1.13,FALSE,9738.63397548161
CMS001_048_Ra_S5,11602996,46294,2754,1.05,FALSE,4212.143064633261
CMS001_049_Ra_S6,13208840,67518,1360,1.07,FALSE,9711.382352941177
CMS001_050_Ra_S23,24841430,112662,1008,1.1,FALSE,24643.275793650795
CMS001_051_Ra_S8,30339330,207714,1574,1.14,FALSE,19274.304955527317
CMS001_052_Ra_S7,15587242,46936,1066,1.08,FALSE,14621.178236397749
CMS001_053_Ra_S8,18426770,47824,946,1.08,FALSE,19477.615221987315
CMS001_054_Ra_S11,34981460,40758,3636,1.29,FALSE,9619.863586358635
CMS001_055_Ra_S9,15309036,29778,2454,1.03,FALSE,6237.40097799511
CMS001_056_Ra_S10,16171702,40488,2180,1.06,FALSE,7417.211926605504
CMS001_057_Ra_S11,16068996,181904,3442,1.22,FALSE,4667.505520046485
CMS001_058_Ra_S9,23464710,116416,2310,1.1,FALSE,10156.883116883117
CMS001_059_Ra_S10,28157612,99862,4634,1.19,FALSE,6075.308157099698
CMS001_060_Ra_S12,41239958,504880,2998,2.36,FALSE,13754.823215476985
CMS001_water1_S11,9186,6,214,1.31,TRUE,41.925233644859816
CMS001_water2_S24,464240,3994,431350,1.03,TRUE,0.07624898574243653
CMS001_water3_Qiagen_S26,8462350,78068,204484,1.48,TRUE,40.38392245848086
CMS001_water4_Zymo_S27,1069066,9400,873754,1.26,TRUE,0.2235320238877304
CMS001_water5_RNA_A_S12,31114,184,13204,1.03,TRUE,1.3564071493486822
CMS002_001a_Rb_S116_L004,54921592,82762,7932,1.89,FALSE,6923.053454362078
CMS002_004a_Rb_S117_L004,54382586,13812,7214,2.16,FALSE,7537.478791239257
CMS002_007a_Rb_S118_L004,91089974,717738,21520,3.42,FALSE,4231.805483271375
CMS002_010a_Rb_S119_L004,89358216,33756,5540,2.36,FALSE,16128.641877256317
CMS002_013a_Rb_S120_L004,76144326,68442,45442,1.8,FALSE,1674.6376479908454
CMS002_016a_Rb_S121_L004,81220802,1342,12820,1.33,FALSE,6334.475975039001
CMS002_017a_Rb_S122_L004,75330508,151912,24734,1.49,FALSE,3044.625778280909
CMS002_017b_Rb_S123_L004,77087486,172502,27258,1.51,FALSE,2827.0683102208527
CMS002_017c_Rb_S124_L004,66242378,162094,59528,1.52,FALSE,1111.793609729875
CMS002_017d_Rb_S125_L004,50709076,263722,16458,1.37,FALSE,3080.1201847126017
CMS002_017e_Rb_S126_L004,61930896,13054,21374,1.33,FALSE,2896.4874146158886
CMS002_018a_Rb_S128_L004,53659794,32974,2396,1.36,FALSE,22394.5734557596
CMS002_018b_Rb_S129_L004,89837146,219176,80804,1.72,FALSE,1110.790827186773
CMS002_019a_Rb_S130_L004,71919820,210562,50604,1.78,FALSE,1420.2279661686823
CMS002_020a_Rb_S131_L004,66177444,744862,13426,2.11,FALSE,4928.051392819902
CMS002_020b_Rb_S132_L004,119173142,264600,12138,4.9,FALSE,9817.186027352118
CMS002_020c_Rb_S133_L004,126641370,322644,26980,5.1,FALSE,4692.898072646405
CMS002_020d_Rb_S134_L004,31922362,158114,2984,2.74,FALSE,10696.842493297587
CMS002_020e_Rb_S135_L004,74164868,436078,22170,3.35,FALSE,3344.2804691023907
CMS002_021a_Rb_S136_L004,94039124,1100040,8050,2.49,FALSE,11680.878757763976
CMS002_022a_Rb_S137_L004,94157694,91574,15692,2.05,FALSE,5999.36286005608
CMS002_023a_Rb_S138_L004,54787968,103350,21486,1.61,FALSE,2548.9380061435354
CMS002_025a_Rb_S140_L004,18885656,2188,80464,1.31,FALSE,233.70938556373036
CMS002_025b_Rb_S141_L004,25645770,1006,130776,1.28,FALSE,195.10456046981096
CMS002_025c_Rb_S142_L004,85740778,1930,94,1.4,FALSE,912134.9361702128
CMS002_025d_Rb_S143_L004,35087042,858,44038,1.34,FALSE,795.744675053363
CMS002_025e_Rb_S144_L004,88720312,4848,96904,1.4,FALSE,914.5485016098406
CMS002_025f_Rb_S145_L004,78690306,618,5366,1.46,FALSE,14663.61162877376
CMS002_026a_Rb_S146_L004,37269798,11688,29134,2.63,FALSE,1278.2544106542184
CMS002_026b_Rb_S147_L004,56506648,18398,43114,2.94,FALSE,1309.6333905459944
CMS002_026c_Rb_S148_L004,60679324,25302,80830,2.7,FALSE,749.7030063095385
CMS002_026d_Rb_S149_L004,96884414,44056,16830,3.12,FALSE,5755.649673202614
CMS002_026e_Rb_S150_L004,61840756,19820,99524,2.79,FALSE,620.365258631084
CMS002_027a_Rb_S152_L004,37243342,33744,2060,1.85,FALSE,18078.29223300971
CMS002_027b_Rb_S153_L004,83431474,183742,8096,2.09,FALSE,10304.270998023716
CMS002_028a_Rb_S154_L004,78859068,115070,16582,2.26,FALSE,4754.703051501629
CMS002_028b_Rb_S155_L004,109203686,137308,24236,2.92,FALSE,4504.84609671563
CMS002_028c_Rb_S156_L004,91267932,125498,25946,2.39,FALSE,3516.6108841439914
CMS002_028d_Rb_S157_L004,97823918,167862,24772,2.29,FALSE,3947.9713386081057
CMS002_028e_Rb_S158_L004,124739806,676476,36290,2.24,FALSE,3436.305208046294
CMS002_029a_Rb_S159_L004,93293792,309430,12848,1.75,FALSE,7260.3474470734745
CMS002_029b_Rb_S160_L004,85392072,182846,8450,2.04,FALSE,10104.570650887574
CMS002_029c_Rb_S161_L004,93413514,194790,4918,2.26,FALSE,18993.207808052055
CMS002_029d_Rb_S162_L004,78476036,300516,6896,1.84,FALSE,11378.935614849188
CMS002_029e_Rb_S164_L004,25660162,193732,14406,1.5,FALSE,1780.2135221435512
CMS002_031a_Rb_S165_L004,46150948,286630,61106,1.63,FALSE,754.2604981507544
CMS002_032a_Rb_S166_L004,63556578,495598,78602,1.51,FALSE,807.5872878552708
CMS002_033a_Rb_S167_L004,71357226,422242,31584,1.71,FALSE,2258.2840045592707
CMS002_034a_Rb_S168_L004,38621804,148282,24106,1.69,FALSE,1601.165601924832
CMS002_035a_Rb_S169_L004,73951030,626816,66950,1.63,FALSE,1103.5710231516057
CMS002_036a_Rb_S170_L004,37781352,280752,86656,1.54,FALSE,434.9923375184638
CMS002_037a_Rb_S171_L004,97570774,303764,17294,2.07,FALSE,5640.88585636637
CMS002_038a_Rb_S172_L004,92324952,478196,43950,1.79,FALSE,2099.6815017064846
CMS002_039a_Rb_S173_L004,75161228,336788,47320,1.67,FALSE,1587.3606931530007
CMS002_040a_Rb_S174_L004,65632852,348576,68298,1.72,FALSE,959.9776567395825
CMS002_041a_Rb_S176_L004,49581704,200106,48380,1.71,FALSE,1023.8388590326581
CMS002_042a_Rb_S177_L004,34365364,72474,13178,1.68,FALSE,2606.7829716193655
CMS002_044a_Rb_S178_L004,51576844,3738,24708,1.35,FALSE,2086.4552371701475
CMS002_044b_Rb_S179_L004,38526446,1582,56828,1.3,FALSE,676.9483001337369
CMS002_044c_Rb_S180_L004,93622432,2034,24652,1.38,FALSE,3796.7621288333603
CMS002_044d_Rb_S181_L004,111230412,6034,66578,1.6,FALSE,1669.6781819820362
CMS002_044e_Rb_S182_L004,50807004,4226,165276,1.7,FALSE,306.40702824366514
CMS002_045a_Rb_S183_L004,88956902,35756,21398,3.17,FALSE,4156.253107767081
CMS002_045b_Rb_S184_L004,62566848,45804,92990,2.76,FALSE,671.8341542101301
CMS002_045c_Rb_S185_L004,53689962,105124,346240,3.29,FALSE,154.06574052680222
CMS002_045d_Rb_S186_L004,54817098,181534,49364,2.23,FALSE,1109.4671015314805
CMS002_045e_Rb_S188_L004,44910420,242958,83058,2.62,FALSE,539.7115509643863
CMS002_045f_Rb_S189_L004,34302400,21838,83472,3.19,FALSE,409.9449875407322
CMS002_045g_Rb_S190_L004,43011038,98364,59586,2.78,FALSE,720.8312690900547
CMS002_046a_Rb_S191_L004,99761686,89374,15644,2,FALSE,6375.993479928407
CMS002_046b_Rb_S192_L004,86797744,99992,15900,1.9,FALSE,5457.977610062893
CMS002_047a_Rb_S193_L004,75891160,145250,15406,2.09,FALSE,4925.0781513695965
CMS002_047b_Rb_S194_L004,35774292,66854,58352,1.78,FALSE,612.0773923772964
CMS002_047c_Rb_S195_L004,76639662,150590,30186,1.86,FALSE,2537.9141323792487
CMS002_047d_Rb_S196_L004,84501126,202738,31214,2.09,FALSE,2706.1546741846605
CMS002_047e_Rb_S197_L004,77821980,185822,8952,2.14,FALSE,8692.250670241287
CMS002_047f_Rb_S198_L004,55260394,137186,26166,1.85,FALSE,2110.915997859818
CMS002_047g_Rb_S200_L004,32029932,134566,9966,1.92,FALSE,3212.9205298013244
CMS002_047h_Rb_S1_L004,54254598,103446,17440,2.08,FALSE,3109.92878440367
CMS002_047i_Rb_S2_L004,54727762,107640,8140,1.99,FALSE,6722.312285012285
CMS002_047j_Rb_S3_L004,66671224,149082,31550,1.94,FALSE,2112.1925198098256
CMS002_049a_Rb_S4_L004,55951408,83096,27144,1.61,FALSE,2060.2808723843204
CMS002_050a_Rb_S5_L004,40223370,4052,1608,2.98,FALSE,25013.533582089553
CMS002_051a_Rb_S6_L004,81237864,139988,5968,2.52,FALSE,13611.242627345844
CMS002_053a_Rb_S7_L004,150000000,1233696,48218,1.8,FALSE,3109.8714587913228
CMS002_054a_Rb_S8_L004,75446550,85110,7692,1.57,FALSE,9807.44383775351
CMS002_056a_Rb_S9_L004,38502368,417130,69908,1.61,FALSE,549.7576815242891
CMS002_057a_Rb_S10_L004,52687788,53942,18342,2.49,FALSE,2871.521426234871
CMS002_0Water1_Rb_S127_L004,247124,1400,175282,1.33,TRUE,0.40986524571832816
CMS002_0Water2_Rb_S139_L004,190334,1274,141826,1.25,TRUE,0.34202473453386545
CMS002_0Water3_Rb_S151_L004,175490,1400,137646,1.22,TRUE,0.2749371576362553
CMS002_0Water4_Rb_S163_L004,168186,1734,124906,1.27,TRUE,0.34650056842745747
CMS002_0Water5_Rb_S175_L004,273804,1842,192392,1.35,TRUE,0.4231568880202919
CMS002_0Water6_Rb_S187_L004,51178,552,37232,1.2,TRUE,0.37457026214009453
CMS002_0Water7_Rb_S199_L004,184738,1340,137964,1.24,TRUE,0.3390304717172596
CMS002_0Water8_Rb_S11_L004,4534,64,2992,1.08,TRUE,0.5153743315508021
Placeholder,4534,64,2992,1.08,TRUE,0.5153743315508021
