ska_genus	ska_species	collected_by	sample	taxid	group	family	sci_name	reads	read_prop	poly_group	baltimore_group	genome_description	number_of_segments_conventional
Culiseta	particeps	ALCO	CMS001_008_Ra_S3	381046.0	Other Eukaryotes	Other eukaryotes	Lachancea thermotolerans	16	0.00011792800495297621				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	314145.0	Metazoa	Other metazoa	Laurasiatheria	977	0.005307359683622694				
Culiseta	particeps	ALCO	CMS001_008_Ra_S3	314145.0	Metazoa	Other metazoa	Laurasiatheria	274	0.0020195170848197174				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	314145.0	Metazoa	Other metazoa	Laurasiatheria	33	0.00013775714667379108				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	314145.0	Chordates	Other chordates	Laurasiatheria	977	0.005307359683622694				
Culiseta	particeps	ALCO	CMS001_008_Ra_S3	314145.0	Chordates	Other chordates	Laurasiatheria	274	0.0020195170848197174				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	314145.0	Chordates	Other chordates	Laurasiatheria	33	0.00013775714667379108				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	300275.0	Other Eukaryotes	Other eukaryotes	Lachancea	8	3.339567192091905e-05				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	238069.0	Other Eukaryotes	Other eukaryotes	Saliceae	104	0.0004341437349719476				
Culiseta	particeps	ALCO	CMS001_025_Ra_S7	162481.0	Other Eukaryotes	Other eukaryotes	Microbotryomycetes	12	8.0654917933621e-05				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	75712.0	Other Eukaryotes	Other eukaryotes	Salix interior	160	0.0006679134384183809				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	74975.0	Metazoa	Other metazoa	Araneoidea	4	2.172921057777971e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	72004.0	Metazoa	Other metazoa	Bos mutus	4	2.172921057777971e-05				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	72004.0	Metazoa	Other metazoa	Bos mutus	4	1.6697835960459526e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	72004.0	Chordates	Pecora	Bos mutus	4	2.172921057777971e-05				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	72004.0	Chordates	Pecora	Bos mutus	4	1.6697835960459526e-05				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	56409.0	Other Eukaryotes	Other eukaryotes	Hanseniaspora vineae	14	5.8442425861608334e-05				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	56408.0	Other Eukaryotes	Other eukaryotes	Hanseniaspora osmophila	8	3.339567192091905e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	35500.0	Metazoa	Other metazoa	Pecora	7	3.802611851111449e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	35500.0	Chordates	Pecora	Pecora	7	3.802611851111449e-05				
Culiseta	particeps	ALCO	CMS001_008_Ra_S3	27592.0	Metazoa	Other metazoa	Bovinae	246	0.0018131430761520093				
Culiseta	particeps	ALCO	CMS001_008_Ra_S3	27592.0	Chordates	Pecora	Bovinae	246	0.0018131430761520093				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9938.0	Metazoa	Other metazoa	Ovis aries musimon	3	1.6296907933334782e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9938.0	Chordates	Pecora	Ovis aries musimon	3	1.6296907933334782e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9913.0	Metazoa	Other metazoa	Bos taurus	4	2.172921057777971e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9913.0	Chordates	Pecora	Bos taurus	4	2.172921057777971e-05				
Culiseta	particeps	ALCO	CMS001_008_Ra_S3	9895.0	Metazoa	Other metazoa	Bovidae	232	0.001709956071818155				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	9895.0	Metazoa	Other metazoa	Bovidae	50	0.00020872294950574405				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9895.0	Metazoa	Other metazoa	Bovidae	18	9.77814476000087e-05				
Culiseta	particeps	ALCO	CMS001_008_Ra_S3	9895.0	Chordates	Pecora	Bovidae	232	0.001709956071818155				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	9895.0	Chordates	Pecora	Bovidae	50	0.00020872294950574405				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9895.0	Chordates	Pecora	Bovidae	18	9.77814476000087e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9881.0	Metazoa	Other metazoa	Odocoileinae	684	0.0037156950088003305				
Culiseta	particeps	ALCO	CMS001_008_Ra_S3	9881.0	Metazoa	Other metazoa	Odocoileinae	136	0.0010023880421002977				
Culiseta	particeps	ALCO	CMS001_025_Ra_S7	9881.0	Metazoa	Other metazoa	Odocoileinae	24	0.000161309835867242				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9881.0	Chordates	Pecora	Odocoileinae	684	0.0037156950088003305				
Culiseta	particeps	ALCO	CMS001_008_Ra_S3	9881.0	Chordates	Pecora	Odocoileinae	136	0.0010023880421002977				
Culiseta	particeps	ALCO	CMS001_025_Ra_S7	9881.0	Chordates	Pecora	Odocoileinae	24	0.000161309835867242				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9880.0	Metazoa	Other metazoa	Odocoileus virginianus texanus	4	2.172921057777971e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9880.0	Chordates	Pecora	Odocoileus virginianus texanus	4	2.172921057777971e-05				
Culiseta	particeps	ALCO	CMS001_025_Ra_S7	9877.0	Metazoa	Other metazoa	Odocoileus hemionus hemionus	9	6.0491188450215753e-05				
Culiseta	particeps	ALCO	CMS001_025_Ra_S7	9877.0	Chordates	Pecora	Odocoileus hemionus hemionus	9	6.0491188450215753e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9871.0	Metazoa	Other metazoa	Odocoileus	31	0.00016840138197779276				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9871.0	Chordates	Pecora	Odocoileus	31	0.00016840138197779276				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9861.0	Metazoa	Other metazoa	Cervus canadensis canadensis	4	2.172921057777971e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	9861.0	Chordates	Pecora	Cervus canadensis canadensis	4	2.172921057777971e-05				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	9850.0	Metazoa	Other metazoa	Cervidae	8	3.339567192091905e-05				
Culiseta	particeps	ALCO	CMS001_025_Ra_S7	9850.0	Metazoa	Other metazoa	Cervidae	7	4.704870212794559e-05				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	9850.0	Chordates	Pecora	Cervidae	8	3.339567192091905e-05				
Culiseta	particeps	ALCO	CMS001_025_Ra_S7	9850.0	Chordates	Pecora	Cervidae	7	4.704870212794559e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	6913.0	Metazoa	Other metazoa	Araneidae	34	0.00018469828991112753				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	6905.0	Metazoa	Other metazoa	Araneomorphae	6	3.2593815866669564e-05				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	4893.0	Other Eukaryotes	Other eukaryotes	Saccharomycetaceae	351	0.0014652351055303233				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	353	0.0019176028334890593				
Culiseta	particeps	ALCO	CMS001_008_Ra_S3	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	66	0.00048645302043102685				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	53	0.0002212463264760887				
Culiseta	particeps	ALCO	CMS001_025_Ra_S7	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	13	8.737616109475609e-05				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	1437010.0	Metazoa	Other metazoa	Boreoeutheria	566	0.0028097696584590947				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	1437010.0	Metazoa	Other metazoa	Boreoeutheria	101	0.0003151827591910101				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	1437010.0	Chordates	Other chordates	Boreoeutheria	566	0.0028097696584590947				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	1437010.0	Chordates	Other chordates	Boreoeutheria	101	0.0003151827591910101				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	314145.0	Metazoa	Other metazoa	Laurasiatheria	316	0.0009861163554887049				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	314145.0	Chordates	Other chordates	Laurasiatheria	316	0.0009861163554887049				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	84104.0	Metazoa	Other metazoa	Plagiorchis	4	1.2482485512515252e-05				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	72004.0	Metazoa	Other metazoa	Bos mutus	4	1.9857029388403494e-05				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	72004.0	Chordates	Pecora	Bos mutus	4	1.9857029388403494e-05				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	56251.0	Metazoa	Other metazoa	Plagiorchioidea	4	1.2482485512515252e-05				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	33213.0	Metazoa	Other metazoa	Bilateria	7	3.4749801429706116e-05				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	9913.0	Metazoa	Other metazoa	Bos taurus	3	1.4892772041302622e-05				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	9913.0	Chordates	Pecora	Bos taurus	3	1.4892772041302622e-05				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	9895.0	Metazoa	Other metazoa	Bovidae	427	0.001332505328461003				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	9895.0	Metazoa	Other metazoa	Bovidae	369	0.0018318109610802225				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	9895.0	Chordates	Pecora	Bovidae	427	0.001332505328461003				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	9895.0	Chordates	Pecora	Bovidae	369	0.0018318109610802225				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	9881.0	Metazoa	Other metazoa	Odocoileinae	266	0.0008300852865822642				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	9881.0	Chordates	Pecora	Odocoileinae	266	0.0008300852865822642				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	9880.0	Metazoa	Other metazoa	Odocoileus virginianus texanus	8	3.971405877680699e-05				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	9880.0	Metazoa	Other metazoa	Odocoileus virginianus texanus	3	9.361864134386438e-06				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	9880.0	Chordates	Pecora	Odocoileus virginianus texanus	8	3.971405877680699e-05				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	9880.0	Chordates	Pecora	Odocoileus virginianus texanus	3	9.361864134386438e-06				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	9872.0	Metazoa	Other metazoa	Odocoileus hemionus	4	1.9857029388403494e-05				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	9872.0	Chordates	Pecora	Odocoileus hemionus	4	1.9857029388403494e-05				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	9871.0	Metazoa	Other metazoa	Odocoileus	227	0.0011268864177918984				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	9871.0	Chordates	Pecora	Odocoileus	227	0.0011268864177918984				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	9526.0	Metazoa	Other metazoa	Catarrhini	508	0.001585275660089437				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	9526.0	Chordates	Other chordates	Catarrhini	508	0.001585275660089437				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	6179.0	Metazoa	Other metazoa	Digenea	22	6.865367031883388e-05				
Culiseta	inornata	ALCO	CMS001_016_Ra_S6	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	183	0.0009084590945194599				
Culiseta	inornata	ALCO	CMS001_060_Ra_S12	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	111	0.00034638897297229826				
Culiseta	incidens	SAND	CMS002_007a_Rb_S118_L004	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	32	8.898875404620741e-05				
Culiseta	incidens	ALCO	CMS001_005_Ra_S3	1437010.0	Metazoa	Other metazoa	Boreoeutheria	16	6.776158087768188e-05				
Culiseta	incidens	ALCO	CMS001_005_Ra_S3	1437010.0	Chordates	Other chordates	Boreoeutheria	16	6.776158087768188e-05				
Culiseta	incidens	ALCO	CMS001_005_Ra_S3	436017.0	Other Eukaryotes	Other eukaryotes	Ostreococcus lucimarinus CCE9901	4	1.694039521942047e-05				
Culiseta	incidens	ALCO	CMS001_014_Ra_S5	162481.0	Other Eukaryotes	Other eukaryotes	Microbotryomycetes	4	2.941717227431513e-05				
Culiseta	incidens	ALCO	CMS001_005_Ra_S3	9606.0	Metazoa	Other metazoa	Homo sapiens	529	0.002240367267768357				
Culiseta	incidens	ALCO	CMS001_005_Ra_S3	9606.0	Chordates	Other chordates	Homo sapiens	529	0.002240367267768357				
Culiseta	incidens	ALCO	CMS001_005_Ra_S3	9596.0	Metazoa	Other metazoa	Pan	56	0.00023716553307188656				
Culiseta	incidens	ALCO	CMS001_005_Ra_S3	9596.0	Chordates	Other chordates	Pan	56	0.00023716553307188656				
Culiseta	incidens	ALCO	CMS001_005_Ra_S3	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	129	0.0005463277458263101				
Culiseta	incidens	ALCO	CMS001_014_Ra_S5	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	11	8.08972237543666e-05				
Culiseta	incidens	ALCO	CMS001_026_Ra_S18	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	4	2.0588416956620205e-05				
Culex	tarsalis	WVAL 	CMS002_029a_Rb_S159_L004	2629660.0	Other Eukaryotes	Other eukaryotes	unclassified Melampsora	37	0.0001374075284470721				
Culex	tarsalis	WVAL 	CMS002_029b_Rb_S160_L004	2629660.0	Other Eukaryotes	Other eukaryotes	unclassified Melampsora	3	1.9368209021711762e-05				
Culex	tarsalis	WVAL 	CMS002_029e_Rb_S164_L004	1293361.0	Other Eukaryotes	Other eukaryotes	Cenchrinae	9	4.9631075670846704e-05				
Culex	tarsalis	WVAL 	CMS002_029b_Rb_S160_L004	222544.0	Other Eukaryotes	Other eukaryotes	Sordariomycetidae	6	3.8736418043423523e-05				
Culex	tarsalis	WVAL 	CMS002_029d_Rb_S162_L004	33687.0	Other Eukaryotes	Microsporidia	Amblyospora	5261	0.018867247877838066				
Culex	tarsalis	WVAL 	CMS002_029b_Rb_S160_L004	5260.0	Other Eukaryotes	Other eukaryotes	Melampsora	7	4.5192487717327445e-05				
Culex	tarsalis	WVAL 	CMS002_029a_Rb_S159_L004	5260.0	Other Eukaryotes	Other eukaryotes	Melampsora	5	1.8568584925280015e-05				
Culex	tarsalis	WVAL 	CMS002_029b_Rb_S160_L004	4892.0	Other Eukaryotes	Other eukaryotes	Saccharomycetales	3	1.9368209021711762e-05				
Culex	tarsalis	WVAL 	CMS002_029c_Rb_S161_L004	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	24	0.00014353294380087196				
Culex	tarsalis	WVAL 	CMS002_029a_Rb_S159_L004	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	15	5.5705754775840044e-05				
Culex	tarsalis	WVAL 	CMS002_029d_Rb_S162_L004	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	13	4.662121695721248e-05				
Culex	tarsalis	PLCR	CMS002_056a_Rb_S9_L004	890382.0	Other Eukaryotes	Other eukaryotes	Albugo laibachii Nc14	4	9.748203893432635e-06				
Culex	tarsalis	PLCR	CMS002_056a_Rb_S9_L004	465787.0	Other Eukaryotes	Other eukaryotes	uncultured Cantharellales	68	0.00016571946618835478				
Culex	tarsalis	PLCR	CMS002_056a_Rb_S9_L004	66545.0	Metazoa	Other metazoa	Acarus	23	5.6052172387237655e-05				
Culex	tarsalis	PLCR	CMS002_056a_Rb_S9_L004	47056.0	Other Eukaryotes	Other eukaryotes	Vuilleminia	15	3.655576460037238e-05				
Culex	tarsalis	PLCR	CMS002_056a_Rb_S9_L004	33154.0	Other Eukaryotes	Other eukaryotes	Opisthokonta	5	1.2185254866790795e-05				
Culex	tarsalis	PLCR	CMS002_056a_Rb_S9_L004	5498.0	Other Eukaryotes	Other eukaryotes	Cladosporium	14	3.411871362701422e-05				
Culex	tarsalis	PLCR	CMS002_056a_Rb_S9_L004	5302.0	Other Eukaryotes	Other eukaryotes	Agaricomycotina	75	0.0001827788230018619				
Culex	tarsalis	PLCR	CMS002_056a_Rb_S9_L004	5240.0	Other Eukaryotes	Other eukaryotes	Tulasnella	8	1.949640778686527e-05				
Culex	tarsalis	PLCR	CMS002_056a_Rb_S9_L004	5204.0	Other Eukaryotes	Other eukaryotes	Basidiomycota	41	9.99190899076845e-05				
Culex	tarsalis	COAV	CMS002_034a_Rb_S168_L004	1437201.0	Other Eukaryotes	Other eukaryotes	Pentapetalae	13	9.145976825501797e-05				
Culex	tarsalis	COAV	CMS002_035a_Rb_S169_L004	886584.0	Other Eukaryotes	Other eukaryotes	South American lineages	51	8.69572630627712e-05				
Culex	tarsalis	COAV	CMS002_038a_Rb_S172_L004	181048.0	Other Eukaryotes	Other eukaryotes	Entomophaga conglomerata	8	1.8272683252172166e-05				
Culex	tarsalis	COAV	CMS002_036a_Rb_S170_L004	162481.0	Other Eukaryotes	Other eukaryotes	Microbotryomycetes	22	8.320537355430663e-05				
Culex	tarsalis	COAV	CMS002_037a_Rb_S171_L004	64495.0	Other Eukaryotes	Other eukaryotes	Rhizopus oryzae	3	1.0573730623638631e-05				
Culex	tarsalis	COAV	CMS002_042a_Rb_S177_L004	63103.0	Other Eukaryotes	Other eukaryotes	Tamarix pentandra	13	0.0002194018767298994				
Culex	tarsalis	COAV	CMS002_032a_Rb_S166_L004	63103.0	Other Eukaryotes	Other eukaryotes	Tamarix pentandra	9	1.9403493491205904e-05				
Culex	tarsalis	COAV	CMS002_035a_Rb_S169_L004	48100.0	Other Eukaryotes	Other eukaryotes	Alternaria solani	4	6.82017749511931e-06				
Culex	tarsalis	COAV	CMS002_035a_Rb_S169_L004	34481.0	Other Eukaryotes	Other eukaryotes	Entomophthoraceae	4	6.82017749511931e-06				
Culex	tarsalis	COAV	CMS002_031a_Rb_S165_L004	9823.0	Metazoa	Other metazoa	Sus scrofa	4	1.4838446414660384e-05				
Culex	tarsalis	COAV	CMS002_031a_Rb_S165_L004	9823.0	Chordates	Other chordates	Sus scrofa	4	1.4838446414660384e-05				
Culex	tarsalis	COAV	CMS002_042a_Rb_S177_L004	7209.0	Metazoa	Nematoda	Loa loa	14	0.0002362789441706609				
Culex	tarsalis	COAV	CMS002_042a_Rb_S177_L004	6296.0	Metazoa	Nematoda	Onchocercidae	572	0.009653682576115576				
Culex	tarsalis	COAV	CMS002_042a_Rb_S177_L004	6295.0	Metazoa	Nematoda	Filarioidea	912	0.015391885505974482				
Culex	tarsalis	COAV	CMS002_042a_Rb_S177_L004	6282.0	Metazoa	Nematoda	Onchocerca volvulus	12	0.00020252480928913792				
Culex	tarsalis	COAV	CMS002_036a_Rb_S170_L004	5533.0	Other Eukaryotes	Other eukaryotes	Rhodotorula	6	2.269237460571999e-05				
Culex	tarsalis	COAV	CMS002_036a_Rb_S170_L004	4479.0	Other Eukaryotes	Other eukaryotes	Poaceae	5	1.8910312171433326e-05				
Culex	tarsalis	COAV	CMS002_034a_Rb_S168_L004	4231.0	Other Eukaryotes	Other eukaryotes	Helianthus	4	2.8141467155390147e-05				
Culex	tarsalis	COAV	CMS002_032a_Rb_S166_L004	4231.0	Other Eukaryotes	Other eukaryotes	Helianthus	4	8.623774884980402e-06				
Culex	tarsalis	COAV	CMS002_041a_Rb_S176_L004	4210.0	Other Eukaryotes	Other eukaryotes	Asteraceae	4	2.187944426211574e-05				
Culex	tarsalis	COAV	CMS002_034a_Rb_S168_L004	3524.0	Other Eukaryotes	Other eukaryotes	Caryophyllales	10	7.035366788847537e-05				
Culex	tarsalis	ALCO	CMS001_033_Ra_S8	1698434.0	Other Eukaryotes	Other eukaryotes	Ceraceosorus africanus	4	2.3106161257899417e-05				
Culex	tarsalis	ALCO	CMS001_046_Ra_S3	1470209.0	Other Eukaryotes	Trypanosomatidae	Paratrypanosoma confusum	4	1.0486989578554106e-05				
Culex	tarsalis	ALCO	CMS001_028_Ra_S17	1437201.0	Other Eukaryotes	Other eukaryotes	Pentapetalae	20	0.0002272314124704599				
Culex	tarsalis	ALCO	CMS001_038_Ra_S22	1437010.0	Metazoa	Other metazoa	Boreoeutheria	140	0.001094699309557507				
Culex	tarsalis	ALCO	CMS001_036_Ra_S20	1437010.0	Metazoa	Other metazoa	Boreoeutheria	131	0.0005105639978330261				
Culex	tarsalis	ALCO	CMS001_046_Ra_S3	1437010.0	Metazoa	Other metazoa	Boreoeutheria	12	3.146096873566232e-05				
Culex	tarsalis	ALCO	CMS001_028_Ra_S17	1437010.0	Metazoa	Other metazoa	Boreoeutheria	8	9.089256498818396e-05				
Culex	tarsalis	ALCO	CMS001_038_Ra_S22	1437010.0	Chordates	Other chordates	Boreoeutheria	140	0.001094699309557507				
Culex	tarsalis	ALCO	CMS001_036_Ra_S20	1437010.0	Chordates	Other chordates	Boreoeutheria	131	0.0005105639978330261				
Culex	tarsalis	ALCO	CMS001_046_Ra_S3	1437010.0	Chordates	Other chordates	Boreoeutheria	12	3.146096873566232e-05				
Culex	tarsalis	ALCO	CMS001_028_Ra_S17	1437010.0	Chordates	Other chordates	Boreoeutheria	8	9.089256498818396e-05				
Culex	tarsalis	ALCO	CMS001_032_Ra_S7	1237907.0	Metazoa	Nematoda	Onchocercidae sp. MI1 GLH-2012	16	0.00020206357425204906				
Culex	tarsalis	ALCO	CMS001_031_Ra_S19	379584.0	Metazoa	Other metazoa	Caniformia	596	0.006342449717995104				
Culex	tarsalis	ALCO	CMS001_028_Ra_S17	379584.0	Metazoa	Other metazoa	Caniformia	340	0.0038629340119978187				
Culex	tarsalis	ALCO	CMS001_031_Ra_S19	379584.0	Chordates	Carnivora	Caniformia	596	0.006342449717995104				
Culex	tarsalis	ALCO	CMS001_028_Ra_S17	379584.0	Chordates	Carnivora	Caniformia	340	0.0038629340119978187				
Culex	tarsalis	ALCO	CMS001_038_Ra_S22	314145.0	Metazoa	Other metazoa	Laurasiatheria	824	0.006443087364824184				
Culex	tarsalis	ALCO	CMS001_036_Ra_S20	314145.0	Metazoa	Other metazoa	Laurasiatheria	190	0.0007405126686127859				
Culex	tarsalis	ALCO	CMS001_046_Ra_S3	314145.0	Metazoa	Other metazoa	Laurasiatheria	170	0.00044569705708854954				
Culex	tarsalis	ALCO	CMS001_031_Ra_S19	314145.0	Metazoa	Other metazoa	Laurasiatheria	16	0.00017026710652335854				
