"","sample_name","idseq","predicted","median.depth","concordant","possible.match"
"101","CMS_036_RNA_A_S20","Culex tarsalis","Culex tarsalis",163.5,TRUE,TRUE
"102","CMS_037_RNA_A_S21","Culex erythrothorax","Culex erythrothorax",8,TRUE,TRUE
"103","CMS_038_RNA_A_S22","Culex tarsalis","Culex tarsalis",2,TRUE,TRUE
"104","CMS_039_RNA_A_S9","Culex tarsalis","Culex tarsalis,Culex pipiens",0,TRUE,TRUE
"105","CMS_040_RNA_A_S21","Culex tarsalis","Culex tarsalis",4,TRUE,TRUE
"106","CMS_041_RNA_A_S10","Culex pipiens","Culex pipiens",15,TRUE,TRUE
"107","CMS_042_RNA_A_S23","Culex tarsalis","Culex pipiens",0,FALSE,FALSE
"108","CMS_043_RNA_A_S24","Culex tarsalis","Culex pipiens",0,FALSE,FALSE
"109","CMS_044_RNA_A_S25","Culex pipiens","Culex pipiens",17,TRUE,TRUE
"110","CMS_045_RNA_A_S2","Culex tarsalis","Culex erythrothorax",13,FALSE,FALSE
"111","CMS_046_RNA_A_S3","Culex tarsalis","Culex pipiens",1,FALSE,FALSE
"112","CMS_047_RNA_A_S4","Culex erythrothorax","Culex erythrothorax",1,TRUE,TRUE
"113","CMS_048_RNA_A_S5","Culex erythrothorax","Culex erythrothorax",3,TRUE,TRUE
"114","CMS_049_RNA_A_S6","Culex erythrothorax","Culex erythrothorax",4,TRUE,TRUE
"115","CMS_050_RNA_A_S23","Culex erythrothorax","Culex tarsalis",3,FALSE,FALSE
"116","CMS_051_RNA_A_S8","Culex tarsalis","Culex pipiens,Culex tarsalis",0,FALSE,TRUE
"117","CMS_052_RNA_A_S7","Culex erythrothorax","Culex erythrothorax",3,TRUE,TRUE
"118","CMS_053_RNA_A_S8","Culex erythrothorax","Culex erythrothorax,Culex pipiens",0,TRUE,TRUE
"119","CMS_054_RNA_A_S11","Culex pipiens","Culex pipiens",3,TRUE,TRUE
"120","CMS_055_RNA_A_S9","Culex erythrothorax","Culex erythrothorax",18,TRUE,TRUE
"121","CMS_056_RNA_A_S10","Culex erythrothorax","Culex erythrothorax",5,TRUE,TRUE
"122","CMS_057_RNA_A_S11","Culex erythrothorax","Culex erythrothorax",6,TRUE,TRUE
"123","CMS_058_RNA_A_S9","","Culex erythrothorax",2,FALSE,FALSE
"124","CMS_059_RNA_A_S10","Culex pipiens","Culex pipiens",7,TRUE,TRUE
"125","CMS_060_RNA_A_S12","Culiseta inornata","Culiseta incidens",2,FALSE,FALSE
"126","CMS_water2_S24","","Culex pipiens",0,FALSE,FALSE
"127","CMS_water3_Qiagen_S26","","Culiseta incidens",4,FALSE,FALSE
