	RNA1 Hubei chryso-like virus 1 (Chryso)	RNA2 Hubei chryso-like virus 1 (Chryso)	RNA3 Hubei chryso-like virus 1 (Chryso)	RNA4 Hubei chryso-like virus 1 (Chryso)	RNA1 Keturi virus (Chryso)	RNA2 Keturi virus (Chryso)	RNA3 Keturi virus (Chryso)	RNA4 Keturi virus (Chryso)	RNA1 Culex mosquito virus 4 (Chu)	RNA2 Culex mosquito virus 4 (Chu)	RNA1 Culex-associated Luteo-like virus (Luteo)	RNA2 Culex-associated Luteo-like virus (Luteo)	RNA1 Culex narnavirus 1 (Narna)	RNA2 Culex narnavirus 1 (Narna)	PB1 Ūsinis virus (Orthomyxo)	PB2 Ūsinis virus (Orthomyxo)	PA Ūsinis virus (Orthomyxo)	NP Ūsinis virus (Orthomyxo)	gp64 Ūsinis virus (Orthomyxo)	hypothetical Ūsinis virus (Orthomyxo)	hypothetical2 Ūsinis virus (Orthomyxo)	hypothetical3 Ūsinis virus (Orthomyxo)	PB1 Wuhan mosquito virus 6 (Orthomyxo)	PB2 Wuhan mosquito virus 6 (Orthomyxo)	PA Wuhan mosquito virus 6 (Orthomyxo)	NP Wuhan mosquito virus 6 (Orthomyxo)	gp64 Wuhan mosquito virus 6 (Orthomyxo)	hypothetical Wuhan mosquito virus 6 (Orthomyxo)	hypothetical2 Wuhan mosquito virus 6 (Orthomyxo)	hypothetical3 Wuhan mosquito virus 6 (Orthomyxo)	PB1 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	PB2 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	PA Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	NP Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	gp64 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	hypothetical Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	hypothetical2 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	hypothetical3 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	PB1 Astopletus virus (Orthomyxo)	PB2 Astopletus virus (Orthomyxo)	PA Astopletus virus (Orthomyxo)	NP Astopletus virus (Orthomyxo)	gp64 Astopletus virus (Orthomyxo)	hypothetical Astopletus virus (Orthomyxo)	hypothetical2 Astopletus virus (Orthomyxo)	hypothetical3 Astopletus virus (Orthomyxo)	RNA1 3110|Partiti-like (Partiti)	RNA2 3110|Partiti-like (Partiti)	RNA1 1636|Partiti-like (Partiti)	RNA2 1636|Partiti-like (Partiti)	Chaq_RNA3 1636|Partiti-like (Partiti)	RNA1 3256|Partiti-like (Partiti)	RNA2 3256|Partiti-like (Partiti)	L Culex bunyavirus 2 (Peribunya)	NP Culex bunyavirus 2 (Peribunya)	L 61|Peribunya-like (Peribunya)	NP 61|Peribunya-like (Peribunya)	GP 61|Peribunya-like (Peribunya)	L Barstukas virus (Phasma)	NP Barstukas virus (Phasma)	GP Barstukas virus (Phasma)	L 76|Phasma-like (Phasma)	NP 76|Phasma-like (Phasma)	GP 76|Phasma-like (Phasma)	L 63|Phenui-like (Phenui)	NP 63|Phenui-like (Phenui)	GP 63|Phenui-like (Phenui)	VP2 296|Reo-like (Reo)	VP1 296|Reo-like (Reo)	VP3 296|Reo-like (Reo)	VP4 296|Reo-like (Reo)	VP5 296|Reo-like (Reo)	VP6 296|Reo-like (Reo)	VP7 296|Reo-like (Reo)	VP8 296|Reo-like (Reo)	VP1 Lobuck virus (Reo)	RNA6 Lobuck virus (Reo)	RNA7 Lobuck virus (Reo)	RNA9 Lobuck virus (Reo)	RNA10 Lobuck virus (Reo)	RNA1 Marma virus (Solemo)	RNA2 Marma virus (Solemo)	RNA1 Culex mosquito virus 6 (Solemo)	RNA2 Culex mosquito virus 6 (Solemo)	RNA1 Guadeloupe mosquito virus (Solemo)	RNA2 Guadeloupe mosquito virus (Solemo)	RNA1 Wenzhou sobemo-like virus 4 (Solemo)	RNA2 Wenzhou sobemo-like virus 4 (Solemo)	RNA1 Kellev virus (Solemo)	RNA2 Kellev virus (Solemo)	RNA1 312|Tombus-like (Tombus)	RNA2 312|Tombus-like (Tombus)	RNA1 Aedes aegypti totivirus (Toti)	RNA2 Aedes aegypti totivirus (Toti)	RNA1 6512|Toti-like (Toti)	RNA2 6512|Toti-like (Toti)
CMS001_040_Ra_S21													45856.03382110548	34821.3948689558																																										24590.29078134914	51439.97895355855	53885.080239558025																							52308.27260113426	16300.028289305295														
CMS001_004_Ra_S2													35029.00210123684	48888.357638058806																																																																																		
CMS001_054_Ra_S11													7574.518414132391	6328.875020446167																																																																																		
CMS001_002_Ra_S1													55091.41009348616	25491.651672811004									2981.9947909458083	1283.3901631918668	2768.09643041383	7171.886206072198	1547.6175497313689	1308.5546761956289	452.9612340677177	1069.491802659889																								31596.459795508737	24281.653711960986																										55009.22770196543	24800.29097571161														
CMS001_036_Ra_S20													18829.34685506499	14847.062672219636									6605.68466348755	6127.55891641607	6190.470198925475	10342.61484454622	2768.09643041383	5605.395271588007	1987.9965272972056	3321.7157164965965																								18509.28832190535	23749.54535045061																										127995.63536432585	59346.92118060701														
CMS001_051_Ra_S8													38350.71781773343	40011.57567598173																																								54551.210378133714	61111.6349871351																										201554.5646814759	97436.45009631835														
CMS001_038_Ra_S22													16872.805969022484	3736.9301810586708									14356.354668646276	10078.387458006719	12066.383985303924	18225.398542974697	6064.647633906665	7624.847440139914	1321.13693269751	4441.53654516401																								46461.81617339997	34849.72990448992																										126816.91431034714	52901.00090256355														
CMS001_042_Ra_S23													58884.9604288033	23862.249455817408									14853.353800470577	10707.500283100771	13035.217735948765	16256.275400430315	4951.117933490192	6460.988713715918	830.4289291241491	3372.0447425041207																								40184.28461735347	38911.26587905649																										91482.224886506	36425.84834238142														
CMS001_034_Ra_S19													76619.65096820465	60803.75454534016									6970.5701020421	5743.800093108698	6599.39353523661	7996.024006945405	2717.767404406306	4416.372032160248	415.21446456207457	2050.907809806611																								26773.80679751593	31758.112968625817																										91785.32458610051	39416.432045047346														
CMS001_028_Ra_S17													9323.452067893857	9298.287554890094									10285.994690287755	9059.224681354353	10657.171257093249	17470.463152861834	4076.6511066094595	7209.632975577841	1686.0223712520603	6523.899996225323																								25116.861773065888	27723.519189578758																										74825.21250656717	26309.05392480433														
CMS002_053a_Rb_S7_L004													98808.46030927186	57972.746832416924																																																242696.77461097992	547636.7636116593	14072.660218045357	98230.27653826306	28306.468749051393	212542.30792581124																													
CMS002_001a_Rb_S116_L004													91881.92810498635	162764.07010833325																																																																																		
CMS002_028e_Rb_S158_L004													290385.8978069127	204662.9842595971																																																90097.37633852028	265730.6460483323	31898.029827569473																																
CMS002_028d_Rb_S157_L004													199214.86719428265	191766.17134516904																																																62518.19740545436	144042.57384102748	15560.803597424865																																
CMS002_047j_Rb_S3_L004													177963.43596260552	156315.6636511192																																																0.0	97.05282908996797	0.0																			0.0	110.49357479862546												
CMS002_047f_Rb_S198_L004													31594.046076223312	41760.509329743196																																																96551.38947300313	101096.69696871663	88479.82918702079																																
CMS002_047a_Rb_S193_L004													38948.375001572786	31675.830743485538																																																																					118194.97696208965	66075.15772957802												
CMS002_028a_Rb_S154_L004													0.0	195.02497577915622																																																																																		
CMS002_027b_Rb_S153_L004													332429.5079079482	247625.09908526993																																								78199.72249538614	0.0																																									
CMS002_046b_Rb_S192_L004													212180.88251947105	142399.68796003875																																								175.12427087683375	471.48842159147546																																									
CMS002_046a_Rb_S191_L004													138128.01187765013	120544.30841627136																																								0.0	60.61993991890399																																									
CMS002_027a_Rb_S152_L004													71655.95077821256	40867.16911810964																																																																																		
CMS002_029d_Rb_S162_L004													231274.45676107553	180429.5582369742									11273.701825685419	8191.048982724563	10575.38658983102	23019.238270191378	6391.786302955572	5819.293632119984	2535.324685129031	4661.7260339469285																								102609.35163606482	77250.01010332332																										188972.55937386336	45027.14426198591														
CMS002_029c_Rb_S161_L004													53084.54018143614	36048.1648778892									7914.239339683179	5712.344451853995	9392.654478654202	12255.11783283214	4881.915522729846	3686.6011550511466	2579.3625828856148	4177.309158624507																								70433.63463688656	58572.33305942101																										263764.0941360311	72184.8773456549														
CMS002_044d_Rb_S181_L004															5055.368319691864	12277.323062108811	14925.373134328358	25878.671160327394	9388.541165142033	8666.345690900338	19860.375541646605	13240.250361097736																																					90154.06836783822	70293.69282619162	39239.28743379875																				424.3395794323279	229.00866191585953														
CMS002_044a_Rb_S178_L004															1083.2932113625423	1925.8545979778526	5296.100144439095	8184.882041405874	2888.781896966779	1324.0250361097737	4333.172845450169	2888.781896966779																																					18175.252768415983	7944.150216658643	5897.929706307174																				942.9768431829509	262.6864063152506														
CMS002_044e_Rb_S182_L004															842.5613866153105	1685.122773230621	3009.147809340395	10832.932113625422	2166.5864227250845	1324.0250361097737	10110.736639383727	9147.8093403948																																					25397.20751083293	17573.423206547905	13240.250361097736																				720.7037301469696	269.4219551951288														
CMS002_045e_Rb_S188_L004															34906.11458834858	56571.978815599425	61627.34713529128	101107.36639383726	52961.001444390946	35387.57823784304	64275.39720751084	34906.11458834858																									6018.29561868079	9027.443428021184											2093644.6798266731	229537.7948964853	496148.2908040443																										6538080.525722132	2238487.568044726								
CMS002_045d_Rb_S186_L004															42368.80115551276	59220.028887818975	74386.13384689456	128430.42850264805	107486.7597496389	60784.785748675975	94366.87530091478	27202.69619643717																									4573.9046701974	0.0											1321978.8155994222	821738.083774675	128911.89215214252																										5372909.616987887	2252807.6112010204								
CMS002_045c_Rb_S185_L004															63673.567645642746	74386.13384689456	97977.85267212325	118199.3259508907	89792.97063071738	46100.144439094845	55970.149253731346	22388.059701492537																																					818608.570052961	650096.2927298989	77274.91574386133																										2928792.1141680153	1142513.8541513414								
CMS002_045g_Rb_S190_L004															32498.796340876263	40442.94655753491	73423.20654790563	70052.9610014444	54405.39239287434	30091.478093403948	40202.21473278768	16851.22773230621																									40322.58064516129	24073.18247472316											548988.9263360617	266369.7640828118	115430.90996629753																				370.45518839330214	323.3063462341546					2959982.3451522733	1169045.1669854347								
CMS002_026d_Rb_S149_L004															57294.17428984112	102792.48916706789	116032.73952816562	122773.2306210881	79200.77034183919	69330.7655272027	68247.47231584015	97737.12084737603																									86181.99325950892	77515.64756860858											1565599.4222436207	1155031.2951372173	318127.10640346655																																			
CMS002_045b_Rb_S184_L004															337265.2864708715	443668.7530091478	479537.7948964853	389383.7265286471	204140.58738565238	152383.24506499758	95931.63216177178	138180.06740491092																									7221.954742416948	2888.781896966779											1294655.7534906114	1067886.3745787193	165984.59316321617																										102201.9518414987	43842.871855230245								
CMS002_045a_Rb_S183_L004															86181.99325950892	102912.8550794415	108088.58931150699	107847.85748675975	50794.41502166587	31535.869041887334	28406.355320173327	28887.81896966779																									151901.78141550312	71738.08377467502											370125.18054886855	326913.8180067405	80404.42946557536																										514933.0587023687	231327.54646657838								
CMS002_026c_Rb_S148_L004															32739.5281656235	47424.169475204624	64756.8608570053	64756.8608570053	42368.80115551276	39720.75108329321	38878.1896966779	64756.8608570053																									12879.15262397689	13842.079922965817											623134.3283582089	462205.10351468466	121810.30332209918																																			
CMS002_045f_Rb_S189_L004															28887.81896966779	42128.06933076553	48146.36494944632	50553.68319691863	35869.04188733751	22628.79152623977	24795.37794896485	22147.327876745305																									7944.150216658643	1324.0250361097737											271786.23013962444	214853.15358690417	56090.51516610495																										461625.22681575204	190623.3142072483								
CMS002_026e_Rb_S150_L004															22628.79152623977	29730.3803562831	44535.387578237845	43331.72845450169	35387.57823784304	43813.192103996145	38517.09195955705	73663.93837265286																									14925.373134328358	27684.159845931634											473038.03562831006	511675.4935002408	76913.81800674049																																			
CMS002_026b_Rb_S147_L004															43572.46027924892	59460.7607125662	76071.25662012518	85580.16369764083	48387.096774193546	61145.883485796825	77395.28165623495	83052.47953779489																									11073.663938372652	13240.250361097736											514323.54357246024	544535.3875782378	54886.8560423688																																			
CMS002_026a_Rb_S146_L004															21906.596051998073	28887.81896966779	38757.82378430429	36350.505536831966	24915.74386133847	25637.939335580162	28767.453057294173	46461.242176215696																									13480.982185844969	18175.252768415983											324987.96340876265	315358.6904188734	63071.73808377467																																			
CMS001_039_Ra_S9																							9008.89565534683	5586.521886835185	9354.907709148558	11865.067881273828	4630.270392692226	6957.9878455402195	1522.4530367276066	3428.664896762585																								37503.53616316194	30155.052335214794																										94647.93286004876	38082.793366831465														
CMS001_032_Ra_S7																							7958.277237439762	5120.9783962655865	6498.7354832215615	8172.17559797174	2705.1851479044253	2717.767404406306	484.4168753224203	1547.6175497313689																								19822.720353481604	41174.41030269556																										106468.82114423504	40608.6241967858														
CMS001_043_Ra_S24																							5045.4848572543	3699.183411553028	5284.54773079004	8291.70703473961	2673.7295066497227	2453.540017866804	415.21446456207457	1144.9853416711753																								17977.179960394973	21230.45006937615																										42393.544649953525	18233.130817830344														
CMS002_018b_Rb_S129_L004																															89671.40956085577	112601.08506500153	92742.34824444671	126625.03838673356	191114.75074214351	195106.97103081175	228887.2965503122	81482.23973794657																																															14117719.31620432	6449994.881768861										
CMS002_017b_Rb_S123_L004																															36237.076466373226	27638.44815231856	22315.487767427578	36134.711843586854	48111.37270959157	41764.76609683694	124270.65206264715	38079.63967652779																																															8709591.565155083	3697921.9981574365							667929.1636810318	1253352.4413962534		
CMS002_017c_Rb_S124_L004																															77797.11331763743	49953.93591974614	26614.80192445491	39103.28590439144	97451.12089261951	36032.34722080049	107482.85392568329	54457.9793223462																																															7781758.62421947	3614801.9244549084							292865.18579179037	714607.4316716143		
CMS002_017a_Rb_S122_L004																															36032.34722080049	26717.166547241275	15968.881154672945	43197.87081584605	41355.30760569147	30299.928344764052	104411.91524209232	30299.928344764052																																															8084041.355307606	3455215.4775309656							312621.55798955885	650117.7193162043		
CMS002_017e_Rb_S126_L004																															68481.9326440782	50977.582147609784	32756.67929163681	36748.89958030505	51591.76988432797	24362.780223154878	83529.53219367388	18425.632101545707																																															293581.7381512949	126932.13225509264							8700.992936841028	20268.195311700278		
CMS001_046_Ra_S3																																							3424.9694849793227	4262.99393343171	3279.226102639777	2186.1507350931847	2259.0224262629577	5902.606984751598	3206.354411470004	4918.839153959666								19640.860533724896	1252.8120916573491																										34263.73715194051	14798.000889092453														
CMS001_027_Ra_S16																																							16068.207902934908	18691.588785046726	16942.668196972183	11021.84328942814	1348.1262866407974	3388.5336393944362	3315.6619482246633	3261.008179847334																																			35583.904732396644	10999.151320841136														
CMS001_025_Ra_S7																																																	7102.43994318048	7490.915940072672	13168.943894648448																																								3720.3885379681824	2054.3014970519966				
CMS001_008_Ra_S3																																																	7259.399941924801	11795.543905635648	10959.731912322146																																													
CMS002_020a_Rb_S131_L004																																																	46597.49962722001	107187.98314249614	117358.99106112806	8566.149621000506	7533.029874649217																																				10360.673042171267	5151.6524871925785						
CMS002_021a_Rb_S136_L004																																																	66649.13946680688	128769.98296984013	116727.22706618218																																												292.5771457091554	355.68202027387514
CMS002_020e_Rb_S135_L004																																																	181473.22654821418	292683.3096585335	207540.35833967713																																													
CMS002_020c_Rb_S133_L004																																																	107725.57113819543	197110.36642311708	179982.10656014315																																													
CMS002_020b_Rb_S132_L004																																																	90510.98327591213	189474.26248420592	186519.49050784408																																						261512.33700297738	128240.57872906783					80.31529490055246	263.89311181610094
CMS002_020d_Rb_S134_L004																																																	31030.991751752066	76353.19138917448	29853.791761169665																																													
CMS002_029a_Rb_S159_L004																																																	0.0	47.087999623296	0.0			113568.0896636267	92378.0528875298																										418439.2386135546	100716.66240081904														
CMS001_003_Ra_S2																																																				469.5998847051318	908.4328804123411																																											
CMS001_033_Ra_S8																																																						72508.18369188905	102151.33431223311																										271712.0418142874	117339.99703635849														
CMS002_049a_Rb_S4_L004																																																						140510.28518313958	120168.92756590735																																									
CMS002_013a_Rb_S120_L004																																																						79883.6097153557	91071.35640483344																																									
CMS002_010a_Rb_S119_L004																																																						33819.19092586855	37496.80061428206																																									
CMS002_029b_Rb_S160_L004																																																						86794.28286611075	87656.43312273518																										342873.11573020084	86686.51408403271														
CMS002_044c_Rb_S180_L004																																																											962.9272989889263	5296.100144439095	1805.488685604237																																			
CMS001_001_Ra_S1																																																														99107.11397237229	115864.90246190676	37543.269386302614				67874.08436577686	68359.13414503812	64215.658064569165	72584.82205250047	72436.8407639123	28420.628591629193	6848.245188552825	7407.285612108158																					
CMS001_057_Ra_S11																																																														30814.27323606483	56953.83520429621	11662.514962311152																			16408.29585759588	6916.897782393953												
CMS001_017_Ra_S6																																																														36136.00336449808	60835.948367894925	3040.9886448189964																			28253.207076008533	14540.954443499111												
CMS002_028b_Rb_S155_L004																																																														61013.878554559866	177202.29044676654	12616.867781695837																																
CMS002_047i_Rb_S2_L004																																																														27223.318559736017	128643.52495875256	6227.556533272946																			63213.37414229362	36131.39895915052												
CMS002_047h_Rb_S1_L004																																																														69101.6143120572	68098.73507812753	96599.91588754812																																
CMS001_021_Ra_S16																																																																	14489.041678049965	5710.621376316668	9385.52955104271														197115.83796963614	80105.8828283917	45225.0201650774	25380.37413124427												
CMS001_013_Ra_S5																																																																	4506.837567920347	3378.942415687703	3406.4520535470356																													
CMS001_049_Ra_S6																																																																	1989.2313996903742	703.867285918101	1198.0921591840452	8138.970872349697	8073.201410754951	6560.503794075816	5335.54757187369	8023.874314558893	2680.1055599858596	1627.7941744699392	756.3488083395678						45451.48384141824	20516.48188810906	7049.4900721523045	3115.9188093212383												
CMS001_056_Ra_S10																																																																	4226.049540114744	1284.4155055702272	3174.991652247822	0.0	57.54827889540189	82.21182699343127	0.0	0.0	0.0	0.0	0.0								5436.283880092373	3182.214954200413												
CMS001_020_Ra_S15																																																																				185436.99696638357	255292.38636270212	207108.03456185205	147257.8245106341	232083.9876024565	65572.15320996077	61773.96680286426	19763.723209220876								39689.29206766626	21546.247085731964												
CMS002_047g_Rb_S200_L004																																																																				1093.417299012636	2038.8533094370955	1389.3798761889886	1652.4577225679686	2038.8533094370955	723.4640775421952	501.49214465993083	90.4330096927744																					
CMS001_012_Ra_S4																																																																												14852.937002734076	7189.9567656547115	8467.120138501274	14247.46695931052	9734.823041919339																
CMS001_024_Ra_S15																																																																																	83312.00409521372	19290.611991971226	21457.852225893064	22750.627051036983												
CMS001_015_Ra_S13																																																																																	66985.0336103889	31333.773389193484														
CMS001_031_Ra_S19																																																																																	111116.34987135102	38022.17342691256														
CMS002_033a_Rb_S167_L004																																																																																	939696.6308784502	397720.69025904924														
CMS002_039a_Rb_S173_L004																																																																																	711967.7232497677	260733.09714008597														
CMS002_034a_Rb_S168_L004																																																																																	465325.3943663869	182856.68099093394														
CMS002_037a_Rb_S171_L004																																																																																	721855.5090054289	275019.1963143076														
CMS002_036a_Rb_S170_L004																																																																																	822033.3274958577	314240.2974418385														
CMS002_042a_Rb_S177_L004																																																																																	6533.482413481875	2492.153085554942														
CMS002_044b_Rb_S179_L004																																																																																	67.3554887987822	53.88439103902577														
CMS001_006_Ra_S5																																																																																			45700.142536711486	17435.886103223096							1277.8725847803757	816.8679181191009				
CMS002_017d_Rb_S125_L004																																																																																					9161633.73937967	3750537.4142696285							434230.72985976044	1390418.6713071961		
CMS002_019a_Rb_S130_L004																																																																																					15036851.264203092	6210564.029071553										
CMS002_018a_Rb_S128_L004																																																																																					2130412.529429829	844098.6794963661										
