,Specimen ID,Genus,Species,Collection Site,Collection Date,Latitude,Longitude,Habitat
27,CMS001_028_Ra_S17,Culex,pipiens,ALCO,2017-09-12T00:00:00Z,37.7152,-122.19431000000002, Industrial (waste water treatment plant)
28,CMS001_029_Ra_S18,Culex,pipiens,ALCO,2017-09-13T00:00:00Z,37.68473,-121.91341000000001,Park / adjacent to  Industrial (waste water treatment plant)
29,CMS001_030_Ra_S7,Culex,tarsalis,ALCO,2017-09-10T00:00:00Z,37.7152,-122.19431000000002, Industrial (waste water treatment plant)
30,CMS001_031_Ra_S19,Culex,tarsalis,ALCO,2017-09-13T00:00:00Z,37.8063,-122.2573,Park
31,CMS001_032_Ra_S7,Culex,tarsalis,ALCO,,37.66126,-122.13335,Golf Course
32,CMS001_033_Ra_S8,Culex,tarsalis,ALCO,2017-09-11T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
33,CMS001_034_Ra_S19,Culex,erythrothorax,ALCO,2017-09-11T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
34,CMS001_035_Ra_S20,Culex,tarsalis,ALCO,2017-09-11T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
35,CMS001_036_Ra_S20,Culex,erythrothorax,ALCO,2017-09-11T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
36,CMS001_037_Ra_S21,Culex,tarsalis,ALCO,2017-08-18T00:00:00Z,,,
37,CMS001_038_Ra_S22,Culex,tarsalis,ALCO,2017-08-24T00:00:00Z,37.583909999999996,-122.09238,Marsh
38,CMS001_039_Ra_S9,Culex,tarsalis,ALCO,2017-08-24T00:00:00Z,37.583909999999996,-122.09238,Marsh
39,CMS001_040_Ra_S21,Culex,pipiens,ALCO,2017-08-31T00:00:00Z,37.49949,-121.93378,Undeveloped
40,CMS001_041_Ra_S10,Culex,tarsalis,ALCO,2017-08-31T00:00:00Z,37.49949,-121.93378,Undeveloped
41,CMS001_042_Ra_S23,Culex,tarsalis,ALCO,2017-08-25T00:00:00Z,37.66126,-122.13335,Golf Course
42,CMS001_043_Ra_S24,Culex,pipiens,ALCO,2017-08-25T00:00:00Z,37.66126,-122.13335,Golf Course
43,CMS001_044_Ra_S25,Culex,pipiens,ALCO,2017-08-25T00:00:00Z,37.66126,-122.13335,Golf Course
44,CMS001_045_Ra_S2,Culex,erythrothorax,ALCO,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
45,CMS001_046_Ra_S3,Culex,tarsalis,ALCO,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
46,CMS001_047_Ra_S4,Culex,erythrothorax,ALCO,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
47,CMS001_048_Ra_S5,Culex,erythrothorax,ALCO,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
48,CMS001_049_Ra_S6,Culex,erythrothorax,ALCO,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
49,CMS001_050_Ra_S23,Culex,erythrothorax,ALCO,2017-10-17T00:00:00Z,37.50608,-121.99857,Marsh
50,CMS001_051_Ra_S8,Culex,tarsalis,ALCO,2017-10-17T00:00:00Z,37.50608,-121.99857,Marsh
51,CMS001_052_Ra_S7,Culex,erythrothorax,ALCO,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
52,CMS001_053_Ra_S8,Culex,erythrothorax,ALCO,2017-10-07T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
53,CMS001_054_Ra_S11,Culex,pipiens,ALCO,2016-02-10T00:00:00Z,37.630829999999996,-122.14267,Marsh / Wildlife Refuge / Park
54,CMS001_055_Ra_S9,Culex,erythrothorax,ALCO,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
55,CMS001_056_Ra_S10,Culex,erythrothorax,ALCO,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
56,CMS001_057_Ra_S11,Culex,erythrothorax,ALCO,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
57,CMS001_058_Ra_S9,Culex,erythrothorax,ALCO,,,,
58,CMS001_059_Ra_S10,Culex,pipiens,ALCO,2017-10-24T00:00:00Z,37.6683,-122.15915, Industrial (waste water treatment plant)
59,CMS001_060_Ra_S12,Culiseta,inornata,ALCO,2017-10-23T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
60,CMS001_water1_S11,,,,,,,
61,CMS001_water2_S24,,,,,,,
62,CMS001_water3_Qiagen_S26,,,,,,,
63,CMS001_water4_Zymo_S27,,,,,,,
64,CMS001_water5_RNA_A_S12,,,,,,,
65,CMS002_001a_Rb_S116_L004,Culex,quinquefasciatus,SAND,2017-11-15T00:00:00Z,32.7962659,-116.9594824,urban
66,CMS002_004a_Rb_S117_L004,Culex,quinquefasciatus,SAND,2017-11-15T00:00:00Z,32.7991943,-116.9193062,suburban
67,CMS002_007a_Rb_S118_L004,Culex,quinquefasciatus,SAND,2017-11-15T00:00:00Z,32.7856362,-116.9887078,suburban
68,CMS002_010a_Rb_S119_L004,Culex,quinquefasciatus,SAND,2017-11-15T00:00:00Z,32.7981529,-116.9544084,urban
69,CMS002_013a_Rb_S120_L004,Culex,quinquefasciatus,SAND,2017-11-15T00:00:00Z,32.7996185,-116.93932029999999,suburban
70,CMS002_016a_Rb_S121_L004,Aedes,aegypti,SAND,2017-11-15T00:00:00Z,32.7152395,-117.11484240000001,suburban
71,CMS002_017a_Rb_S122_L004,Aedes,aegypti,SAND,2017-11-28T00:00:00Z,32.5542907,-117.04828,suburban
72,CMS002_017b_Rb_S123_L004,Aedes,aegypti,SAND,2017-11-28T00:00:00Z,32.5542907,-117.04828,suburban
73,CMS002_017c_Rb_S124_L004,Aedes,aegypti,SAND,2017-11-28T00:00:00Z,32.5542907,-117.04828,suburban
74,CMS002_017d_Rb_S125_L004,Aedes,aegypti,SAND,2017-11-28T00:00:00Z,32.5542907,-117.04828,suburban
75,CMS002_017e_Rb_S126_L004,Aedes,aegypti,SAND,2017-11-28T00:00:00Z,32.5542907,-117.04828,suburban
76,CMS002_018a_Rb_S128_L004,Aedes,aegypti,SAND,2018-11-28T00:00:00Z,32.6952215,-117.1221922,urban
77,CMS002_018b_Rb_S129_L004,Aedes,aegypti,SAND,2018-11-28T00:00:00Z,32.6952215,-117.1221922,urban
78,CMS002_019a_Rb_S130_L004,Aedes,aegypti,SAND,2017-11-29T00:00:00Z,32.760258,-117.0813933,suburban
79,CMS002_020a_Rb_S131_L004,Culiseta,particeps,SAND,2017-12-01T00:00:00Z,32.940749100000005,-117.21652390000001,Rural
80,CMS002_020b_Rb_S132_L004,Culiseta,particeps,SAND,2017-12-01T00:00:00Z,32.940749100000005,-117.21652390000001,Rural
81,CMS002_020c_Rb_S133_L004,Culiseta,particeps,SAND,2017-12-01T00:00:00Z,32.940749100000005,-117.21652390000001,Rural
82,CMS002_020d_Rb_S134_L004,Culiseta,particeps,SAND,2017-12-01T00:00:00Z,32.940749100000005,-117.21652390000001,Rural
83,CMS002_020e_Rb_S135_L004,Culiseta,particeps,SAND,2017-12-01T00:00:00Z,32.940749100000005,-117.21652390000001,Rural
84,CMS002_021a_Rb_S136_L004,Culiseta,particeps,SAND,2017-12-27T00:00:00Z,32.940749100000005,-117.21652390000001,Rural
85,CMS002_022a_Rb_S137_L004,Culex,quinquefasciatus,SAND,2017-12-27T00:00:00Z,32.552783000000005,-117.05594690000001,suburban
86,CMS002_023a_Rb_S138_L004,Culex,quinquefasciatus,SAND,2017-12-27T00:00:00Z,32.5928337,-117.0575668,urban
87,CMS002_025a_Rb_S140_L004,Aedes,aegypti,WVAL ,2017-08-23T00:00:00Z,33.954615000000004,-117.693828,Residential
88,CMS002_025b_Rb_S141_L004,Aedes,aegypti,WVAL ,2017-08-23T00:00:00Z,33.954615000000004,-117.693828,Residential
89,CMS002_025c_Rb_S142_L004,Aedes,aegypti,WVAL ,2017-08-23T00:00:00Z,33.954615000000004,-117.693828,Residential
90,CMS002_025d_Rb_S143_L004,Aedes,aegypti,WVAL ,2017-08-23T00:00:00Z,33.954615000000004,-117.693828,Residential
91,CMS002_025e_Rb_S144_L004,Aedes,aegypti,WVAL ,2017-08-23T00:00:00Z,33.954615000000004,-117.693828,Residential
92,CMS002_025f_Rb_S145_L004,Aedes,aegypti,WVAL ,2017-08-23T00:00:00Z,33.954615000000004,-117.693828,Residential
93,CMS002_026a_Rb_S146_L004,Aedes,albopictus,WVAL ,2017-08-29T00:00:00Z,34.155852,-117.666926,Residential
94,CMS002_026b_Rb_S147_L004,Aedes,albopictus,WVAL ,2017-08-29T00:00:00Z,34.155852,-117.666926,Residential
95,CMS002_026c_Rb_S148_L004,Aedes,albopictus,WVAL ,2017-08-29T00:00:00Z,34.155852,-117.666926,Residential
96,CMS002_026d_Rb_S149_L004,Aedes,albopictus,WVAL ,2017-08-29T00:00:00Z,34.155852,-117.666926,Residential
97,CMS002_026e_Rb_S150_L004,Aedes,albopictus,WVAL ,2017-08-29T00:00:00Z,34.155852,-117.666926,Residential
98,CMS002_027a_Rb_S152_L004,Culex,quinquefasciatus,WVAL ,2017-11-15T00:00:00Z,34.150853000000005,-117.642917,Residential
99,CMS002_027b_Rb_S153_L004,Culex,quinquefasciatus,WVAL ,2017-11-15T00:00:00Z,34.150853000000005,-117.642917,Residential
100,CMS002_028a_Rb_S154_L004,Culex,erythrothorax,WVAL ,2017-11-15T00:00:00Z,33.935,-117.655833,Marsh/Swamp
101,CMS002_028b_Rb_S155_L004,Culex,erythrothorax,WVAL ,2017-11-15T00:00:00Z,33.935,-117.655833,Marsh/Swamp
102,CMS002_028c_Rb_S156_L004,Culex,erythrothorax,WVAL ,2017-11-15T00:00:00Z,33.935,-117.655833,Marsh/Swamp
103,CMS002_028d_Rb_S157_L004,Culex,erythrothorax,WVAL ,2017-11-15T00:00:00Z,33.935,-117.655833,Marsh/Swamp
104,CMS002_028e_Rb_S158_L004,Culex,erythrothorax,WVAL ,2017-11-15T00:00:00Z,33.935,-117.655833,Marsh/Swamp
105,CMS002_029a_Rb_S159_L004,Culex,tarsalis,WVAL ,2017-11-15T00:00:00Z,33.925833000000004,-117.659722,Residential
106,CMS002_029b_Rb_S160_L004,Culex,tarsalis,WVAL ,2017-11-15T00:00:00Z,33.925833000000004,-117.659722,Residential
107,CMS002_029c_Rb_S161_L004,Culex,tarsalis,WVAL ,2017-11-15T00:00:00Z,33.925833000000004,-117.659722,Residential
108,CMS002_029d_Rb_S162_L004,Culex,tarsalis,WVAL ,2017-11-15T00:00:00Z,33.925833000000004,-117.659722,Residential
109,CMS002_029e_Rb_S164_L004,Culex,tarsalis,WVAL ,2017-11-15T00:00:00Z,33.925833000000004,-117.659722,Residential
110,CMS002_031a_Rb_S165_L004,Culex,tarsalis,COAV,2017-11-07T00:00:00Z,33.516797,-116.08246799999999,Marsh; Undeveloped
111,CMS002_032a_Rb_S166_L004,Culex,tarsalis,COAV,2017-11-07T00:00:00Z,33.516797,-116.08246799999999,Marsh; Undeveloped
112,CMS002_033a_Rb_S167_L004,Culex,tarsalis,COAV,2017-11-07T00:00:00Z,33.569223,-116.079206,Residential; Undeveloped
113,CMS002_034a_Rb_S168_L004,Culex,tarsalis,COAV,2017-11-07T00:00:00Z,33.569223,-116.079206,Residential; Undeveloped
114,CMS002_035a_Rb_S169_L004,Culex,tarsalis,COAV,2017-11-07T00:00:00Z,33.539988,-116.07886299999998,Agriculture; Marsh; Undeveloped
115,CMS002_036a_Rb_S170_L004,Culex,tarsalis,COAV,2017-11-07T00:00:00Z,33.539988,-116.07886299999998,Agriculture; Marsh; Undeveloped
116,CMS002_037a_Rb_S171_L004,Culex,tarsalis,COAV,2017-11-07T00:00:00Z,33.463592999999996,-116.074278,Agriculture; Marsh; Undeveloped
117,CMS002_038a_Rb_S172_L004,Culex,tarsalis,COAV,2017-11-07T00:00:00Z,33.52908,-116.03521299999998,Agriculture; Marsh; Undeveloped
118,CMS002_039a_Rb_S173_L004,Culex,tarsalis,COAV,2017-11-07T00:00:00Z,33.532468,-116.060957,Marsh; Undeveloped
119,CMS002_040a_Rb_S174_L004,Culex,tarsalis,COAV,2017-11-07T00:00:00Z,33.532468,-116.060957,Marsh; Undeveloped
120,CMS002_041a_Rb_S176_L004,Culex,tarsalis,COAV,2017-11-07T00:00:00Z,33.510767,-115.92079299999999,Marsh; Undeveloped
121,CMS002_042a_Rb_S177_L004,Culex,tarsalis,COAV,2017-11-07T00:00:00Z,33.525475,-115.95663200000001,Agriculture; Marsh; Undeveloped
122,CMS002_044a_Rb_S178_L004,Aedes,aegypti,WVAL ,2017-08-23T00:00:00Z,33.954531,-117.692953,Residential
123,CMS002_044b_Rb_S179_L004,Aedes,aegypti,WVAL ,2017-08-23T00:00:00Z,33.954531,-117.692953,Residential
124,CMS002_044c_Rb_S180_L004,Aedes,aegypti,WVAL ,2017-08-23T00:00:00Z,33.954531,-117.692953,Residential
125,CMS002_044d_Rb_S181_L004,Aedes,aegypti,WVAL ,2017-08-23T00:00:00Z,33.954531,-117.692953,Residential
126,CMS002_044e_Rb_S182_L004,Aedes,aegypti,WVAL ,2017-08-23T00:00:00Z,33.954531,-117.692953,Residential
127,CMS002_045a_Rb_S183_L004,Aedes,albopictus,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
128,CMS002_045b_Rb_S184_L004,Aedes,albopictus,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
129,CMS002_045c_Rb_S185_L004,Aedes,albopictus,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
130,CMS002_045d_Rb_S186_L004,Aedes,albopictus,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
131,CMS002_045e_Rb_S188_L004,Aedes,albopictus,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
132,CMS002_045f_Rb_S189_L004,Aedes,albopictus,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
133,CMS002_045g_Rb_S190_L004,Aedes,albopictus,WVAL ,2017-10-24T00:00:00Z,34.151881,-117.66295,Residential
134,CMS002_046a_Rb_S191_L004,Culex,quinquefasciatus,WVAL ,2017-11-29T00:00:00Z,33.9725,-117.714444,Residential
135,CMS002_046b_Rb_S192_L004,Culex,quinquefasciatus,WVAL ,2017-11-29T00:00:00Z,33.9725,-117.714444,Residential
136,CMS002_047a_Rb_S193_L004,Culex,erythrothorax,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
137,CMS002_047b_Rb_S194_L004,Culex,erythrothorax,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
138,CMS002_047c_Rb_S195_L004,Culex,erythrothorax,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
139,CMS002_047d_Rb_S196_L004,Culex,erythrothorax,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
140,CMS002_047e_Rb_S197_L004,Culex,erythrothorax,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
141,CMS002_047f_Rb_S198_L004,Culex,erythrothorax,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
142,CMS002_047g_Rb_S200_L004,Culex,erythrothorax,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
143,CMS002_047h_Rb_S1_L004,Culex,erythrothorax,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
144,CMS002_047i_Rb_S2_L004,Culex,erythrothorax,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
145,CMS002_047j_Rb_S3_L004,Culex,erythrothorax,WVAL ,2017-11-29T00:00:00Z,33.93778,-117.63305600000001,Marsh/Swamp
146,CMS002_049a_Rb_S4_L004,Culex,pipiens,PLCR,2017-11-21T00:00:00Z,38.739939,-121.305636,Commercial/Industrial/Transportation
147,CMS002_050a_Rb_S5_L004,Culex,pipiens,PLCR,2017-11-21T00:00:00Z,38.824306,-121.25706699999999,Wetland Preserve
148,CMS002_051a_Rb_S6_L004,Culex,pipiens,PLCR,2017-11-21T00:00:00Z,38.897572,-121.311747,Commercial/Industrial/Transportation
149,CMS002_053a_Rb_S7_L004,Culex,pipiens,PLCR,2017-11-21T00:00:00Z,38.836781,-121.39119,Agriculture & Residential
150,CMS002_054a_Rb_S8_L004,Culex,pipiens,PLCR,2017-11-21T00:00:00Z,38.772222,-121.4695,Agriculture
151,CMS002_056a_Rb_S9_L004,Culex,tarsalis,PLCR,2017-11-28T00:00:00Z,38.787211,-121.372895,Residential 
152,CMS002_057a_Rb_S10_L004,Culex,pipiens,PLCR,2017-11-28T00:00:00Z,38.787211,-121.372895,Residential 
153,CMS002_Water1_Rb_S127_L004,,,,,,,
154,CMS002_Water2_Rb_S139_L004,,,,,,,
155,CMS002_Water3_Rb_S151_L004,,,,,,,
156,CMS002_Water4_Rb_S163_L004,,,,,,,
157,CMS002_Water5_Rb_S175_L004,,,,,,,
158,CMS002_Water6_Rb_S187_L004,,,,,,,
159,CMS002_Water7_Rb_S199_L004,,,,,,,
160,CMS002_Water8_Rb_S11_L004,,,,,,,
