	genome 1399|Botourmia-like (Botourmia)	genome 1438|Botourmia-like (Botourmia)	genome 1479|Botourmia-like (Botourmia)	genome 3061|Botourmia-like (Botourmia)	genome 4269|Botourmia-like (Botourmia)	genome 9191|Botourmia-like (Botourmia)	RNA1 Hubei chryso-like virus 1 (Chryso)	RNA2 Hubei chryso-like virus 1 (Chryso)	RNA3 Hubei chryso-like virus 1 (Chryso)	RNA4 Hubei chryso-like virus 1 (Chryso)	RNA1 Keturi virus (Chryso)	RNA2 Keturi virus (Chryso)	RNA3 Keturi virus (Chryso)	RNA4 Keturi virus (Chryso)	L Culex mosquito virus 4 (Chu)	RNA2 Culex mosquito virus 4 (Chu)	genome Wuhan insect virus 33 (Dicistro)	genome Placeda virus (Flavi)	genome Culex flavivirus (Flavi)	genome Calbertado virus (Flavi)	genome 25|Ifla-like (Ifla)	genome Culex iflavi-like virus 4 (Ifla)	genome 24|Ifla-like (Ifla)	genome Culex iflavi-like virus 3 (Ifla)	genome Chimba virus (Levi)	genome 416|Levi-like (Levi)	RNA1 Culex-associated Luteo-like virus (Luteo)	RNA2 Culex-associated Luteo-like virus (Luteo)	genome 98|Luteo-like (Luteo)	RNA1 Culex narnavirus 1 (Narna)	RNA2 Culex narnavirus 1 (Narna)	genome 1249|Narna-like (Narna)	PB1 Usinis virus (Orthomyxo)	PB2 Usinis virus (Orthomyxo)	PA Usinis virus (Orthomyxo)	NP Usinis virus (Orthomyxo)	gp64 Usinis virus (Orthomyxo)	hypothetical Usinis virus (Orthomyxo)	hypothetical2 Usinis virus (Orthomyxo)	hypothetical3 Usinis virus (Orthomyxo)	PB1 Wuhan mosquito virus 6 (Orthomyxo)	PB2 Wuhan mosquito virus 6 (Orthomyxo)	PA Wuhan mosquito virus 6 (Orthomyxo)	NP Wuhan mosquito virus 6 (Orthomyxo)	gp64 Wuhan mosquito virus 6 (Orthomyxo)	hypothetical Wuhan mosquito virus 6 (Orthomyxo)	hypothetical2 Wuhan mosquito virus 6 (Orthomyxo)	hypothetical3 Wuhan mosquito virus 6 (Orthomyxo)	PB1 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	PB2 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	PA Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	NP Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	gp64 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	hypothetical Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	hypothetical2 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	hypothetical3 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	PB1 Astopletus virus (Orthomyxo)	PB2 Astopletus virus (Orthomyxo)	PA Astopletus virus (Orthomyxo)	NP Astopletus virus (Orthomyxo)	gp64 Astopletus virus (Orthomyxo)	hypothetical Astopletus virus (Orthomyxo)	hypothetical2 Astopletus virus (Orthomyxo)	hypothetical3 Astopletus virus (Orthomyxo)	RNA1 Netjeret virus (Partiti)	RNA2 Netjeret virus (Partiti)	RNA1 Nefer virus (Partiti)	RNA2 Nefer virus (Partiti)	Chaq_RNA3 Nefer virus (Partiti)	RNA1 Nebet virus (Partiti)	RNA2 Nebet virus (Partiti)	L Culex bunyavirus 2 (Peribunya)	NP Culex bunyavirus 2 (Peribunya)	GP Culex bunyavirus 2 (Peribunya)	L 61|Peribunya-like (Peribunya)	NP 61|Peribunya-like (Peribunya)	GP 61|Peribunya-like (Peribunya)	L 6823|Peribunya-like (Peribunya)	L Barstukas virus (Phasma)	NP Barstukas virus (Phasma)	GP Barstukas virus (Phasma)	L 76|Phasma-like (Phasma)	NP 76|Phasma-like (Phasma)	GP 76|Phasma-like (Phasma)	L 63|Phenui-like (Phenui)	NP 63|Phenui-like (Phenui)	GP 63|Phenui-like (Phenui)	RNA2 296|Reo-like (Reo)	RNA1 296|Reo-like (Reo)	RNA3 296|Reo-like (Reo)	RNA4 296|Reo-like (Reo)	RNA5 296|Reo-like (Reo)	RNA6 296|Reo-like (Reo)	RNA7 296|Reo-like (Reo)	RNA8 296|Reo-like (Reo)	VP1 246|Reo-like (Reo)	RNA1 Lobuck virus (Reo)	RNA2 Lobuck virus (Reo)	RNA3 Lobuck virus (Reo)	RNA4 Lobuck virus (Reo)	RNA5 Lobuck virus (Reo)	RNA6 Lobuck virus (Reo)	RNA7 Lobuck virus (Reo)	RNA8 Lobuck virus (Reo)	RNA9 Lobuck virus (Reo)	RNA10 Lobuck virus (Reo)	genome Merida virus (Rhabdo)	genome 4|Rhabdo-like (Rhabdo)	genome 2|Rhabdo-like (Rhabdo)	genome 30|Rhabdo-like (Rhabdo)	RNA1 Marma virus (Solemo)	RNA2 Marma virus (Solemo)	RNA1 Culex mosquito virus 6 (Solemo)	RNA2 Culex mosquito virus 6 (Solemo)	RNA1 Guadeloupe mosquito virus (Solemo)	RNA2 Guadeloupe mosquito virus (Solemo)	RNA1 Wenzhou sobemo-like virus 4 (Solemo)	RNA2 Wenzhou sobemo-like virus 4 (Solemo)	RNA1 Kellev virus (Solemo)	RNA2 Kellev virus (Solemo)	genome Hubei mosquito virus 4 (Tombus)	genome 88|Tombus-like (Tombus)	RNA1 Erebo virus (Tombus)	RNA2 Erebo virus (Tombus)	genome 55|Toti-like (Toti)	genome 56|Toti-like (Toti)	genome 57|Toti-like (Toti)	genome 42|Toti-like (Toti)	genome 39|Toti-like (Toti)	RNA1 Aedes aegypti totivirus (Toti)	RNA2 Aedes aegypti totivirus (Toti)	genome 49|Toti-like (Toti)	RNA1 6512|Toti-like (Toti)	RNA2 6512|Toti-like (Toti)	genome 1715|Toti-like (Toti)	genome 19890|Toti-like (Toti)	genome 22872|Toti-like (Toti)	genome 2923|Toti-like (Toti)	genome 5308|Toti-like (Toti)	genome Totivirus-like Culex mosquito virus 1 (Toti)	genome Guadeloupe Culex tymo-like virus (Tymo)	genome Hubei virga-like virus 2 (Virga)	genome Culex pipiens-associated Tunisia virus (Virga)	genome Gordis virus (Xinmo)	genome Aedes anphevirus (Xinmo)
CMS002_038a_Rb_S172_L004																								0.01316999245436157			0.04295624163797422	0.021375081638735124		0.0	0.0																																									0.0	0.0	0.0																																	0.11186250451787175				0.3073674599098328	0.11689081651416867									0.11391694725028058																								
CMS001_047_Ra_S4																									0.0060765590434319955					0.03377110694183865	0.05211279437708269																																																																																										0.2887905687323234																								
CMS001_026_Ra_S18																										0.012532133676092546																																																																																																																							
CMS002_035a_Rb_S169_L004																											0.0007412680101126629	0.0004172700719177242																																												0.06238678481136938	0.06452713482732382	0.00934930414079183																																	0.35482683292015416				0.3383078471318819	0.09231977614687907																																	
CMS002_032a_Rb_S166_L004																											0.0	1.8057255947157247e-05																																																																																	0.321444436017725		0.46642614401745053	0.19385547694630134																																	
CMS002_040a_Rb_S174_L004																											0.04450987905241062	0.023664745277046612																																												0.0	0.0	0.0																																	0.07068603605104455				0.5089794422416952	0.20256638789857728															0.001366074700962916																		
CMS002_031a_Rb_S165_L004																											0.00017154651954246885	7.193886303393855e-05		0.0	0.0																																																																												0.17908903264364254				0.5727606262001339	0.22304921171607392															0.0003209580043052643					0.0002656204173560808													
CMS002_041a_Rb_S176_L004																											0.029737920885743317	0.015390140499632108																																																																															0.20814792754283312				0.4157965733506184	0.1689762096632914																																	
CMS002_029e_Rb_S164_L004																											0.033678844984387064	0.01523029934473499													0.006627810840912042	0.0040313488619980456	0.007632231659070877	0.016808674916127444	0.0029927640704324474	0.0023231501916598906	0.0009019288979385459	0.0028356097927613373																								0.056391054505203174	0.06682473198362862	0.0																																					0.4877112187655873	0.16263417900555507														0.00011615750958299454																0.1319412652969191			
CMS001_035_Ra_S20																														0.017966875614775668	0.020866983416029355																																																			0.0045733865201247155	0.014210165258958938	0.0008674915700871485				0.000994530084535057	0.0006170442130326997	0.00120142137949308	0.0014300907054993158	0.0010453454903142207	0.0	0.0	0.00023592866968897343																		0.012881705365017948	0.006322888347664488							5.444507762053233e-05				0.00015244621733749052			0.0004936353704261598														0.028086400708511945			
CMS001_022_Ra_S6																														0.015014478246880921	0.03583812962499553																																																																																											0.002466664283416151						0.0036106245307975546														0.032906731491080685			
CMS001_045_Ra_S2																														0.01590735841442088	0.014819963230348414																																																																																										0.8757006412268508							0.0018272723196269226														0.024415945473297163			
CMS001_011_Ra_S4																														0.10399970724924068	0.12856637513570218																																																			0.029860577450872762	0.061526451250899596	0.006464912601700394	0.04608384869664922	0.023883582781376173	0.032361156853417256																																									0.017430868127980875																	
CMS001_019_Ra_S14																														0.1481713350970374	0.22753801724660216																																																			0.035624129086980226	0.024981319546822305	0.089787345760042	0.12880424904578225	0.0	0.11093159924874285																																		0.06967304158167902				0.003332188945210736			0.0009087788032392915														0.05268897550336248			
CMS001_037_Ra_S21																														0.09806376474013685	0.09983986024166545																																																			0.0644052991701849	0.21266559906827778	0.022361333527442132																																									0.002445770854563983			0.005706798660649293														0.2586693841898384			
CMS001_018_Ra_S14																														0.06512345679012346	0.04104938271604938																																																			0.009027777777777779	0.029861111111111113	0.0020833333333333333																													0.012345679012345678	0.008063271604938272							0.013271604938271606				0.00783179012345679			0.01404320987654321														0.06215277777777778			
CMS001_023_Ra_S17																														0.3570568400770713	0.39960661528580604																																																																																																															0.1408558124598587			
CMS001_058_Ra_S9																														0.19420983006003867	0.04446931922255012																																																																																										0.08995624300396866		0.0	0.0015264068383026355	0.014246463824157932			0.057138495980461994														0.22275363793629796			
CMS001_048_Ra_S5																														0.05516335577080939	0.09949105237235265																																																						0.09237673069556175	0.03830788595195097	0.06446669950199749																					0.03885514146555026					0.04126306572538718	0.025119028074207846														0.004432769660154327														0.05242707820281289			
CMS001_052_Ra_S7																														0.24656543745480838	0.3049730858841488																																																																																												0.0	0.0009640877319836105	0.010604965051819716			0.001606812886639351														0.33156583915803006			
CMS001_041_Ra_S10																														0.056171031441510574	0.036845689086801914																																									0.0791171733984717	0.06389900671198971	0.05145858778007155																																																																							
CMS001_030_Ra_S7																														0.10431293881644935	0.13201270478100968																																									0.12455700434637246	0.17183216315613506	0.05595118689401538																																																																							
CMS001_004_Ra_S2																														0.14473239583062567	0.20199630890800863																																																																																																																		
CMS001_054_Ra_S11																														0.0340700076402841	0.028467132629672598																																																																																																																		
CMS001_040_Ra_S21																														0.22758922159427983	0.17282293065226215																																												0.04961438786024292	0.10378742935648047	0.1087207668529678																																		0.24248290504886502	0.07556124519936304																																	
CMS001_038_Ra_S22																														0.03254459410265744	0.007207863123407354										0.02769081422157505	0.019439388423734983	0.023273874529790073	0.03515350078873923	0.011697609513408567	0.01470695303967965	0.0025482344375682563	0.008566921490110423																								0.08370343404926586	0.06278364276180075	0.018735590340978037																																					0.22846741900254824	0.09530396796505279														0.0002669578934595316														0.021162480281519232					
CMS001_034_Ra_S19																														0.1866828124281488	0.14814758043501586										0.016983706065390333	0.013994696423918209	0.01607933904566287	0.019482211560569597	0.006621805974953632	0.010760434709299651	0.0010116648017290271	0.0049970109903585275																								0.060929811922316404	0.07227272030533884	0.042214013090329405																																					0.2088781250479008	0.08970094575330707														0.00013795429114486733																0.09547969772681984			
CMS001_036_Ra_S20																														0.05013064451293046	0.03952833980972799										0.017586761356023047	0.016313814819777568	0.016481307785073028	0.027535843494573227	0.007369690473000134	0.014923623207825271	0.00529277770333646	0.00884362856760016																								0.046027066863191746	0.05905801956317835	0.022326812273884496																																					0.31828688195095806	0.1475780517218277														0.0009714591987136541																			
CMS001_042_Ra_S23																														0.15896739130434784	0.06441915760869565										0.040098505434782605	0.02890625	0.035190217391304346	0.043885869565217395	0.01336616847826087	0.01744225543478261	0.0022418478260869566	0.009103260869565217																								0.10132472826086956	0.0981148097826087	0.015557065217391305																																					0.23067255434782608	0.09184782608695652																																	
CMS001_028_Ra_S17																														0.03295237248187842	0.03286343220527416										0.03635433806199137	0.032018499577533686	0.03766620714190421	0.061746787032507675	0.014408324809890159	0.02548138924712056	0.005958998532485436	0.023057766709654468																								0.0829145728643216	0.09151954462578378	0.0040467825854938405																																					0.24700938319918175	0.08685018010406012														0.0010228131809489928																			
CMS002_001a_Rb_S116_L004																														0.19877509356924125	0.3521197686287853																																																																																																																		
CMS002_028e_Rb_S158_L004																														0.08555208134472347	0.06029681334344088																																																			0.010323781209976813	0.030448667453770034	0.0036550263098876616																																					0.7588664970131466																						0.011636032035230599		
CMS002_028d_Rb_S157_L004																														0.3592000635230328	0.3457694794514332																																																			0.043842236010753544	0.10101296550472452	0.010912349558174621																																																											0.11932121102124618		
CMS002_047j_Rb_S3_L004																														0.4611146429328247	0.4050238805483561																																																			0.0	9.780429360848941e-05	0.0																													0.0	0.00016300715601414903														0.0005542243304481067															0.09247395960682674		
CMS002_047f_Rb_S198_L004																														0.08914054457027229	0.11782455891227946																																																			0.10594980297490149	0.11093755546877773	0.09709254854627428																																																										0.1819908409954205	0.22746636373318185		
CMS002_047a_Rb_S193_L004																														0.12331195474644464	0.1002868183085687																																																																													0.11408994940843724					0.21306218380273273	0.11910926980838944							0.0064135760666055855																						0.2363462534358443		
CMS002_028a_Rb_S154_L004																														0.0	0.0																																																																																										0.613449061897247																					0.30898942077269276			
CMS002_027b_Rb_S153_L004																														0.32483955049548774	0.24197137728379275																																									0.07137236580028032	0.0	0.0																																																																							
CMS002_046b_Rb_S192_L004																														0.4091195807758558	0.2745699798636551																																									0.0	0.0	0.0																																																																							
CMS002_046a_Rb_S191_L004																														0.28927917363865135	0.2524539190239661																																									0.0	0.0	0.0																																																																							
CMS002_027a_Rb_S152_L004																														0.4792157522719623	0.27330865028609896																																																																																																																		
CMS002_029d_Rb_S162_L004																														0.1838541249899976	0.14343442426182285										0.008962150916219892	0.006511562775066016	0.008407017684244218	0.018299391854044972	0.0050812194926782425	0.004626110266463952	0.0020154837160918622	0.0037058894134592304																								0.07618828518844523	0.05735876610386493	0.0015103624869968794																																					0.1403136752820677	0.03343302392574218															4.501080259262223e-05					0.0020254861166680003										0.10081919660718572			
CMS002_029c_Rb_S161_L004																														0.07925237156006387	0.05381797689489997										0.01181553489245797	0.008528223912839297	0.014022729407344793	0.018296233680849067	0.007288438057668827	0.0055038978115901195	0.0038508500046961587	0.006236498544190852																								0.09821545975392129	0.08167558936789707	0.02898469052315206																																					0.36780313703390627	0.10065746219592374									0.021940452709683478					0.005146989762374377																			
CMS001_009_Ra_S13																																0.0008608444884431627																																																																																																											0.0012338771001018667						
CMS002_044d_Rb_S181_L004																																	0.01568334578043316	0.038088125466766244	0.04630321135175504	0.08028379387602688	0.02912621359223301	0.0268857356235997	0.06161314413741598	0.041075429424943986																																							0.27968633308439134	0.21807318894697536	0.12173263629574309																										0.0037341299477221808				0.0	0.0																																	
CMS002_044e_Rb_S182_L004																																	0.007963594994311717	0.015927189988623434	0.02844141069397042	0.10238907849829351	0.020477815699658702	0.012514220705346985	0.09556313993174062	0.08646188850967008																																							0.24004550625711035	0.16609783845278725	0.12514220705346984																										0.02957906712172924				0.0	0.0																																	
CMS002_045e_Rb_S188_L004																																	0.0013324756478588495	0.0021595294982539974	0.0023525087300128654	0.003859584635177357	0.0020216871898548062	0.001350854622312075	0.0024535930895056056	0.0013324756478588495																									0.00022973718066531887	0.0003446057709979783													0.07992097040985113	0.008762176070575263	0.018939533174048888																																				0.6125620290387797	0.2097270722293696																											
CMS002_045d_Rb_S186_L004																																	0.0019554034686191076	0.002733120757274434	0.0034330663170642284	0.005927316764251669	0.004960725276922906	0.0028053373626495716	0.00435521681646983	0.0012554579088293132																									0.0002110946926350173	0.0													0.06101192129501039	0.037924828068927975	0.00594953725821325																																				0.6086137744842068	0.2551857077782839																											
