Tube ID# ,Trap Type,Latitude,Longitude,Date collected,Sample_type ,Species,Mosquito_number,Blood Fed?,Notes
Pilot18-020,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX13 B818; homgenate, white; wild-caught"
Pilot18-021,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX13 B852; homgenate, white; wild-caught"
Pilot18-022,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX13 B853; homgenate, white; wild-caught"
Pilot18-023,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX13 B808; homgenate, white; wild-caught"
Pilot18-024,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX13 B883; homgenate, white; wild-caught"
Pilot18-025,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX13 B894; homogenate, red; wild-caught"
Pilot18-026,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX13 B885; homgenate, white; wild-caught"
Pilot18-027,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX13 B874; homogenate, red; wild-caught"
Pilot18-028,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX13 B873; homogenate, red; wild-caught"
Pilot18-029,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX18 B001; homogenate, red; wild-caught"
Pilot18-030,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX18 B002; homogenate, red; wild-caught"
Pilot18-031,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX18 B003; homogenate, red; wild-caught"
Pilot18-032,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX18 B004; homogenate, red; wild-caught"
Pilot18-033,,,,5/4/18,whole,Culex quinquefasciatus,1,y,"TX13 B145; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-034,,,,5/4/18,whole,Aedes vexans,1,N,"TX13 B146; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-035,,,,5/4/18,whole,Anopheles species,1,N,"TX13 B540; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-036,,,,5/4/18,whole,Culex quinquefasciatus,1,N,"TX13 B290; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-037,,,,5/4/18,whole,Aedes aegypti,1,N,"TX13 B189; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-038,,,,5/4/18,whole,Psorophora columbiae,1,N,"TX13 B183; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-039,,,,5/4/18,whole,Psorophora columbiae,1,N,"TX13 B695; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-040,,,,5/4/18,whole,Psorophora columbiae,1,N,"TX13 B068; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-041,,,,5/4/18,whole,Aedes vexans,1,N,"TX13 B147; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-042,,,,5/4/18,whole,Anopheles species,1,N,"TX13 B157; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-043,,,,5/4/18,whole,Culiseta species,1,N,"TX13 B229; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-044,,,,5/4/18,whole,Culex quinquefasciatus,1,N,"TX18 B005; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-045,,,,5/4/18,whole,Culex quinquefasciatus,1,N,"TX18 B006; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-046,,,,5/4/18,whole,Culex quinquefasciatus,1,N,"TX18 B007; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-047,,,,5/4/18,whole,Culex quinquefasciatus,1,N,"TX18 B008; frozen, 1 whole mosquito, kimwipe; wild-caught"
Pilot18-048,,,,5/4/18,abdomen,Anopheles gambiae,1,Y,"mystery virus; homogenate, red; lab"
Pilot18-049,,,,5/4/18,abdomen,Anopheles gambiae,1,Y,"mystery virus; homogenate, red; lab"
Pilot18-050,,,,5/4/18,abdomen,Anopheles gambiae,1,Y,"mystery virus; homogenate, red; lab"
Pilot18-051,,,,5/4/18,abdomen,Anopheles gambiae,1,Y,"mystery virus; homogenate, red; lab"
Pilot18-052,,,,5/4/18,abdomen,Anopheles gambiae,1,Y,"mystery virus; homogenate, red; lab"
Pilot18-053,,,,5/4/18,whole,Anopheles gambiae,1,N,"Non infected; frozen, 1 whole mosquito, kimwipe; lab"
Pilot18-054,,,,5/4/18,whole,Anopheles gambiae,1,N,"Non infected; frozen, 1 whole mosquito, kimwipe; lab"
Pilot18-055,,,,5/4/18,whole,Anopheles gambiae,1,N,"Non infected; frozen, 1 whole mosquito, kimwipe; lab"
Pilot18-056,,,,5/4/18,whole,Anopheles gambiae,1,N,"Non infected; frozen, 1 whole mosquito, kimwipe; lab"
Pilot18-057,,,,5/4/18,whole,Anopheles gambiae,1,N,"Non infected; frozen, 1 whole mosquito, kimwipe; lab"
Pilot18-058,,,,5/4/18,homegenate,Aedes aegypti,11,N,"Spiked with mystery virus; homogenate, white; lab"
Pilot18-059,,,,5/4/18,whole,Aedes aegypti,11,N,"Spiked with mystery virus; frozen, many mosquitoes, kimwipe; lab"
Pilot18-060,,,,5/4/18,homegenate,Anopheles gambiae,11,N,"Spiked with mystery virus; homogenate, white; lab"
Pilot18-061,,,,5/4/18,whole,Anopheles gambiae,11,N,"Spiked with mystery virus; frozen, many mosquitoes, kimwipe; lab"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
