,cluster,kingdom
6219,1467,Eukaryota
3061,1470,Bacteria
6542,1476,Eukaryota
5990,1479,Viruses
1449,1484,Bacteria
5666,1503,Eukaryota
715,1513,Viruses
5505,1514,Viruses
3724,1522,Viruses
5721,1525,Viruses
6123,1527,Eukaryota
2349,1543,Viruses
5211,1547,Eukaryota
251,1550,Eukaryota
1807,1552,Eukaryota
6548,1555,Eukaryota
3306,1559,Eukaryota
3565,1562,Eukaryota
6090,1569,Bacteria
65,1574,Eukaryota
1972,1576,Eukaryota
1546,1578,Eukaryota
6630,1581,Eukaryota
5908,1585,
3806,1607,Eukaryota
5270,1610,Viruses
3277,1611,Eukaryota
2134,1613,Viruses
2768,1621,Viruses
4575,1628,Eukaryota
2701,1631,Viruses
740,1633,Eukaryota
3904,1643,Eukaryota
4780,1648,Viruses
5668,1658,Eukaryota
3993,1674,Eukaryota
5885,1677,Eukaryota
6755,1679,Eukaryota
4419,1680,Eukaryota
4650,1683,Eukaryota
289,1688,
535,1689,Eukaryota
5529,1690,Eukaryota
3786,1696,Eukaryota
3667,1702,Eukaryota
5535,1711,Eukaryota
4766,1728,Eukaryota
2981,1730,Eukaryota
1421,1733,Eukaryota
2603,1737,Eukaryota
5428,1745,Viruses
4320,1747,Eukaryota
6893,1752,Eukaryota
4459,1766,Viruses
3000,1773,
5550,1779,Bacteria
6096,1780,Eukaryota
901,1781,Bacteria
496,1787,Eukaryota
2356,1790,Eukaryota
5352,1791,Viruses
1062,1802,Eukaryota
1839,1803,Eukaryota
3213,1807,Eukaryota
1233,1809,Eukaryota
2845,1813,Viruses
4445,1819,Eukaryota
3007,1822,Eukaryota
247,1830,Eukaryota
1618,1832,Eukaryota
5407,1835,Eukaryota
649,1836,Bacteria
2035,1838,Eukaryota
4358,1842,Eukaryota
2391,1843,Eukaryota
517,1845,Bacteria
733,1846,Eukaryota
4960,1854,Eukaryota
2243,1857,Bacteria
1566,1859,Eukaryota
2764,1868,Eukaryota
588,1875,Eukaryota
4952,1878,Eukaryota
1091,1885,Eukaryota
4110,1895,Bacteria
2008,1897,Viruses
548,1900,Eukaryota
604,1910,Bacteria
5182,1911,Eukaryota
2119,1931,Eukaryota
2271,1933,Bacteria
5673,1957,Eukaryota
2415,1958,Bacteria
4100,1970,Eukaryota
3658,1981,Bacteria
1374,1985,Eukaryota
5641,1990,Eukaryota
2796,1993,Eukaryota
5287,2000,Eukaryota
3965,2017,Eukaryota
4264,2018,Eukaryota
2517,2021,Eukaryota
4812,2028,Eukaryota
4123,2030,Eukaryota
815,2032,
4698,2034,Eukaryota
5838,2042,Eukaryota
841,2052,Viruses
4712,2054,Viruses
345,2061,
6851,2065,Eukaryota
4193,2075,Eukaryota
5634,2076,Bacteria
4341,2082,Bacteria
3983,2086,Eukaryota
4944,2089,Eukaryota
6701,2093,
6728,2097,Eukaryota
866,2098,Bacteria
142,2101,Eukaryota
3454,2107,Eukaryota
3316,2109,Eukaryota
6679,2113,Bacteria
5945,2114,Eukaryota
2787,2116,Eukaryota
1859,2118,Viruses
3750,2120,Eukaryota
3836,2123,Eukaryota
1489,2132,Eukaryota
966,2133,Eukaryota
6702,2137,Eukaryota
388,2139,Eukaryota
1095,2152,Eukaryota
2657,2154,Eukaryota
4284,2161,Eukaryota
5234,2170,Eukaryota
1217,2177,Eukaryota
1933,2185,Bacteria
4033,2198,Eukaryota
2283,2203,Eukaryota
560,2226,Viruses
1204,2234,Bacteria
693,2236,Eukaryota
6844,2253,Eukaryota
2509,2255,Bacteria
4492,2258,Eukaryota
5891,2278,Eukaryota
1246,2279,Eukaryota
3073,2288,Eukaryota
1992,2309,Eukaryota
1325,2317,Eukaryota
6048,2329,Eukaryota
4270,2330,Eukaryota
5609,2340,Bacteria
261,2343,Bacteria
6727,2363,Eukaryota
3526,2368,Eukaryota
4859,2370,Eukaryota
564,2378,Eukaryota
1392,2388,Eukaryota
4467,2400,
5868,2402,Eukaryota
4453,2405,Eukaryota
1211,2428,Eukaryota
2209,2440,Eukaryota
3594,2446,Eukaryota
6768,2454,
717,2456,Eukaryota
1831,2457,Eukaryota
4811,2461,Eukaryota
1762,2476,Eukaryota
4101,2479,Bacteria
2469,2481,
3146,2484,Eukaryota
6136,2490,Eukaryota
1282,2492,Bacteria
2350,2495,Eukaryota
4143,2512,Bacteria
1154,2515,
5906,2516,Eukaryota
5917,2523,Bacteria
1800,2530,Bacteria
1699,2533,
2635,2551,Eukaryota
3704,2555,Eukaryota
5303,2557,Eukaryota
3979,2558,Eukaryota
4279,2561,Eukaryota
75,2567,Eukaryota
1578,2570,Bacteria
5336,2573,Eukaryota
5967,2576,Eukaryota
3901,2578,Bacteria
6431,2589,Bacteria
2589,2592,Eukaryota
440,2603,Eukaryota
985,2609,Eukaryota
1043,2612,Viruses
5082,2622,Bacteria
5897,2626,Eukaryota
2045,2628,Eukaryota
1322,2638,Eukaryota
2135,2640,
4621,2644,Eukaryota
3459,2668,Eukaryota
4408,2671,Eukaryota
2704,2679,Bacteria
1845,2685,Viruses
1296,2691,Bacteria
2486,2693,Viruses
4535,2694,Bacteria
6372,2703,Eukaryota
3088,2722,Eukaryota
952,2726,Eukaryota
4269,2731,Eukaryota
4964,2737,Eukaryota
5027,2738,Eukaryota
5811,2740,Eukaryota
5164,2743,Eukaryota
6213,2747,Bacteria
4604,2769,Eukaryota
3367,2771,Eukaryota
5526,2795,Bacteria
3094,2800,Eukaryota
550,2806,Bacteria
1900,2822,Viruses
2956,2832,Eukaryota
5889,2845,Eukaryota
6834,2846,Bacteria
1728,2847,Eukaryota
1682,2852,Eukaryota
2808,2853,Viruses
3659,2855,Eukaryota
2833,2859,Eukaryota
4249,2867,
1901,2869,Eukaryota
2929,2875,Eukaryota
1396,2878,Eukaryota
3686,2881,Viruses
2398,2884,Bacteria
348,2896,Bacteria
6020,2909,Eukaryota
6852,2923,Viruses
2684,2925,Eukaryota
1876,2931,Eukaryota
4394,2949,Bacteria
4461,2957,Eukaryota
728,2959,Eukaryota
2268,2961,Eukaryota
727,2963,Eukaryota
1674,2964,Eukaryota
6492,2966,Eukaryota
6111,2985,Eukaryota
6709,2996,Eukaryota
6095,3005,Bacteria
3564,3007,Eukaryota
3496,3008,Eukaryota
3090,3037,Eukaryota
5226,3053,Eukaryota
6656,3057,Bacteria
2241,3061,Viruses
3679,3071,Eukaryota
4869,3091,Viruses
3998,3102,Eukaryota
189,3105,Viruses
4152,3106,Eukaryota
4566,3110,Viruses
3002,3115,Bacteria
480,3116,Eukaryota
1499,3157,Eukaryota
5166,3164,Eukaryota
4331,3165,Eukaryota
1893,3167,
4634,3169,Eukaryota
3917,3171,Eukaryota
5685,3176,Eukaryota
5097,3180,Viruses
5165,3182,Eukaryota
1904,3183,Eukaryota
4711,3193,Bacteria
6536,3198,Eukaryota
4162,3213,Eukaryota
2839,3217,
3194,3219,Bacteria
2724,3225,Eukaryota
4012,3248,Eukaryota
2438,3256,Viruses
3890,3258,Bacteria
5157,3270,Eukaryota
3368,3271,Eukaryota
6484,3277,Eukaryota
4380,3291,Eukaryota
5556,3298,Eukaryota
6716,3304,Eukaryota
781,3307,Eukaryota
4982,3311,Bacteria
1757,3315,Eukaryota
1774,3316,Eukaryota
3167,3320,Eukaryota
6621,3324,Viruses
420,3330,Eukaryota
5290,3331,Eukaryota
3252,3349,Eukaryota
2441,3368,Eukaryota
2143,3390,Eukaryota
1767,3392,Eukaryota
3321,3394,Bacteria
4736,3398,
5701,3405,Eukaryota
3468,3413,
4696,3421,Eukaryota
5522,3434,Eukaryota
3015,3436,Eukaryota
5680,3437,Bacteria
957,3440,Bacteria
520,3451,Bacteria
1078,3452,Eukaryota
3741,3453,Bacteria
3656,3468,Eukaryota
5872,3477,Bacteria
3485,3484,Eukaryota
5255,3487,Eukaryota
53,3489,Bacteria
5589,3523,Eukaryota
5109,3528,Eukaryota
5900,3529,Eukaryota
3720,3534,Eukaryota
4280,3538,Eukaryota
3218,3541,Viruses
5610,3561,Eukaryota
3824,3569,Eukaryota
4034,3571,Bacteria
1452,3573,Eukaryota
4980,3576,Eukaryota
5134,3598,Eukaryota
1156,3601,Bacteria
3276,3608,Eukaryota
5534,3611,Viruses
3880,3615,Eukaryota
818,3619,Eukaryota
3536,3621,Bacteria
5151,3623,Eukaryota
183,3625,Eukaryota
402,3630,
6569,3632,Eukaryota
336,3638,Eukaryota
2318,3670,Viruses
3939,3676,Bacteria
2880,3691,Bacteria
1210,3695,Bacteria
737,3697,Eukaryota
4229,3699,Eukaryota
4507,3701,Eukaryota
5559,3702,Eukaryota
2071,3736,Eukaryota
4021,3743,Eukaryota
4171,3751,Eukaryota
3889,3757,Bacteria
290,3761,Viruses
4929,3777,Eukaryota
5826,3778,Eukaryota
1663,3779,Eukaryota
4211,3794,Bacteria
2180,3799,Eukaryota
4807,3803,Viruses
3038,3808,Eukaryota
6741,3811,Bacteria
6091,3813,Eukaryota
6146,3819,Eukaryota
3429,3834,Eukaryota
2367,3857,
6650,3872,Eukaryota
2173,3877,Eukaryota
3269,3895,Eukaryota
3160,3898,Eukaryota
4455,3900,Eukaryota
5841,3901,Eukaryota
4941,3918,
6848,3939,Eukaryota
4305,3950,Eukaryota
1330,3967,Eukaryota
4734,3973,Eukaryota
1564,3977,Bacteria
6355,3980,Eukaryota
3652,3982,Eukaryota
865,3992,Bacteria
641,4007,Eukaryota
549,4015,Bacteria
2761,4029,Bacteria
859,4035,Viruses
703,4036,Eukaryota
2275,4041,Eukaryota
1069,4043,Eukaryota
2382,4054,Viruses
5896,4061,Eukaryota
1575,4062,Bacteria
732,4070,Eukaryota
5542,4073,Eukaryota
2421,4081,Eukaryota
151,4089,Eukaryota
3175,4090,Eukaryota
2069,4094,
4649,4114,Eukaryota
1967,4124,Eukaryota
6595,4126,Viruses
6694,4130,Eukaryota
2005,4133,Eukaryota
1321,4140,
6651,4148,Eukaryota
763,4153,Eukaryota
3532,4160,Eukaryota
6436,4164,Bacteria
2090,4165,Viruses
978,4169,Eukaryota
5734,4184,Eukaryota
5635,4203,Bacteria
3976,4217,Eukaryota
1395,4231,Viruses
1978,4251,Eukaryota
5401,4262,Archaea
3123,4269,Viruses
3310,4278,Eukaryota
5752,4307,Eukaryota
1075,4311,Viruses
5044,4313,Eukaryota
501,4315,Bacteria
5153,4318,Bacteria
2088,4320,Eukaryota
1911,4328,Eukaryota
5155,4334,Bacteria
723,4345,Bacteria
3829,4347,Eukaryota
689,4352,Eukaryota
5825,4353,
4375,4355,Eukaryota
152,4357,Eukaryota
5481,4360,Eukaryota
5703,4382,Bacteria
3898,4384,Eukaryota
893,4388,Bacteria
593,4393,Eukaryota
5960,4397,Eukaryota
3444,4420,Eukaryota
2286,4425,Eukaryota
1976,4428,Eukaryota
637,4430,
4703,4435,Viruses
3609,4438,Eukaryota
3107,4441,Eukaryota
1167,4449,Bacteria
4092,4462,Eukaryota
29,4473,Eukaryota
2111,4475,
6115,4477,Eukaryota
462,4478,Eukaryota
1074,4480,Eukaryota
5430,4485,Eukaryota
2059,4489,Eukaryota
6453,4491,Eukaryota
6212,4494,Eukaryota
3220,4513,Viruses
6526,4516,Eukaryota
1705,4517,Eukaryota
1863,4524,Bacteria
2532,4533,Eukaryota
2100,4535,Bacteria
3630,4543,Eukaryota
4922,4553,Viruses
6494,4558,Eukaryota
4579,4559,Viruses
6389,4563,Eukaryota
2706,4564,Eukaryota
1150,4565,Bacteria
1336,4575,Eukaryota
3501,4577,Eukaryota
135,4612,Eukaryota
6803,4618,Eukaryota
3156,4626,Eukaryota
5804,4629,Eukaryota
1836,4660,Eukaryota
4136,4663,Eukaryota
3343,4665,Eukaryota
344,4675,Eukaryota
4920,4685,Eukaryota
6109,4691,
1953,4707,Eukaryota
3896,4712,Eukaryota
6746,4713,Eukaryota
5119,4715,Bacteria
4487,4726,Eukaryota
6170,4732,
1760,4742,Eukaryota
669,4744,Eukaryota
2410,4745,Eukaryota
1641,4748,Eukaryota
3335,4751,Viruses
5995,4767,Eukaryota
5630,4768,Eukaryota
3476,4778,Eukaryota
4545,4782,Eukaryota
4047,4785,Eukaryota
776,4795,Bacteria
5704,4804,Eukaryota
321,4814,Eukaryota
1194,4820,Eukaryota
3869,4825,Eukaryota
3712,4827,Eukaryota
6230,4835,Eukaryota
4613,4836,Eukaryota
190,4844,Eukaryota
5757,4858,Eukaryota
2601,4859,Bacteria
5941,4861,Eukaryota
5554,4875,Bacteria
6033,4889,
5441,4894,Eukaryota
5429,4902,Eukaryota
3225,4903,Eukaryota
2151,4908,Eukaryota
2949,4910,Bacteria
1719,4912,Eukaryota
3063,4924,
287,4931,Eukaryota
2690,4936,
338,4947,Eukaryota
4821,4954,Eukaryota
5636,4957,Eukaryota
6164,4959,Eukaryota
2436,4965,Eukaryota
4726,4973,Eukaryota
493,4977,Eukaryota
5661,4980,Eukaryota
5411,4995,Eukaryota
3709,4998,Eukaryota
4722,4999,Viruses
851,5023,Eukaryota
6374,5024,Viruses
1257,5035,
5723,5036,Bacteria
6744,5059,Eukaryota
103,5071,Bacteria
35,5076,Eukaryota
3617,5080,Eukaryota
6134,5087,Eukaryota
4407,5105,Eukaryota
4329,5112,Eukaryota
6597,5122,Eukaryota
2733,5144,Eukaryota
2664,5155,Eukaryota
2672,5182,Eukaryota
3411,5187,Eukaryota
5135,5189,Eukaryota
6122,5211,Eukaryota
5216,5214,Eukaryota
4363,5222,Eukaryota
656,5223,Viruses
6312,5225,Eukaryota
6667,5227,Eukaryota
2225,5240,Eukaryota
4005,5252,Bacteria
23,5264,Eukaryota
1572,5272,Eukaryota
2272,5279,Eukaryota
1148,5285,Eukaryota
2013,5289,
1833,5291,Eukaryota
325,5296,Eukaryota
6268,5305,Viruses
3856,5308,Viruses
596,5326,Eukaryota
5281,5335,Eukaryota
5512,5341,Bacteria
6292,5354,Eukaryota
4784,5369,
2424,5384,Viruses
413,5385,Eukaryota
3484,5390,Eukaryota
1292,5397,Eukaryota
5377,5408,Eukaryota
6538,5413,Bacteria
5131,5427,Eukaryota
4895,5442,Eukaryota
3840,5456,Bacteria
4056,5458,Eukaryota
13,5465,Eukaryota
3711,5469,Eukaryota
145,5472,Eukaryota
3161,5474,Eukaryota
3332,5478,Bacteria
2743,5482,Viruses
1412,5483,Eukaryota
6791,5487,Bacteria
3262,5488,Eukaryota
5177,5499,Viruses
2112,5504,Viruses
5080,5508,Bacteria
4090,5526,Bacteria
292,5558,Eukaryota
4657,5576,Eukaryota
1881,5578,Eukaryota
1617,5589,Eukaryota
1184,5592,Eukaryota
2158,5627,Eukaryota
902,5629,Bacteria
4795,5633,Viruses
4829,5636,Eukaryota
2739,5641,Eukaryota
1104,5642,
5061,5654,Eukaryota
3933,5655,Eukaryota
3737,5668,Bacteria
5606,5673,Eukaryota
2336,5674,Eukaryota
4099,5677,Eukaryota
1944,5686,Bacteria
4404,5688,Eukaryota
2501,5689,Eukaryota
1397,5697,Viruses
3929,5708,Eukaryota
1736,5712,Viruses
854,5734,Eukaryota
1457,5757,Bacteria
4765,5761,Eukaryota
5094,5765,Eukaryota
1380,5769,Eukaryota
4955,5788,Bacteria
1461,5794,Bacteria
557,5825,Eukaryota
1351,5829,Eukaryota
5249,5842,Bacteria
1124,5844,Eukaryota
819,5846,Eukaryota
686,5852,Eukaryota
6423,5884,
6367,5893,Eukaryota
6835,5894,Eukaryota
1157,5897,Eukaryota
5243,5905,Eukaryota
801,5909,
4892,5922,Eukaryota
3072,5927,Eukaryota
2813,5932,Eukaryota
2940,5945,Eukaryota
4147,5956,Eukaryota
642,5973,Eukaryota
6543,5983,
5985,5989,Bacteria
3374,6003,Eukaryota
721,6032,Eukaryota
1196,6042,Eukaryota
125,6048,Viruses
1568,6053,Bacteria
6649,6066,Bacteria
458,6067,
127,6075,Bacteria
4400,6080,Eukaryota
488,6088,Bacteria
17,6099,Eukaryota
1749,6100,Eukaryota
6404,6108,Eukaryota
1527,6109,Eukaryota
4481,6110,Eukaryota
6371,6117,Eukaryota
758,6131,Eukaryota
6477,6137,Bacteria
3571,6138,Bacteria
3572,6140,Eukaryota
5514,6143,Eukaryota
6594,6152,Eukaryota
1259,6172,Viruses
130,6187,Eukaryota
2604,6191,
570,6195,Eukaryota
5101,6197,Eukaryota
3859,6222,Eukaryota
2593,6224,Eukaryota
3438,6231,Bacteria
6676,6232,Bacteria
1172,6235,Bacteria
202,6242,Eukaryota
4265,6248,Eukaryota
1477,6250,Eukaryota
3439,6269,Eukaryota
1341,6275,Eukaryota
1891,6287,Eukaryota
3822,6301,Bacteria
6829,6318,Bacteria
191,6335,Eukaryota
5442,6339,Eukaryota
2615,6349,Eukaryota
2957,6358,Eukaryota
6627,6389,Viruses
18,6431,Eukaryota
5611,6437,
2444,6445,Eukaryota
1287,6453,Eukaryota
4764,6455,Bacteria
5158,6465,Bacteria
339,6473,Viruses
177,6483,Eukaryota
3759,6486,Bacteria
3910,6487,Bacteria
4543,6489,Eukaryota
750,6497,Bacteria
161,6508,Eukaryota
6643,6509,Eukaryota
1879,6512,Viruses
2821,6525,Eukaryota
4089,6539,Bacteria
315,6561,Bacteria
4149,6567,Eukaryota
632,6571,Viruses
3670,6572,Bacteria
5659,6577,Eukaryota
687,6587,Bacteria
3304,6593,Viruses
6671,6600,Bacteria
2137,6619,Eukaryota
5856,6637,
3971,6651,Eukaryota
5693,6658,Eukaryota
433,6664,Eukaryota
6340,6669,
1979,6674,Eukaryota
4415,6676,Eukaryota
299,6677,Eukaryota
5582,6683,Eukaryota
5450,6686,Eukaryota
4561,6687,Eukaryota
3406,6692,Eukaryota
1773,6704,Eukaryota
4103,6714,Eukaryota
1514,6718,Eukaryota
5951,6730,Eukaryota
1677,6738,Eukaryota
2896,6742,Eukaryota
513,6753,Bacteria
897,6763,
6842,6784,Eukaryota
4339,6789,Eukaryota
759,6794,Bacteria
3414,6802,Bacteria
1888,6823,Viruses
3779,6828,Eukaryota
2628,6835,Eukaryota
949,6839,Bacteria
2463,6848,Eukaryota
1280,6849,Eukaryota
3283,6852,
6681,6853,Eukaryota
1964,6866,Eukaryota
3692,6867,Eukaryota
4371,6872,Eukaryota
6325,6879,Eukaryota
3155,6897,Eukaryota
5633,6904,Eukaryota
1403,6907,Bacteria
1835,6912,Eukaryota
1977,6913,Viruses
2565,6920,Eukaryota
5126,6923,Bacteria
2138,6931,Bacteria
4221,6933,Eukaryota
2174,6953,Bacteria
2427,6970,Eukaryota
6723,6971,Eukaryota
2988,6972,Eukaryota
347,6979,Viruses
4429,6983,Eukaryota
2592,6984,Eukaryota
6481,6996,Eukaryota
5586,7013,Eukaryota
5726,7018,Eukaryota
2334,7024,Eukaryota
5113,7034,Eukaryota
1810,7046,Eukaryota
3150,7056,Bacteria
1713,7058,Bacteria
5107,7060,Eukaryota
2912,7063,Eukaryota
5477,7064,Eukaryota
1366,7070,Bacteria
3375,7083,Bacteria
3638,7101,Viruses
2617,7115,Bacteria
2110,7127,Eukaryota
4702,7135,Bacteria
150,7136,Bacteria
5874,7153,Bacteria
1342,7176,Eukaryota
1813,7189,Eukaryota
961,7193,
4936,7212,Bacteria
6635,7237,Eukaryota
3852,7245,Eukaryota
4183,7276,
5343,7287,Eukaryota
478,7327,Eukaryota
979,7340,Eukaryota
1507,7356,
4130,7370,Eukaryota
414,7372,Eukaryota
1270,7382,Bacteria
1553,7386,Bacteria
2487,7390,Eukaryota
2429,7403,Eukaryota
421,7404,Eukaryota
4838,7438,Bacteria
4799,7446,Eukaryota
871,7482,Bacteria
4904,7496,Eukaryota
1152,7500,Eukaryota
2646,7502,Eukaryota
4863,7503,Eukaryota
2516,7510,Bacteria
4338,7513,Bacteria
4632,7527,Eukaryota
639,7533,Bacteria
323,7543,Eukaryota
2862,7546,Eukaryota
5660,7553,Eukaryota
1929,7558,Eukaryota
4075,7559,Bacteria
608,7563,Eukaryota
1644,7587,Eukaryota
