sample	division	ntaxa	location_name	rank	sample_mosquito_species	kingdom
82	CMS001_003_Ra_S2	crustaceans	1	Alameda	species	Culiseta particeps	Arthropoda
83	CMS001_003_Ra_S2	arthropods	1	Alameda	phylum	Culiseta particeps	Arthropoda
84	CMS001_003_Ra_S2	psyllids	1	Alameda	species	Culiseta particeps	Arthropoda
85	CMS001_003_Ra_S2	horseshoe crabs	1	Alameda	species	Culiseta particeps	Arthropoda
86	CMS001_003_Ra_S2	scorpions	0	Alameda	species	Culiseta particeps	Arthropoda
87	CMS001_003_Ra_S2	bugs	3	Alameda	species	Culiseta particeps	Arthropoda
88	CMS001_003_Ra_S2	fleas	1	Alameda	species	Culiseta particeps	Arthropoda
89	CMS001_003_Ra_S2	wasps &c.	3	Alameda	subspecies	Culiseta particeps	Arthropoda
90	CMS001_003_Ra_S2	scale insects	0	Alameda	species	Culiseta particeps	Arthropoda
91	CMS001_003_Ra_S2	hymenopterans	1	Alameda	species	Culiseta particeps	Arthropoda
92	CMS001_003_Ra_S2	termites	2	Alameda	species	Culiseta particeps	Arthropoda
93	CMS001_003_Ra_S2	basidiomycetes	1	Alameda	genus	Culiseta particeps	Arthropoda
94	CMS001_003_Ra_S2	springtails	1	Alameda	subfamily	Culiseta particeps	Arthropoda
95	CMS001_003_Ra_S2	insects	3	Alameda	cohort	Culiseta particeps	Arthropoda
96	CMS001_003_Ra_S2	lice	0	Alameda	subspecies	Culiseta particeps	Arthropoda
97	CMS001_003_Ra_S2	amphipods	0	Alameda	species	Culiseta particeps	Arthropoda
98	CMS001_003_Ra_S2	booklice	0	Alameda	species	Culiseta particeps	Arthropoda
99	CMS001_003_Ra_S2	grasshoppers	0	Alameda	species	Culiseta particeps	Arthropoda
100	CMS001_003_Ra_S2	caddisflies	0	Alameda	species	Culiseta particeps	Arthropoda
101	CMS001_003_Ra_S2	whiteflies	0	Alameda	species	Culiseta particeps	Arthropoda
102	CMS001_003_Ra_S2	thrips	0	Alameda	species	Culiseta particeps	Arthropoda
103	CMS001_004_Ra_S2	flies	4	Alameda	no rank	Culex pipiens	Arthropoda
104	CMS001_004_Ra_S2	ascomycetes	0	Alameda	infraorder	Culex pipiens	Arthropoda
105	CMS001_004_Ra_S2	mosquitos	11	Alameda	genus	Culex pipiens	Arthropoda
106	CMS001_004_Ra_S2	bees	1	Alameda	species	Culex pipiens	Arthropoda
107	CMS001_004_Ra_S2	roaches	0	Alameda	species	Culex pipiens	Arthropoda
108	CMS001_004_Ra_S2	mites & ticks	0	Alameda	species	Culex pipiens	Arthropoda
109	CMS001_004_Ra_S2	beetles	1	Alameda	species	Culex pipiens	Arthropoda
110	CMS001_004_Ra_S2	moths	0	Alameda	species	Culex pipiens	Arthropoda
111	CMS001_004_Ra_S2	butterflies	0	Alameda	species	Culex pipiens	Arthropoda
112	CMS001_004_Ra_S2	aphids	0	Alameda	subfamily	Culex pipiens	Arthropoda
113	CMS001_004_Ra_S2	spiders	0	Alameda	species	Culex pipiens	Arthropoda
114	CMS001_004_Ra_S2	arachnids	0	Alameda	class	Culex pipiens	Arthropoda
115	CMS001_004_Ra_S2	ants	2	Alameda	species	Culex pipiens	Arthropoda
116	CMS001_004_Ra_S2	crustaceans	0	Alameda	species	Culex pipiens	Arthropoda
117	CMS001_004_Ra_S2	arthropods	0	Alameda	phylum	Culex pipiens	Arthropoda
118	CMS001_004_Ra_S2	psyllids	0	Alameda	species	Culex pipiens	Arthropoda
119	CMS001_004_Ra_S2	horseshoe crabs	0	Alameda	species	Culex pipiens	Arthropoda
120	CMS001_004_Ra_S2	scorpions	0	Alameda	species	Culex pipiens	Arthropoda
121	CMS001_004_Ra_S2	bugs	0	Alameda	species	Culex pipiens	Arthropoda
122	CMS001_004_Ra_S2	fleas	0	Alameda	species	Culex pipiens	Arthropoda
123	CMS001_004_Ra_S2	wasps &c.	0	Alameda	subspecies	Culex pipiens	Arthropoda
124	CMS001_004_Ra_S2	scale insects	0	Alameda	species	Culex pipiens	Arthropoda
125	CMS001_004_Ra_S2	hymenopterans	1	Alameda	species	Culex pipiens	Arthropoda
126	CMS001_004_Ra_S2	termites	0	Alameda	species	Culex pipiens	Arthropoda
127	CMS001_004_Ra_S2	basidiomycetes	0	Alameda	genus	Culex pipiens	Arthropoda
128	CMS001_004_Ra_S2	springtails	0	Alameda	subfamily	Culex pipiens	Arthropoda
129	CMS001_004_Ra_S2	insects	1	Alameda	cohort	Culex pipiens	Arthropoda
130	CMS001_004_Ra_S2	lice	0	Alameda	subspecies	Culex pipiens	Arthropoda
131	CMS001_004_Ra_S2	amphipods	0	Alameda	species	Culex pipiens	Arthropoda
132	CMS001_004_Ra_S2	booklice	0	Alameda	species	Culex pipiens	Arthropoda
133	CMS001_004_Ra_S2	grasshoppers	0	Alameda	species	Culex pipiens	Arthropoda
134	CMS001_004_Ra_S2	caddisflies	0	Alameda	species	Culex pipiens	Arthropoda
135	CMS001_004_Ra_S2	whiteflies	0	Alameda	species	Culex pipiens	Arthropoda
136	CMS001_004_Ra_S2	thrips	0	Alameda	species	Culex pipiens	Arthropoda
137	CMS001_005_Ra_S3	flies	37	Alameda	no rank	Culiseta incidens	Arthropoda
138	CMS001_005_Ra_S3	ascomycetes	1	Alameda	infraorder	Culiseta incidens	Arthropoda
139	CMS001_005_Ra_S3	mosquitos	35	Alameda	genus	Culiseta incidens	Arthropoda
140	CMS001_005_Ra_S3	bees	6	Alameda	species	Culiseta incidens	Arthropoda
141	CMS001_005_Ra_S3	roaches	1	Alameda	species	Culiseta incidens	Arthropoda
142	CMS001_005_Ra_S3	mites & ticks	2	Alameda	species	Culiseta incidens	Arthropoda
143	CMS001_005_Ra_S3	beetles	9	Alameda	species	Culiseta incidens	Arthropoda
144	CMS001_005_Ra_S3	moths	11	Alameda	species	Culiseta incidens	Arthropoda
145	CMS001_005_Ra_S3	butterflies	4	Alameda	species	Culiseta incidens	Arthropoda
146	CMS001_005_Ra_S3	aphids	6	Alameda	subfamily	Culiseta incidens	Arthropoda
147	CMS001_005_Ra_S3	spiders	0	Alameda	species	Culiseta incidens	Arthropoda
148	CMS001_005_Ra_S3	arachnids	0	Alameda	class	Culiseta incidens	Arthropoda
149	CMS001_005_Ra_S3	ants	16	Alameda	species	Culiseta incidens	Arthropoda
150	CMS001_005_Ra_S3	crustaceans	1	Alameda	species	Culiseta incidens	Arthropoda
151	CMS001_005_Ra_S3	arthropods	2	Alameda	phylum	Culiseta incidens	Arthropoda
152	CMS001_005_Ra_S3	psyllids	1	Alameda	species	Culiseta incidens	Arthropoda
153	CMS001_005_Ra_S3	horseshoe crabs	1	Alameda	species	Culiseta incidens	Arthropoda
154	CMS001_005_Ra_S3	scorpions	1	Alameda	species	Culiseta incidens	Arthropoda
155	CMS001_005_Ra_S3	bugs	3	Alameda	species	Culiseta incidens	Arthropoda
156	CMS001_005_Ra_S3	fleas	1	Alameda	species	Culiseta incidens	Arthropoda
157	CMS001_005_Ra_S3	wasps &c.	8	Alameda	subspecies	Culiseta incidens	Arthropoda
158	CMS001_005_Ra_S3	scale insects	0	Alameda	species	Culiseta incidens	Arthropoda
159	CMS001_005_Ra_S3	hymenopterans	1	Alameda	species	Culiseta incidens	Arthropoda
160	CMS001_005_Ra_S3	termites	2	Alameda	species	Culiseta incidens	Arthropoda
161	CMS001_005_Ra_S3	basidiomycetes	1	Alameda	genus	Culiseta incidens	Arthropoda
162	CMS001_005_Ra_S3	springtails	1	Alameda	subfamily	Culiseta incidens	Arthropoda
163	CMS001_005_Ra_S3	insects	3	Alameda	cohort	Culiseta incidens	Arthropoda
164	CMS001_005_Ra_S3	lice	1	Alameda	subspecies	Culiseta incidens	Arthropoda
165	CMS001_005_Ra_S3	amphipods	0	Alameda	species	Culiseta incidens	Arthropoda
166	CMS001_005_Ra_S3	booklice	0	Alameda	species	Culiseta incidens	Arthropoda
167	CMS001_005_Ra_S3	grasshoppers	0	Alameda	species	Culiseta incidens	Arthropoda
168	CMS001_005_Ra_S3	caddisflies	0	Alameda	species	Culiseta incidens	Arthropoda
169	CMS001_005_Ra_S3	whiteflies	1	Alameda	species	Culiseta incidens	Arthropoda
170	CMS001_005_Ra_S3	thrips	1	Alameda	species	Culiseta incidens	Arthropoda
171	CMS001_006_Ra_S5	flies	14	NA	no rank	NA	Arthropoda
172	CMS001_006_Ra_S5	ascomycetes	1	NA	infraorder	NA	Arthropoda
173	CMS001_006_Ra_S5	mosquitos	18	NA	genus	NA	Arthropoda
174	CMS001_006_Ra_S5	bees	5	NA	species	NA	Arthropoda
175	CMS001_006_Ra_S5	roaches	1	NA	species	NA	Arthropoda
176	CMS001_006_Ra_S5	mites & ticks	0	NA	species	NA	Arthropoda
177	CMS001_006_Ra_S5	beetles	5	NA	species	NA	Arthropoda
178	CMS001_006_Ra_S5	moths	8	NA	species	NA	Arthropoda
179	CMS001_006_Ra_S5	butterflies	4	NA	species	NA	Arthropoda
180	CMS001_006_Ra_S5	aphids	3	NA	subfamily	NA	Arthropoda
181	CMS001_006_Ra_S5	spiders	1	NA	species	NA	Arthropoda
182	CMS001_006_Ra_S5	arachnids	0	NA	class	NA	Arthropoda
183	CMS001_006_Ra_S5	ants	9	NA	species	NA	Arthropoda
184	CMS001_006_Ra_S5	crustaceans	1	NA	species	NA	Arthropoda
185	CMS001_006_Ra_S5	arthropods	2	NA	phylum	NA	Arthropoda
186	CMS001_006_Ra_S5	psyllids	1	NA	species	NA	Arthropoda
187	CMS001_006_Ra_S5	horseshoe crabs	0	NA	species	NA	Arthropoda
188	CMS001_006_Ra_S5	scorpions	0	NA	species	NA	Arthropoda
189	CMS001_006_Ra_S5	bugs	0	NA	species	NA	Arthropoda
190	CMS001_006_Ra_S5	fleas	1	NA	species	NA	Arthropoda
191	CMS001_006_Ra_S5	wasps &c.	2	NA	subspecies	NA	Arthropoda
192	CMS001_006_Ra_S5	scale insects	0	NA	species	NA	Arthropoda
193	CMS001_006_Ra_S5	hymenopterans	2	NA	species	NA	Arthropoda
194	CMS001_006_Ra_S5	termites	1	NA	species	NA	Arthropoda
195	CMS001_006_Ra_S5	basidiomycetes	0	NA	genus	NA	Arthropoda
196	CMS001_006_Ra_S5	springtails	1	NA	subfamily	NA	Arthropoda
197	CMS001_006_Ra_S5	insects	3	NA	cohort	NA	Arthropoda
198	CMS001_006_Ra_S5	lice	0	NA	subspecies	NA	Arthropoda
199	CMS001_006_Ra_S5	amphipods	0	NA	species	NA	Arthropoda
200	CMS001_006_Ra_S5	booklice	0	NA	species	NA	Arthropoda
201	CMS001_006_Ra_S5	grasshoppers	0	NA	species	NA	Arthropoda
202	CMS001_006_Ra_S5	caddisflies	0	NA	species	NA	Arthropoda
203	CMS001_006_Ra_S5	whiteflies	0	NA	species	NA	Arthropoda
204	CMS001_006_Ra_S5	thrips	0	NA	species	NA	Arthropoda
205	CMS001_007_Ra_S12	flies	15	Alameda	no rank	Culex erythrothorax	Arthropoda
206	CMS001_007_Ra_S12	ascomycetes	0	Alameda	infraorder	Culex erythrothorax	Arthropoda
207	CMS001_007_Ra_S12	mosquitos	18	Alameda	genus	Culex erythrothorax	Arthropoda
208	CMS001_007_Ra_S12	bees	2	Alameda	species	Culex erythrothorax	Arthropoda
209	CMS001_007_Ra_S12	roaches	0	Alameda	species	Culex erythrothorax	Arthropoda
210	CMS001_007_Ra_S12	mites & ticks	0	Alameda	species	Culex erythrothorax	Arthropoda
211	CMS001_007_Ra_S12	beetles	2	Alameda	species	Culex erythrothorax	Arthropoda
212	CMS001_007_Ra_S12	moths	2	Alameda	species	Culex erythrothorax	Arthropoda
213	CMS001_007_Ra_S12	butterflies	2	Alameda	species	Culex erythrothorax	Arthropoda
214	CMS001_007_Ra_S12	aphids	2	Alameda	subfamily	Culex erythrothorax	Arthropoda
215	CMS001_007_Ra_S12	spiders	1	Alameda	species	Culex erythrothorax	Arthropoda
216	CMS001_007_Ra_S12	arachnids	0	Alameda	class	Culex erythrothorax	Arthropoda
217	CMS001_007_Ra_S12	ants	0	Alameda	species	Culex erythrothorax	Arthropoda
218	CMS001_007_Ra_S12	crustaceans	1	Alameda	species	Culex erythrothorax	Arthropoda
219	CMS001_007_Ra_S12	arthropods	2	Alameda	phylum	Culex erythrothorax	Arthropoda
220	CMS001_007_Ra_S12	psyllids	0	Alameda	species	Culex erythrothorax	Arthropoda
221	CMS001_007_Ra_S12	horseshoe crabs	0	Alameda	species	Culex erythrothorax	Arthropoda
222	CMS001_007_Ra_S12	scorpions	1	Alameda	species	Culex erythrothorax	Arthropoda
223	CMS001_007_Ra_S12	bugs	1	Alameda	species	Culex erythrothorax	Arthropoda
224	CMS001_007_Ra_S12	fleas	1	Alameda	species	Culex erythrothorax	Arthropoda
225	CMS001_007_Ra_S12	wasps &c.	0	Alameda	subspecies	Culex erythrothorax	Arthropoda
226	CMS001_007_Ra_S12	scale insects	0	Alameda	species	Culex erythrothorax	Arthropoda
227	CMS001_007_Ra_S12	hymenopterans	2	Alameda	species	Culex erythrothorax	Arthropoda
228	CMS001_007_Ra_S12	termites	1	Alameda	species	Culex erythrothorax	Arthropoda
229	CMS001_007_Ra_S12	basidiomycetes	0	Alameda	genus	Culex erythrothorax	Arthropoda
230	CMS001_007_Ra_S12	springtails	1	Alameda	subfamily	Culex erythrothorax	Arthropoda
231	CMS001_007_Ra_S12	insects	2	Alameda	cohort	Culex erythrothorax	Arthropoda
232	CMS001_007_Ra_S12	lice	0	Alameda	subspecies	Culex erythrothorax	Arthropoda
233	CMS001_007_Ra_S12	amphipods	0	Alameda	species	Culex erythrothorax	Arthropoda
234	CMS001_007_Ra_S12	booklice	0	Alameda	species	Culex erythrothorax	Arthropoda
235	CMS001_007_Ra_S12	grasshoppers	0	Alameda	species	Culex erythrothorax	Arthropoda
236	CMS001_007_Ra_S12	caddisflies	0	Alameda	species	Culex erythrothorax	Arthropoda
237	CMS001_007_Ra_S12	whiteflies	0	Alameda	species	Culex erythrothorax	Arthropoda
238	CMS001_007_Ra_S12	thrips	0	Alameda	species	Culex erythrothorax	Arthropoda
239	CMS001_008_Ra_S3	flies	23	Alameda	no rank	Culiseta particeps	Arthropoda
240	CMS001_008_Ra_S3	ascomycetes	0	Alameda	infraorder	Culiseta particeps	Arthropoda
241	CMS001_008_Ra_S3	mosquitos	24	Alameda	genus	Culiseta particeps	Arthropoda
242	CMS001_008_Ra_S3	bees	2	Alameda	species	Culiseta particeps	Arthropoda
243	CMS001_008_Ra_S3	roaches	1	Alameda	species	Culiseta particeps	Arthropoda
244	CMS001_008_Ra_S3	mites & ticks	1	Alameda	species	Culiseta particeps	Arthropoda
245	CMS001_008_Ra_S3	beetles	9	Alameda	species	Culiseta particeps	Arthropoda
246	CMS001_008_Ra_S3	moths	7	Alameda	species	Culiseta particeps	Arthropoda
247	CMS001_008_Ra_S3	butterflies	1	Alameda	species	Culiseta particeps	Arthropoda
248	CMS001_008_Ra_S3	aphids	2	Alameda	subfamily	Culiseta particeps	Arthropoda
249	CMS001_008_Ra_S3	spiders	1	Alameda	species	Culiseta particeps	Arthropoda
250	CMS001_008_Ra_S3	arachnids	0	Alameda	class	Culiseta particeps	Arthropoda
251	CMS001_008_Ra_S3	ants	4	Alameda	species	Culiseta particeps	Arthropoda
252	CMS001_008_Ra_S3	crustaceans	3	Alameda	species	Culiseta particeps	Arthropoda
253	CMS001_008_Ra_S3	arthropods	1	Alameda	phylum	Culiseta particeps	Arthropoda
254	CMS001_008_Ra_S3	psyllids	0	Alameda	species	Culiseta particeps	Arthropoda
255	CMS001_008_Ra_S3	horseshoe crabs	0	Alameda	species	Culiseta particeps	Arthropoda
256	CMS001_008_Ra_S3	scorpions	0	Alameda	species	Culiseta particeps	Arthropoda
257	CMS001_008_Ra_S3	bugs	2	Alameda	species	Culiseta particeps	Arthropoda
258	CMS001_008_Ra_S3	fleas	1	Alameda	species	Culiseta particeps	Arthropoda
259	CMS001_008_Ra_S3	wasps &c.	2	Alameda	subspecies	Culiseta particeps	Arthropoda
260	CMS001_008_Ra_S3	scale insects	0	Alameda	species	Culiseta particeps	Arthropoda
261	CMS001_008_Ra_S3	hymenopterans	0	Alameda	species	Culiseta particeps	Arthropoda
262	CMS001_008_Ra_S3	termites	1	Alameda	species	Culiseta particeps	Arthropoda
263	CMS001_008_Ra_S3	basidiomycetes	0	Alameda	genus	Culiseta particeps	Arthropoda
264	CMS001_008_Ra_S3	springtails	0	Alameda	subfamily	Culiseta particeps	Arthropoda
265	CMS001_008_Ra_S3	insects	3	Alameda	cohort	Culiseta particeps	Arthropoda
266	CMS001_008_Ra_S3	lice	1	Alameda	subspecies	Culiseta particeps	Arthropoda
267	CMS001_008_Ra_S3	amphipods	0	Alameda	species	Culiseta particeps	Arthropoda
268	CMS001_008_Ra_S3	booklice	0	Alameda	species	Culiseta particeps	Arthropoda
269	CMS001_008_Ra_S3	grasshoppers	0	Alameda	species	Culiseta particeps	Arthropoda
270	CMS001_008_Ra_S3	caddisflies	0	Alameda	species	Culiseta particeps	Arthropoda
271	CMS001_008_Ra_S3	whiteflies	1	Alameda	species	Culiseta particeps	Arthropoda
272	CMS001_008_Ra_S3	thrips	1	Alameda	species	Culiseta particeps	Arthropoda
273	CMS001_009_Ra_S13	flies	30	Alameda	no rank	Culiseta particeps	Arthropoda
274	CMS001_009_Ra_S13	ascomycetes	0	Alameda	infraorder	Culiseta particeps	Arthropoda
275	CMS001_009_Ra_S13	mosquitos	28	Alameda	genus	Culiseta particeps	Arthropoda
276	CMS001_009_Ra_S13	bees	3	Alameda	species	Culiseta particeps	Arthropoda
277	CMS001_009_Ra_S13	roaches	1	Alameda	species	Culiseta particeps	Arthropoda
278	CMS001_009_Ra_S13	mites & ticks	1	Alameda	species	Culiseta particeps	Arthropoda
279	CMS001_009_Ra_S13	beetles	8	Alameda	species	Culiseta particeps	Arthropoda
280	CMS001_009_Ra_S13	moths	7	Alameda	species	Culiseta particeps	Arthropoda
281	CMS001_009_Ra_S13	butterflies	5	Alameda	species	Culiseta particeps	Arthropoda
282	CMS001_009_Ra_S13	aphids	2	Alameda	subfamily	Culiseta particeps	Arthropoda
283	CMS001_009_Ra_S13	spiders	0	Alameda	species	Culiseta particeps	Arthropoda
284	CMS001_009_Ra_S13	arachnids	0	Alameda	class	Culiseta particeps	Arthropoda
285	CMS001_009_Ra_S13	ants	15	Alameda	species	Culiseta particeps	Arthropoda
286	CMS001_009_Ra_S13	crustaceans	2	Alameda	species	Culiseta particeps	Arthropoda
287	CMS001_009_Ra_S13	arthropods	2	Alameda	phylum	Culiseta particeps	Arthropoda
288	CMS001_009_Ra_S13	psyllids	1	Alameda	species	Culiseta particeps	Arthropoda
289	CMS001_009_Ra_S13	horseshoe crabs	0	Alameda	species	Culiseta particeps	Arthropoda
290	CMS001_009_Ra_S13	scorpions	0	Alameda	species	Culiseta particeps	Arthropoda
291	CMS001_009_Ra_S13	bugs	4	Alameda	species	Culiseta particeps	Arthropoda
292	CMS001_009_Ra_S13	fleas	1	Alameda	species	Culiseta particeps	Arthropoda
293	CMS001_009_Ra_S13	wasps &c.	3	Alameda	subspecies	Culiseta particeps	Arthropoda
294	CMS001_009_Ra_S13	scale insects	0	Alameda	species	Culiseta particeps	Arthropoda
295	CMS001_009_Ra_S13	hymenopterans	2	Alameda	species	Culiseta particeps	Arthropoda
296	CMS001_009_Ra_S13	termites	2	Alameda	species	Culiseta particeps	Arthropoda
297	CMS001_009_Ra_S13	basidiomycetes	1	Alameda	genus	Culiseta particeps	Arthropoda
298	CMS001_009_Ra_S13	springtails	2	Alameda	subfamily	Culiseta particeps	Arthropoda
299	CMS001_009_Ra_S13	insects	3	Alameda	cohort	Culiseta particeps	Arthropoda
300	CMS001_009_Ra_S13	lice	1	Alameda	subspecies	Culiseta particeps	Arthropoda
301	CMS001_009_Ra_S13	amphipods	1	Alameda	species	Culiseta particeps	Arthropoda
302	CMS001_009_Ra_S13	booklice	0	Alameda	species	Culiseta particeps	Arthropoda
303	CMS001_009_Ra_S13	grasshoppers	0	Alameda	species	Culiseta particeps	Arthropoda
