sci_name,novel,baltimore_group,genome_description,number_of_segments_conventional,n_segments,family,submission_taxid,n_samples,samples
49|Toti-like,True,III,double stranded RNA,1,1,Totiviridae,39756,2,"['CMS002_029d_Rb_S162_L004', 'CMS002_031a_Rb_S165_L004']"
Culex narnavirus 1,False,IV,single stranded RNA positive sense,1,2,Narnaviridae,2562539,43,"['CMS001_002_Ra_S1', 'CMS001_004_Ra_S2', 'CMS001_011_Ra_S4', 'CMS001_018_Ra_S14', 'CMS001_019_Ra_S14', 'CMS001_022_Ra_S6', 'CMS001_023_Ra_S17', 'CMS001_028_Ra_S17', 'CMS001_029_Ra_S18', 'CMS001_030_Ra_S7', 'CMS001_034_Ra_S19', 'CMS001_035_Ra_S20', 'CMS001_036_Ra_S20', 'CMS001_037_Ra_S21', 'CMS001_038_Ra_S22', 'CMS001_040_Ra_S21', 'CMS001_041_Ra_S10', 'CMS001_042_Ra_S23', 'CMS001_044_Ra_S25', 'CMS001_045_Ra_S2', 'CMS001_047_Ra_S4', 'CMS001_048_Ra_S5', 'CMS001_051_Ra_S8', 'CMS001_052_Ra_S7', 'CMS001_054_Ra_S11', 'CMS001_058_Ra_S9', 'CMS001_059_Ra_S10', 'CMS002_001a_Rb_S116_L004', 'CMS002_022a_Rb_S137_L004', 'CMS002_023a_Rb_S138_L004', 'CMS002_027a_Rb_S152_L004', 'CMS002_027b_Rb_S153_L004', 'CMS002_028d_Rb_S157_L004', 'CMS002_028e_Rb_S158_L004', 'CMS002_029c_Rb_S161_L004', 'CMS002_029d_Rb_S162_L004', 'CMS002_046a_Rb_S191_L004', 'CMS002_046b_Rb_S192_L004', 'CMS002_047a_Rb_S193_L004', 'CMS002_047f_Rb_S198_L004', 'CMS002_047j_Rb_S3_L004', 'CMS002_051a_Rb_S6_L004', 'CMS002_053a_Rb_S7_L004']"
Aedes anphevirus,False,V,single stranded RNA negative sense,1,1,Xinmoviridae,2230910,2,"['CMS002_017c_Rb_S124_L004', 'CMS002_018a_Rb_S128_L004']"
Guadeloupe Culex tymo-like virus,False,IV,single stranded RNA positive sense,1,1,Tymoviridae,2607736,1,['CMS002_022a_Rb_S137_L004']
Guadeloupe mosquito virus,False,IV,single stranded RNA positive sense,1,2,Solemoviridae,2607735,8,"['CMS002_017a_Rb_S122_L004', 'CMS002_017b_Rb_S123_L004', 'CMS002_017c_Rb_S124_L004', 'CMS002_017d_Rb_S125_L004', 'CMS002_017e_Rb_S126_L004', 'CMS002_018a_Rb_S128_L004', 'CMS002_018b_Rb_S129_L004', 'CMS002_019a_Rb_S130_L004']"
5308|Toti-like,True,III,double stranded RNA,1,1,Totiviridae,39756,1,['CMS001_009_Ra_S13']
Kellev virus,True,IV,single stranded RNA positive sense,1,2,Solemoviridae,502177,2,"['CMS002_020a_Rb_S131_L004', 'CMS002_020b_Rb_S132_L004']"
55|Toti-like,True,III,double stranded RNA,1,1,Totiviridae,39756,19,"['CMS001_006_Ra_S5', 'CMS001_007_Ra_S12', 'CMS001_010_Ra_S1', 'CMS001_013_Ra_S5', 'CMS001_018_Ra_S14', 'CMS001_019_Ra_S14', 'CMS001_020_Ra_S15', 'CMS001_021_Ra_S16', 'CMS001_035_Ra_S20', 'CMS001_037_Ra_S21', 'CMS001_049_Ra_S6', 'CMS001_050_Ra_S23', 'CMS001_052_Ra_S7', 'CMS001_053_Ra_S8', 'CMS001_057_Ra_S11', 'CMS001_058_Ra_S9', 'CMS002_028b_Rb_S155_L004', 'CMS002_047e_Rb_S197_L004', 'CMS002_053a_Rb_S7_L004']"
56|Toti-like,True,III,double stranded RNA,1,1,Totiviridae,39756,10,"['CMS001_027_Ra_S16', 'CMS001_028_Ra_S17', 'CMS001_032_Ra_S7', 'CMS001_034_Ra_S19', 'CMS001_036_Ra_S20', 'CMS001_038_Ra_S22', 'CMS002_029a_Rb_S159_L004', 'CMS002_029b_Rb_S160_L004', 'CMS002_029c_Rb_S161_L004', 'CMS002_029e_Rb_S164_L004']"
Wenzhou sobemo-like virus 4,False,IV,single stranded RNA positive sense,1,2,Solemoviridae,1923660,7,"['CMS002_045a_Rb_S183_L004', 'CMS002_045b_Rb_S184_L004', 'CMS002_045c_Rb_S185_L004', 'CMS002_045d_Rb_S186_L004', 'CMS002_045e_Rb_S188_L004', 'CMS002_045f_Rb_S189_L004', 'CMS002_045g_Rb_S190_L004']"
57|Toti-like,True,III,double stranded RNA,1,1,Totiviridae,39756,4,"['CMS001_031_Ra_S19', 'CMS002_029d_Rb_S162_L004', 'CMS002_031a_Rb_S165_L004', 'CMS002_040a_Rb_S174_L004']"
Gordis virus,True,V,single stranded RNA negative sense,1,1,Xinmoviridae,2059674,9,"['CMS001_003_Ra_S2', 'CMS001_008_Ra_S3', 'CMS001_025_Ra_S7', 'CMS002_020a_Rb_S131_L004', 'CMS002_020b_Rb_S132_L004', 'CMS002_020c_Rb_S133_L004', 'CMS002_020d_Rb_S134_L004', 'CMS002_020e_Rb_S135_L004', 'CMS002_021a_Rb_S136_L004']"
Wuhan insect virus 33,False,IV,single stranded RNA positive sense,1,1,Dicistroviridae,1923736,3,"['CMS002_044a_Rb_S178_L004', 'CMS002_044b_Rb_S179_L004', 'CMS002_044c_Rb_S180_L004']"
61|Peribunya-like,True,V,single stranded RNA negative sense,3,3,Peribunyaviridae,348018,1,['CMS001_040_Ra_S21']
63|Phenui-like,True,V,single stranded RNA negative sense,3,3,Phenuiviridae,2024603,8,"['CMS001_011_Ra_S4', 'CMS001_013_Ra_S5', 'CMS001_019_Ra_S14', 'CMS001_021_Ra_S16', 'CMS001_048_Ra_S5', 'CMS001_049_Ra_S6', 'CMS001_056_Ra_S10', 'CMS002_053a_Rb_S7_L004']"
6512|Toti-like,True,III,double stranded RNA,1,2,Totiviridae,39756,2,"['CMS002_020b_Rb_S132_L004', 'CMS002_021a_Rb_S136_L004']"
6823|Peribunya-like,True,V,single stranded RNA negative sense,3,1,Peribunyaviridae,39718,1,['CMS001_001_Ra_S1']
Barstukas virus,True,V,single stranded RNA negative sense,3,3,Phasmaviridae,2546221,16,"['CMS002_026a_Rb_S146_L004', 'CMS002_026b_Rb_S147_L004', 'CMS002_026c_Rb_S148_L004', 'CMS002_026d_Rb_S149_L004', 'CMS002_026e_Rb_S150_L004', 'CMS002_044a_Rb_S178_L004', 'CMS002_044c_Rb_S180_L004', 'CMS002_044d_Rb_S181_L004', 'CMS002_044e_Rb_S182_L004', 'CMS002_045a_Rb_S183_L004', 'CMS002_045b_Rb_S184_L004', 'CMS002_045c_Rb_S185_L004', 'CMS002_045d_Rb_S186_L004', 'CMS002_045e_Rb_S188_L004', 'CMS002_045f_Rb_S189_L004', 'CMS002_045g_Rb_S190_L004']"
Culex-associated Luteo-like virus,False,IV,single stranded RNA positive sense,1,2,Luteoviridae,2304522,7,"['CMS002_029e_Rb_S164_L004', 'CMS002_031a_Rb_S165_L004', 'CMS002_032a_Rb_S166_L004', 'CMS002_035a_Rb_S169_L004', 'CMS002_038a_Rb_S172_L004', 'CMS002_040a_Rb_S174_L004', 'CMS002_041a_Rb_S176_L004']"
76|Phasma-like,True,V,single stranded RNA negative sense,3,3,Phasmaviridae,2546221,16,"['CMS001_001_Ra_S1', 'CMS001_011_Ra_S4', 'CMS001_017_Ra_S6', 'CMS001_018_Ra_S14', 'CMS001_019_Ra_S14', 'CMS001_035_Ra_S20', 'CMS001_037_Ra_S21', 'CMS001_057_Ra_S11', 'CMS002_028b_Rb_S155_L004', 'CMS002_028d_Rb_S157_L004', 'CMS002_028e_Rb_S158_L004', 'CMS002_047f_Rb_S198_L004', 'CMS002_047h_Rb_S1_L004', 'CMS002_047i_Rb_S2_L004', 'CMS002_047j_Rb_S3_L004', 'CMS002_053a_Rb_S7_L004']"
Totivirus-like Culex mosquito virus 1,False,III,double stranded RNA,1,1,Totiviridae,2304495,1,['CMS001_038_Ra_S22']
Merida virus,False,V,single stranded RNA negative sense,1,1,Rhabdoviridae,1803034,9,"['CMS002_031a_Rb_S165_L004', 'CMS002_035a_Rb_S169_L004', 'CMS002_038a_Rb_S172_L004', 'CMS002_040a_Rb_S174_L004', 'CMS002_041a_Rb_S176_L004', 'CMS002_044a_Rb_S178_L004', 'CMS002_044b_Rb_S179_L004', 'CMS002_044d_Rb_S181_L004', 'CMS002_044e_Rb_S182_L004']"
Aedes aegypti totivirus,False,III,double stranded RNA,1,2,Totiviridae,2603435,5,"['CMS002_017a_Rb_S122_L004', 'CMS002_017b_Rb_S123_L004', 'CMS002_017c_Rb_S124_L004', 'CMS002_017d_Rb_S125_L004', 'CMS002_017e_Rb_S126_L004']"
88|Tombus-like,True,IV,single stranded RNA positive sense,1 or 2,1,Tombusviridae,137555,2,"['CMS001_001_Ra_S1', 'CMS001_022_Ra_S6']"
Hubei virga-like virus 2,False,IV,single stranded RNA positive sense,1 or more,1,Virgaviridae,1923335,36,"['CMS001_001_Ra_S1', 'CMS001_002_Ra_S1', 'CMS001_006_Ra_S5', 'CMS001_010_Ra_S1', 'CMS001_015_Ra_S13', 'CMS001_017_Ra_S6', 'CMS001_018_Ra_S14', 'CMS001_019_Ra_S14', 'CMS001_020_Ra_S15', 'CMS001_021_Ra_S16', 'CMS001_022_Ra_S6', 'CMS001_023_Ra_S17', 'CMS001_024_Ra_S15', 'CMS001_034_Ra_S19', 'CMS001_035_Ra_S20', 'CMS001_037_Ra_S21', 'CMS001_045_Ra_S2', 'CMS001_048_Ra_S5', 'CMS001_049_Ra_S6', 'CMS001_050_Ra_S23', 'CMS001_052_Ra_S7', 'CMS001_053_Ra_S8', 'CMS001_056_Ra_S10', 'CMS001_057_Ra_S11', 'CMS001_058_Ra_S9', 'CMS002_028a_Rb_S154_L004', 'CMS002_028c_Rb_S156_L004', 'CMS002_029d_Rb_S162_L004', 'CMS002_029e_Rb_S164_L004', 'CMS002_047b_Rb_S194_L004', 'CMS002_047d_Rb_S196_L004', 'CMS002_047e_Rb_S197_L004', 'CMS002_047f_Rb_S198_L004', 'CMS002_047g_Rb_S200_L004', 'CMS002_047i_Rb_S2_L004', 'CMS002_053a_Rb_S7_L004']"
9191|Botourmia-like,True,IV,single stranded RNA positive sense,3,1,Botourmiaviridae,2587553,1,['CMS002_053a_Rb_S7_L004']
98|Luteo-like,True,IV,single stranded RNA positive sense,1,1,Luteoviridae,328429,1,['CMS001_060_Ra_S12']
