NewIDseqName,OldIDseqName,czbiohub-mosquito_sequences_id,raw_sequence_run_directory,host,sample_type,nucleotide_type,collection_date,collection_lat,collection_long,Habitat,Population,collected_by,preservation_method,sex,life_stage,visual_genus,visual_species,compute_genus,compute_species,blood_fed,sample_unit,known_organism,detection_method,library_prep,sequencer,rna_dna_input_ng,library_prep_batch,extraction_batch,Notes:,Genus_test,Species_test,
CMS001_011_Ra_S4,CMS_011_RNA_A_S4,CMS_011_RNA_A_S4,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_011_RNA_A_S4_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,55,NA,NA,,1,1,
CMS001_012_Ra_S4,CMS_012_RNA_A_S4,CMS_012_RNA_A_S4,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_012_RNA_A_S4_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Aedes,dorsalis,Aedes,dorsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,86.1,NA,NA,,1,1,
CMS001_013_Ra_S5,CMS_013_RNA_A_S5,CMS_013_RNA_A_S5,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_013_RNA_A_S5_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,37.2,NA,NA,,1,1,
CMS001_014_Ra_S5,CMS_014_RNA_A_S5,CMS_014_RNA_A_S5,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_009_RNA_A_S13_R1_001.fastq.gz,mosquito,whole,RNA,2017-10-06T00:00:00Z,37.58191,-122.04838,Marsh,Suburban,ALCO,CO2,female,NA,Culiseta,incidens,Culiseta,incidens,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,65,NA,NA,,1,1,
CMS001_015_Ra_S13,CMS_015_RNA_A_S13,CMS_015_RNA_A_S13,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_0015_RNA_A_S13_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-27T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,63.2,NA,NA,,1,1,
CMS001_016_Ra_S6,CMS_016_RNA_A_S6,CMS_016_RNA_A_S6,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_016_RNA_A_S6_R1_001.fastq.gz,mosquito,whole,RNA,2017-10-06T00:00:00Z,37.58191,-122.04846,Marsh,Suburban,ALCO,CO2,female,NA,Culiseta,inornata,Culiseta,inornata,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,153.4,NA,NA,,1,1,
CMS001_017_Ra_S6,CMS_001_17_S6_L001,CMS_017_RNA_A_S6,czbiohub-seqbot/fastqs/180810_A00111_0186_AH7G3JDSXX/rawdata/Kalani_Ratnasiri/CMS_001_17_S6_L001_R1_001.fastq.gz,mosquito,whole,RNA,2017-10-06T00:00:00Z,37.58191,-122.04838,Marsh,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,73.9,NA,NA,,1,1,
CMS001_018_Ra_S14,CMS_018_RNA_A_S14,CMS_018_RNA_A_S14,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_018_RNA_A_S14_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-27T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,46.4,NA,NA,,1,1,
CMS001_019_Ra_S14,CMS_019_RNA_A_S14,CMS_019_RNA_A_S14,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_019_RNA_A_S14_R2_001.fastq.gz,mosquito,whole,RNA,2017-10-04T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,59.4,NA,NA,,1,1,
CMS001_020_Ra_S15,CMS_020_RNA_A_S15,CMS_020_RNA_A_S15,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_020_RNA_A_S15_R1_001.fastq.gz,mosquito,whole,RNA,2017-10-06T00:00:00Z,37.58191,-122.04846,Marsh,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,33.6,NA,NA,,1,1,
CMS001_021_Ra_S16,CMS_021_RNA_A_S16,CMS_021_RNA_A_S16,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_021_RNA_A_S16_R1_001.fastq.gz,mosquito,whole,RNA,2017-10-06T00:00:00Z,37.58191,-122.04838,Marsh,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,32.2,NA,NA,,1,1,
CMS001_022_Ra_S6,CMS_022_RNA_A_S6,CMS_022_RNA_A_S6,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_022_RNA_A_S6_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-27T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,27.4,NA,NA,,1,1,
CMS001_023_Ra_S17,CMS_023_RNA_A_S17,CMS_023_RNA_A_S17,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_023_RNA_A_S17_R1_001.fastq.gz,mosquito,whole,RNA,2017-10-06T00:00:00Z,37.58191,-122.04838,Marsh,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,98.8,NA,NA,,1,1,
CMS001_024_Ra_S15,CMS_024_RNA_A_S15,CMS_024_RNA_A_S15,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_024_RNA_A_S15_R1_001.fastq.gz,mosquito,whole,RNA,2017-10-06T00:00:00Z,37.58191,-122.04838,Marsh,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,3.1,NA,NA,,0,0,
CMS001_025_Ra_S7,CMS_025_RNA_A_S7,CMS_025_RNA_A_S7,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_025_RNA_A_S7_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,tarsalis,Culiseta,particeps,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,120,NA,NA,,0,0,
CMS001_026_Ra_S18,CMS_026_RNA_A_S18,CMS_026_RNA_A_S18,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_026_RNA_A_S18_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-19T00:00:00Z,37.50953,-121.93113,Park,Suburban,ALCO,CO2,female,NA,Culex,tarsalis,Culiseta,incidens,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,60.6,NA,NA,,1,1,
CMS001_027_Ra_S16,CMS_027_RNA_A_S16,CMS_027_RNA_A_S16,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_027_RNA_A_S16_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-12T00:00:00Z,37.8665,-122.31051,Park / Undeveloped,Urban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,49.1,NA,NA,,1,1,
CMS001_028_Ra_S17,CMS_028_RNA_A_S17,CMS_028_RNA_A_S17,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_028_RNA_A_S17_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-12T00:00:00Z,37.7152,-122.19431, Industrial (waste water treatment plant),Urban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,96,NA,NA,,1,1,
CMS001_029_Ra_S18,CMS_029_RNA_A_S18,CMS_029_RNA_A_S18,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_029_RNA_A_S18_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-13T00:00:00Z,37.68473,-121.91341,Park / adjacent to  Industrial (waste water treatment plant),Suburban,ALCO,CO2,female,NA,Culex,pipiens,Culex,pipiens,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,82,NA,NA,,1,1,
CMS001_030_Ra_S7,CMS_030_RNA_A_S7,CMS_030_RNA_A_S7,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_030_RNA_A_S7_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-10T00:00:00Z,37.7152,-122.19431, Industrial (waste water treatment plant),Urban,ALCO,CO2,female,NA,Culex,pipiens,Culex,pipiens,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,273,NA,NA,,1,1,
CMS001_031_Ra_S19,CMS_031_RNA_A_S19,CMS_031_RNA_A_S19,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_031_RNA_A_S19_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-13T00:00:00Z,37.8063,-122.2573,Park,Urban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,28.2,NA,NA,,1,1,
CMS001_032_Ra_S7,CMS_001_032_S7_L001,CMS_032_RNA_A_S7,czbiohub-seqbot/fastqs/180810_A00111_0186_AH7G3JDSXX/rawdata/Kalani_Ratnasiri/CMS_001_32_S7_L001_R1_001.fastq.gz,mosquito,whole,RNA,NA,37.66126,-122.13335,Golf Course,Suburban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,124.3,NA,NA,,1,1,
CMS001_033_Ra_S8,CMS_033_RNA_A_S8,CMS_033_RNA_A_S8,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_033_RNA_A_S8_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-11T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,32.4,NA,NA,,1,1,
CMS001_034_Ra_S19,CMS_034_RNA_A_S19,CMS_034_RNA_A_S19,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_034_RNA_A_S19_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-11T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,56.6,NA,NA,,1,1,
CMS001_035_Ra_S20,CMS_035_RNA_A_S20,CMS_035_RNA_A_S20,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_035_RNA_A_S20_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-11T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,28.8,NA,NA,,1,1,
CMS001_036_Ra_S20,CMS_036_RNA_A_S20,CMS_036_RNA_A_S20,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_036_RNA_A_S20_R1_001.fastq.gz,mosquito,whole,RNA,2017-09-11T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,36.2,NA,NA,,1,1,
CMS001_037_Ra_S21,CMS_037_RNA_A_S21,CMS_037_RNA_A_S21,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_037_RNA_A_S21_R1_001.fastq.gz,mosquito,whole,RNA,2017-08-18T00:00:00Z,NA,NA,NA,NA,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,42.4,NA,NA,,1,1,
CMS001_038_Ra_S22,CMS_038_RNA_A_S22,CMS_038_RNA_A_S22,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_038_RNA_A_S22_R1_001.fastq.gz,mosquito,whole,RNA,2017-08-24T00:00:00Z,37.58391,-122.09238,Marsh,Suburban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,74.2,NA,NA,,1,1,
CMS001_039_Ra_S9,CMS_039_RNA_A_S9,CMS_039_RNA_A_S9,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_039_RNA_A_S9_R1_001.fastq.gz,mosquito,whole,RNA,2017-08-24T00:00:00Z,37.58391,-122.09238,Marsh,Suburban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,104,NA,NA,,1,1,
CMS001_040_Ra_S21,CMS_040_RNA_A_S21,CMS_040_RNA_A_S21,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_040_RNA_A_S21_R1_001.fastq.gz,mosquito,whole,RNA,2017-08-31T00:00:00Z,37.49949,-121.93378,Undeveloped,Urban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,27,NA,NA,,1,1,
CMS001_041_Ra_S10,CMS_041_RNA_A_S10,CMS_041_RNA_A_S10,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_041_RNA_A_S10_R1_001.fastq.gz,mosquito,whole,RNA,2017-08-31T00:00:00Z,37.49949,-121.93378,Undeveloped,Urban,ALCO,CO2,female,NA,Culex,pipiens,Culex,pipiens,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,48,NA,NA,,1,1,
CMS001_042_Ra_S23,CMS_042_RNA_A_S23,CMS_042_RNA_A_S23,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_042_RNA_A_S23_R1_001.fastq.gz,mosquito,whole,RNA,2017-08-25T00:00:00Z,37.66126,-122.13335,Golf Course,Suburban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,96,NA,NA,,1,1,
CMS001_043_Ra_S24,CMS_043_RNA_A_S24,CMS_043_RNA_A_S24,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_043_RNA_A_S24_R1_001.fastq.gz,mosquito,whole,RNA,2017-08-25T00:00:00Z,37.66126,-122.13335,Golf Course,Suburban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,134,NA,NA,,#REF!,#REF!,Balanced dup? only 1 pipiens
CMS001_044_Ra_S25,CMS_044_RNA_A_S25,CMS_044_RNA_A_S25,czbiohub-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_044_RNA_A_S25_R1_001.fastq.gz,mosquito,whole,RNA,2017-08-25T00:00:00Z,37.66126,-122.13335,Golf Course,Suburban,ALCO,CO2,female,NA,Culex,pipiens,Culex,pipiens,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,62,NA,NA,,1,1,
CMS001_045_Ra_S2,CMS_045_RNA_A_S2,CMS_045_RNA_A_S2,czbiohub-seqbot/fastqs/180417_NB501961_0099_AHWNYNAFXX/rawdata/CMS_045_RNA_A_S2_R1_001.fastq.gz,mosquito,whole,RNA,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,6.12,NA,NA,,1,0,
CMS001_046_Ra_S3,CMS_046_RNA_A_S3,CMS_046_RNA_A_S3,czbiohub-seqbot/fastqs/180417_NB501961_0099_AHWNYNAFXX/rawdata/CMS_046_RNA_A_S3_R1_001.fastq.gz,mosquito,whole,RNA,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,29.4,NA,NA,,1,1,
CMS001_047_Ra_S4,CMS_047_RNA_A_S4,CMS_047_RNA_A_S4,czbiohub-seqbot/fastqs/180417_NB501961_0099_AHWNYNAFXX/rawdata/CMS_047_RNA_A_S4_R1_001.fastq.gz,mosquito,whole,RNA,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,48.4,NA,NA,,1,1,
CMS001_048_Ra_S5,CMS_048_RNA_A_S5,CMS_048_RNA_A_S5,czbiohub-seqbot/fastqs/180417_NB501961_0099_AHWNYNAFXX/rawdata/CMS_048_RNA_A_S5_R1_001.fastq.gz,mosquito,whole,RNA,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,29.4,NA,NA,,1,1,
CMS001_049_Ra_S6,CMS_049_RNA_A_S6,CMS_049_RNA_A_S6,czbiohub-seqbot/fastqs/180417_NB501961_0099_AHWNYNAFXX/rawdata/CMS_049_RNA_A_S6_R1_001.fastq.gz,mosquito,whole,RNA,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,54.4,NA,NA,,1,1,
CMS001_050_Ra_S23,CMS_050_RNA_A_S23,CMS_050_RNA_A_S23,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_050_RNA_A_S23_R1_001.fastq.gz,mosquito,whole,RNA,2017-10-17T00:00:00Z,37.50608,-121.99857,Marsh,Urban,ALCO,CO2,female,NA,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,57,NA,NA,,1,1,
CMS001_051_Ra_S8,CMS_051_RNA_A_S8,CMS_051_RNA_A_S8,czbiohub-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_051_RNA_A_S8_R1_001.fastq.gz,mosquito,whole,RNA,2017-10-17T00:00:00Z,37.50608,-121.99857,Marsh,Urban,ALCO,CO2,female,NA,Culex,tarsalis,Culex,tarsalis,blood fed,1,NA,NA,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,94.3,NA,NA,,1,1,
