taxid	taxonomy	CMS001_001_Ra_S1	CMS001_002_Ra_S1	CMS001_003_Ra_S2	CMS001_004_Ra_S2	CMS001_005_Ra_S3	CMS001_006_Ra_S5	CMS001_007_Ra_S12	CMS001_008_Ra_S3	CMS001_009_Ra_S13	CMS001_010_Ra_S1	CMS001_011_Ra_S4	CMS001_012_Ra_S4	CMS001_013_Ra_S5	CMS001_014_Ra_S5	CMS001_015_Ra_S13	CMS001_016_Ra_S6	CMS001_017_Ra_S6	CMS001_018_Ra_S14	CMS001_019_Ra_S14	CMS001_020_Ra_S15	CMS001_021_Ra_S16	CMS001_022_Ra_S6	CMS001_023_Ra_S17	CMS001_024_Ra_S15	CMS001_025_Ra_S7	CMS001_026_Ra_S18	CMS001_027_Ra_S16	CMS001_028_Ra_S17	CMS001_029_Ra_S18	CMS001_030_Ra_S7	CMS001_031_Ra_S19	CMS001_032_Ra_S7	CMS001_033_Ra_S8	CMS001_034_Ra_S19	CMS001_035_Ra_S20	CMS001_036_Ra_S20	CMS001_037_Ra_S21	CMS001_038_Ra_S22	CMS001_039_Ra_S9	CMS001_040_Ra_S21	CMS001_041_Ra_S10	CMS001_042_Ra_S23	CMS001_043_Ra_S24	CMS001_044_Ra_S25	CMS001_045_Ra_S2	CMS001_046_Ra_S3	CMS001_047_Ra_S4	CMS001_048_Ra_S5	CMS001_049_Ra_S6	CMS001_050_Ra_S23	CMS001_051_Ra_S8	CMS001_052_Ra_S7	CMS001_053_Ra_S8	CMS001_054_Ra_S11	CMS001_055_Ra_S9	CMS001_056_Ra_S10	CMS001_057_Ra_S11	CMS001_058_Ra_S9	CMS001_059_Ra_S10	CMS001_060_Ra_S12	CMS001_water2_S24	CMS001_water3_Qiagen_S26	CMS001_water4_Zymo_S27	CMS002_001a_Rb_S116_L004	CMS002_004a_Rb_S117_L004	CMS002_007a_Rb_S118_L004	CMS002_010a_Rb_S119_L004	CMS002_013a_Rb_S120_L004	CMS002_017a_Rb_S122_L004	CMS002_017b_Rb_S123_L004	CMS002_017c_Rb_S124_L004	CMS002_017d_Rb_S125_L004	CMS002_017e_Rb_S126_L004	CMS002_018a_Rb_S128_L004	CMS002_018b_Rb_S129_L004	CMS002_019a_Rb_S130_L004	CMS002_020a_Rb_S131_L004	CMS002_020b_Rb_S132_L004	CMS002_020c_Rb_S133_L004	CMS002_020d_Rb_S134_L004	CMS002_020e_Rb_S135_L004	CMS002_021a_Rb_S136_L004	CMS002_022a_Rb_S137_L004	CMS002_023a_Rb_S138_L004	CMS002_025a_Rb_S140_L004	CMS002_025b_Rb_S141_L004	CMS002_025c_Rb_S142_L004	CMS002_025e_Rb_S144_L004	CMS002_026a_Rb_S146_L004	CMS002_026b_Rb_S147_L004	CMS002_026c_Rb_S148_L004	CMS002_026d_Rb_S149_L004	CMS002_026e_Rb_S150_L004	CMS002_027a_Rb_S152_L004	CMS002_027b_Rb_S153_L004	CMS002_028a_Rb_S154_L004	CMS002_028b_Rb_S155_L004	CMS002_028c_Rb_S156_L004	CMS002_028d_Rb_S157_L004	CMS002_028e_Rb_S158_L004	CMS002_029a_Rb_S159_L004	CMS002_029b_Rb_S160_L004	CMS002_029c_Rb_S161_L004	CMS002_029d_Rb_S162_L004	CMS002_029e_Rb_S164_L004	CMS002_031a_Rb_S165_L004	CMS002_032a_Rb_S166_L004	CMS002_033a_Rb_S167_L004	CMS002_034a_Rb_S168_L004	CMS002_035a_Rb_S169_L004	CMS002_036a_Rb_S170_L004	CMS002_037a_Rb_S171_L004	CMS002_038a_Rb_S172_L004	CMS002_039a_Rb_S173_L004	CMS002_040a_Rb_S174_L004	CMS002_041a_Rb_S176_L004	CMS002_042a_Rb_S177_L004	CMS002_044a_Rb_S178_L004	CMS002_044b_Rb_S179_L004	CMS002_044c_Rb_S180_L004	CMS002_044d_Rb_S181_L004	CMS002_044e_Rb_S182_L004	CMS002_045a_Rb_S183_L004	CMS002_045b_Rb_S184_L004	CMS002_045c_Rb_S185_L004	CMS002_045d_Rb_S186_L004	CMS002_045e_Rb_S188_L004	CMS002_045f_Rb_S189_L004	CMS002_045g_Rb_S190_L004	CMS002_046a_Rb_S191_L004	CMS002_046b_Rb_S192_L004	CMS002_047a_Rb_S193_L004	CMS002_047b_Rb_S194_L004	CMS002_047c_Rb_S195_L004	CMS002_047d_Rb_S196_L004	CMS002_047e_Rb_S197_L004	CMS002_047f_Rb_S198_L004	CMS002_047g_Rb_S200_L004	CMS002_047h_Rb_S1_L004	CMS002_047i_Rb_S2_L004	CMS002_047j_Rb_S3_L004	CMS002_049a_Rb_S4_L004	CMS002_050a_Rb_S5_L004	CMS002_051a_Rb_S6_L004	CMS002_053a_Rb_S7_L004	CMS002_054a_Rb_S8_L004	CMS002_056a_Rb_S9_L004	CMS002_057a_Rb_S10_L004	CMS002_0Water1_Rb_S127_L004	CMS002_0Water2_Rb_S139_L004	CMS002_0Water3_Rb_S151_L004	CMS002_0Water4_Rb_S163_L004	CMS002_0Water5_Rb_S175_L004	CMS002_0Water6_Rb_S187_L004	CMS002_0Water7_Rb_S199_L004
2759	Eukaryota	587	44	614	0	774	178	75	413	788	28	736	871	39	495	14	853	34	13	30	362	223	1380	79	72	478	468	72	157	67	4	32	12	1127	21	434	1249	194	2121	49	300	322	157	175	0	62	27	26	55	219	202	300	141	56	359	71	3	255	368	435	1225	0	103	106	4	367	1428	0	24	0	32	6	0	0	0	7	0	1310	76	364	135	449	1467	10	6	0	0	40	0	4	0	25	57	0	5	11	169	64	65	102	251	469	61	59	13247	404	51	696	417	60	161	3	18	76	204	15294	111	104	0	0	0	0	4	12	8	0	0	0	0	0	12	7	84	279	373	190	217	196	69	60	48	792	6	0	0	2223	12	88	0	4	11	4	150	68	74	12
33154	Opisthokonta	61	124	65	0	193	16	0	79	877	19	12	11	22	166	0	117	182	7	17	108	77	34	0	41	129	124	31	60	0	0	3	14	29	8	9	64	39	20	3	8	0	4	61	8	6	14	4	20	0	18	70	5	4	0	20	0	14	74	0	81	0	4	0	0	5	464	18	12	0	0	0	0	0	0	4	0	89	3	12	44	33	115	10	0	0	0	4	0	0	0	0	0	0	0	68	81	44	49	19	49	59	22	40	6	0	55	85	41	12	48	29	7	23	105	7	0	13	0	0	0	0	0	0	0	0	0	0	0	0	8	126	69	25	77	16	104	55	4	70	10	104	4	0	0	376	0	102	0	0	0	0	0	0	0	0
4751	Fungi	0	0	3	0	0	0	0	0	0	5	0	29	0	12	18	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	21	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	34	0	0	0	0	4	0	0	0	0	12	0	0	0	10	56	0	18	0	7	3	11	19	0	0	82	5	8	9	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	16	0	0	0	3	0	0	0	68	0	0
451864	Dikarya	19	27	28	6	138	260	10	37	4165	5	10	235	34	38	3	55	107	24	9	18	17	201	0	36	292	111	42	120	8	0	91	0	21	7	19	148	10	3	5	3	22	19	13	7	13	0	0	7	5	6	34	8	0	50	8	10	16	13	24	115	5	4	8	12	0	226	0	11	0	0	0	0	0	0	38	5	119	19	6	31	16	307	0	22	12	0	72	19	39	342	1328	1315	194	0	10	7	40	20	16	172	239	43	29	4	0	130	65	49	3	160	7	0	23	27	15	3	27	51	11	6	25	10	0	33	4	0	0	0	3	4	3	6	44	61	45	4	4	58	13	6	23	55	0	6	2014	4	250	62	6	4	0	12	0	5	0
6029	Microsporidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1256	0	1881	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10529	0	0	0	0	0	0	0	0	0	0	14331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	0	97	0	0	0	0	0	0	0	0	0	0
33213	Bilateria	108	59	131	25	86	117	3	78	102	3	23	51	85	203	4	864	103	46	0	37	223	6	17	4	143	260	31	109	0	3	0	0	20	3	39	79	49	48	11	12	0	7	6	0	29	7	8	18	12	63	51	28	0	0	45	28	26	72	0	177	0	12	0	4	0	511	0	27	0	0	0	0	0	0	0	0	236	0	41	38	73	544	0	0	0	0	0	22	0	0	0	0	0	0	0	141	84	31	102	71	76	526	33	4	4	39	565	42	10	179	0	31	13	62	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	88	10	103	138	145	70	3	145	74	140	4	0	0	582	0	75	12	0	0	0	0	0	0	0
1206794	Ecdysozoa	34	7	155	0	29	20	89	116	54	0	17	5	140	443	227	91	79	0	0	33	597	18	50	4	19	22	18	4	0	0	26	0	17	19	44	123	118	13	40	0	0	50	8	0	150	8	28	6	52	41	106	14	334	0	9	4	0	195	12	148	0	26	0	0	0	468	4	0	0	0	0	0	0	0	0	0	36	23	24	21	146	110	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	129	36	155	52	10	9	51	0	6	870	68	46	186	0	121	0	106	12	4	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	85	136	0	20	0	0	0	86	5	0	7	0	1407	0	115	0	0	0	0	0	0	0	0
6231	Nematoda	24	8	15	0	77	23	9	34	0	24	26	26	0	29	0	21	8	4	0	10	9	5	13	0	23	28	0	4	18	4	4	28	16	0	19	122	0	21	6	4	0	8	4	0	3	0	7	0	0	18	131	0	0	0	0	6	3	9	5	22	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	23	0	3	66	52	334	0	0	0	0	0	0	0	0	3	0	0	0	0	25	41	27	12	29	33	3	0	7	0	5	88	64	6	121	0	6	7	28	46	4	2540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	34	6	0	5	9	16	24	24	0	0	0	304	0	58	0	0	0	0	0	0	0	0
7711	Chordata	146	57	1034	14	734	189	44	793	122	24	4981	182	599	120	28	552	224	27	12	1461	735	8	17	38	874	255	4	38	47	4	41	559	58	22	50	906	2842	29	62	0	6	185	451	0	91	23	28	117	22	132	96	52	31	0	9	16	103	245	4015	844	0	170	0	0	0	1303	0	60	0	0	0	0	0	0	8	0	2819	296	100	130	457	5796	11	6	0	0	0	0	0	0	0	0	0	5	4	63	88	93	50	121	203	92	66	159	32	204	447	356	43	650	0	5	95	452	136	70	30	0	0	0	0	0	0	0	3	0	0	0	0	0	14	80	16	121	251	97	60	17	64	156	82	4	0	4	1857	3	175	4	0	0	0	0	10	0	0
1437010	Boreoeutheria	1439	8	1344	4	2822	9	0	415	184	196	6326	1291	1313	19	332	633	39	57	92	3431	22	1346	67	0	84	39	5	12	0	0	358	58	4	0	271	368	0	968	0	0	3851	14	0	0	661	182	0	449	0	10	33	334	134	0	0	21	329	2975	0	1032	4	484	29	0	0	105	0	0	0	0	0	0	0	0	0	0	13	0	5	3	25	399	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	85	0	0	0	0	4	30	40	12	32	0	0	8	12	8	28	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	3	0	3	20	4	0	0	0	583	0	23	0	0	0	0	0	4	0	0
33554	Carnivora	0	0	0	1533	0	40	26	0	0	0	0	0	0	0	0	0	0	0	305	0	4	0	0	0	0	0	5	871	0	562	847	0	0	0	0	0	8	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
9989	Rodentia	34	0	40	0	69	97	20	17	15	0	1765	158	0	15	0	53	60	0	0	79	117	0	18	0	63	51	0	4	0	0	20	0	0	0	46	11	0	0	4	0	44	0	0	0	0	0	0	2219	1646	33	37	8	0	0	0	14	52	483	0	151	5	12	12	0	0	129	0	0	0	0	0	0	0	0	0	0	166	8	0	0	13	511	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	23	0	0	28	14	0	14	98	4	0	6	0	0	14	7	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	7	3	0	0	0	0	7	0	0	0	4	8	0	4	5	4	8
35500	Pecora	1556	285	1839	0	7	33	0	630	67	238	3	2114	4	9	316	769	6	288	0	42	48	1314	0	0	49	3	10	349	0	0	115	0	714	0	55	1763	0	982	3	0	0	0	11	0	526	811	0	0	0	7	20	550	389	0	3	0	1384	0	0	911	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	48	0	0	13	23	67	0	0	0	0	0	0	0	0	0	0	0	0	0	17	18	16	0	201	1280	3	0	0	331	570	1151	587	0	0	0	13	0	46	6	7	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	23	37	7	0	0	4	12	37	0	0	0	275	0	459	0	0	0	0	0	0	0	0
9979	Leporidae	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8782	Aves	24	0	106	0	9	18	0	6	0	5	10	5	65	0	0	19	5	6	0	0	7	4	781	0	28	4	7478	0	5423	0	5	5987	9	0	0	36	3772	0	0	0	3	18	2379	9	4	0	413	0	3	5266	7	0	0	0	0	0	7	7	1473	50	0	1430	0	0	0	8	0	3	0	0	0	0	0	0	0	0	34	0	107	11	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	6	23	14	0	0	0	0	0	4	11	8	0	0	8	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	7	16	22	12	0	7	26	6	10	0	0	0	157	0	0	0	0	0	0	0	0	0	0
9126	Passeriformes	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	8	0	0	0	0	0	3	2507	0	5599	0	0	2013	0	0	0	0	0	0	0	34	0	0	442	0	0	0	90	3	0	4	0	0	0	54	0	0	0	5	971	13	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	4	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5794	Apicomplexa	84	16	115	0	141	261	8	96	39	8	93	19	5	55	0	81	14	10	3	22	717	123	0	32	112	249	48	6	0	0	7	0	36	10	34	101	286	0	10	227	0	22	6	0	0	7	0	0	3	5	136	101	10	0	0	0	26	56	0	314	0	7	8	0	898	207	0	0	131	248	40	0	0	0	0	0	172	3	28	29	54	282	6	0	0	0	0	0	0	0	0	0	0	0	0	11	161	11	0	0	28	91	35	18	0	11	184	30	3	48	0	0	0	20	92	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	78	6	3	75	0	3	147	6	0	0	2714	0	19	12	0	0	0	0	0	0	3
